ai.yavar.mavencl	copper-ai-android-sdk	0.0.1		N/A
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.4	jspc	2b447036df964049cec4283f7a7ab9ea97ddc6b3
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.5		7e2475c5bb1a4d714146ded4f16f1dd787018a52
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.5	jspc	50de41d113f8d275bff558d4a36bb8032d41fcd2
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.6		17ab3995a38cab45deb833859e76f02f8d9a56c6
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.6	jspc	592dde01e04ecada5497443994f1b99fbf3804e2
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.7		8f2a45efe370f8f4d471742b14bc1e2bc84675f7
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.7	jspc	68d71cd1fd1306a4791b07e68e707c679468f99c
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.8		668fda558dce7841eb7b3c45876c892712d5e9df
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.8	jspc	7ea09b9a775669a0d84e2bf7485e39514942d583
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.9		34cdf4fddab6daeea026200bdeb31ef184b47f46
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.9	jspc	7eb3a9e8580da836f82483ef3a1b90d3c90312e1
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.0		35fc8f895a7dc6f284434f103a9bd476eed29dbf
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.0	jspc	e1530ab7c1b6eb54672fc1c3c16d6aa4e632d0e4
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.1		154ab844cdc9dd8a63b60caf3204feef10bba51d
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.1	jspc	f045ffd6d3b9dc15c8f56a8546af19b6e48f4ac4
