ai.abra	abra-sdk	1.0.0		N/A
com.github.delegacy.youngbot	youngbot-web	0.4.0		b9b7d215547f138f3ba5c87360144826017305f8
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.0		1f5c2e4062908fc7de29a761fb81e773f0a31905
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.1		78a2e00cc65670280309850f017b8b649a113b0e
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.2		811067a3ad14d2c0e2a841f7eef8f79a0b53072d
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.3		bfdef89d6a8e41fc8781fff2242923c920d308b8
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.4		cbf24c60f65863b2899c0c92495015542ef2f04b
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.5		61bf7c6a3121ada533c65aeefb691d27067f37e3
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.3.6		b7bb056daa45c1e7c959758282f180e2761ffe0f
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.4.0		55bde06c7b920f12f10d6c1d64bdff3f8e282876
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.4.1		1f1054350028e7e3c56b533cfcf8022d8d4e95fe
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.4.2		dc9f3ae01076a69c1325931899c77832a6c7ac67
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.4.3		f4dc5aaf0cdbd92c8cc2293dace05dd4faafb065
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.5.0		ffab5ee8910b76d505dee77796cadbb426a6a551
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.5.1		6eff8946b9d234f51386505e65bd599ab35411b6
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.5.2		d193821e1b394649e80fa366b50d49928460bb44
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.5.3		20b20c7da777e60380a3b4213887c3cb900180b2
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.5.4		4f3b42d72dae7887cfffdc750f4da7ec4671338c
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.5.5		6c0a9ce1a659767a8fd921c34bfc4841ff63c542
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.6.0		a95b2406afa8807efe0d12236feaf0277eab8894
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.6.1		8a17259f2a429373dca4ea9c20691d7072d6faf5
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.6.2		638fbf2a4c77b7f1d5c9fb52592c783d0af0d312
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.6.3		c85d24b3b1a8d59a64b78851beabf73bf6646400
com.github.scalaprops	scalaprops-gen_sjs0.6_2.11	0.8.0		def0f80af133be8674781e09f5721efb9cfd0877
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.1		feb8601d05d5a3b30752cbfa5434a233822925b8
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.2		3bf3d243089fecc44565f889b8bbb9ae3ed47e08
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.3		b89f28574cbd4bc6d53bb7f56a701e42c7fcbf8d
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.4		57aba3156e280d54645469d0fe47fc548691f344
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.5		4c6d48fced48ee788999078c3a814a6ea1003754
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.6		5437f291405ae631d8881adce4dc6d2dd6361f6b
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.0.7		e7fa873eb8eff64fef887f0dd5db21d319791045
com.github.yingzhuo	carnival-spring-boot-starter-kubernetes	1.1.0		eef17c726262a848547b154fe17b334616160c4a
