com.liferay	com.liferay.asset.categories.item.selector.api	1.0.4		48ed93abdf866ad29de7c7b6e42b3d70c73b0d7e
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.5		a2df7b3e8f17d569da0191211ea35db9b99637c0
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.6		b8c0b42518eb17caf97d93a32bfbab8a5eee019c
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.7		b75fd0d31c25ad9704f25f4d4b80a093686593c6
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.8		01de2d63d6178d5f22afce209d69c5ee578c8d66
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.9		e78c8ae2a8690364e3b1e76dff182b565947b367
com.liferay	com.liferay.asset.categories.item.selector.api	2.0.0		67e6089cc83e78a69ab95bb4f4d2df393eea0f2e
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.1-6-5fce97fb		4cf31cf390ecf53a23270640c474c2153e59f68c
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.1-7-cd989427		05f3da45d607bf7658ef671143cb191be492f0db
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.11		386eacf30b5b25c2cdb3ea36f764a227446a4028
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.2		e1a72619be6ab1814de986a5451a5089adcd28a8
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.2-1-fcc95af4		19827089cfb5c9f87d1d9dfcb03cc642ae973ab3
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.2-2-23bcacbd		88a5ff1c01d62d7de7b6d847571cffad411a6888
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.2-3-9345be7d		e5a5289d495c42632b97d4f3c2619117edf705c1
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.2-7-31b8504d		0796a659d291361a25e219ce874a56a5b8bb6d2c
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.2-8-43f5564e		7c7ffee258e7baf3cc6c6acebcc0c0eaf513baed
