de.otto.edison	edison-jobs-mongo	0.61.0		9b5b1ee6d64db5b94bf9713d1d66444e61544c87
de.otto.edison	edison-jobs-mongo	0.62.0		9651978e8f957983208b69a487548c238ed03d1e
de.otto.edison	edison-jobs-mongo	0.63.0		7013dada48496466c901fb7d475fc17dc098b8cd
de.otto.edison	edison-jobs-mongo	0.64.0		55a10b8e9cb48e76fcc96c83fd1a9dc113b00d58
de.otto.edison	edison-jobs-mongo	0.65.0		c06443618bc25e2eb008f8b19ab775a3b3b1e762
de.otto.edison	edison-jobs-mongo	0.65.1		853e56711a2a0d20db43d5ba720dd7386503c79a
de.otto.edison	edison-jobs-mongo	0.66.0		0bb1c0d20dd5d6036b93636692b4799119584dd4
de.otto.edison	edison-jobs-mongo	0.66.1		d8bc63cdc15aaf20500a43b8277d3876b77863f1
de.otto.edison	edison-jobs-mongo	0.66.2		eb25772084fb1c8ffca3ce53a456fb8ee29ba138
de.otto.edison	edison-jobs-mongo	0.67.0		08f64dbdccaaac627429479a2385ad16d0b1d763
de.otto.edison	edison-jobs-mongo	0.68.0		189bf48d701ace1785ca2f832a6a88c2f111dc82
de.otto.edison	edison-jobs-mongo	0.68.1		83c58fa277c7e05ba49ea60a0b6a795122be7cec
de.otto.edison	edison-jobs-mongo	0.69.0		898fbb3689ca29f50bc8aecb9b79826508a425af
de.otto.edison	edison-jobs-mongo	0.69.1		63e50a13b7fe045d240f5e09e8eeae09ca53a7b6
de.otto.edison	edison-jobs-mongo	0.69.2		28d918ad119bdb8481d764a51b328334dfc16994
de.otto.edison	edison-jobs-mongo	0.70.0		e4dcc3bc4a74a3a5270e251187312eacc92543c0
de.otto.edison	edison-jobs-mongo	0.71.0		94d09af70d516c30ac91e0128135845a11544e44
de.otto.edison	edison-jobs-mongo	0.72.0		82211d501a588db666ea5cca7405bc5b212b6d3f
de.otto.edison	edison-jobs-mongo	0.72.1		41b920aa6004b887c6f08fecf71738cc01f7042f
