at.released.wasm-sqlite-driver	sqlite-wasm-emscripten-aot-349-jvm	0.7		4247928b49288a749adfbd8753b409be2f6bcafe
com.daml	daml-lf-interpreter_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.1		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.2		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		6e77e340bd3657e0b10132a29dc782f9c78a1b52
com.daml	daml-lf-interpreter_2.13	1.18.3		df555d13a012cec4248416ad281a7a6aeaebb24a
com.daml	daml-lf-interpreter_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		df555d13a012cec4248416ad281a7a6aeaebb24a
