au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests-container	2.0		e20ece2b79b69691463608cad682da248d5034c8
com.daml	jwt_2.12	1.11.0-snapshot.20210225.6390.0.0617fbde		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.0-snapshot.20210303.6421.0.145ddaa8		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.0-snapshot.20210304.6422.0.d3d5042a		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.1		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.1-snapshot.20210312.6429.0.7cd6380e		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.1-snapshot.20210312.6429.1.7cd6380e		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.2		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.2-snapshot.20210610.6432.0.ac4a2848		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.2-snapshot.20210610.6433.0.a08f6ea2		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.2-snapshot.20210610.6433.1.a08f6ea2		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.3		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.3-snapshot.20211110.6439.0.632ba5a7		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.3-snapshot.20211111.6441.0.eed4ad32		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.3-snapshot.20211123.6448.0.c679b4ab		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.12.0-snapshot.20210309.6463.0.f7abca91		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210311.6483.0.5cb857d9		26ca44dd76133282aa1a5db6b9c148cdf77274e9
