com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.13		98075fde2648263dbb82a2ef01888f184cb3d6b4
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.14		3c0caca463abef9a4c0fc8bfb80290b26c79b193
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.15		84fd99cb0c1a78af87584b3d79c0ca8e423ca953
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.16		7b5dce22224b4c1fa99916b335c48779325ec1ba
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.17		a7bf62cb5aa5b56023f98e5ebb3f8c6bdea5d14b
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.18		f0eb742c06e8886fe72bcb03697218728e98551e
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.19		1ca0871612755a90aac499dea1d489d01a15d71f
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.2		78d114e92889fcf2cd9031520e78c17d3108937c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.3		412c70b3b6b108f9780f45d60d355ab02f0eac31
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.4		915435258a0f4f9fb6609a8a845113ea52ad4066
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.5		9cb15d1e4d47128fa7f2d51b9508d0ee5937e24e
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.6		7a1d188859ea2b14d7e63d2847c2bca1680c229a
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.7		d3ea3b65459ba664af28dc9d1903feeeca041ab7
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.8		f27d99d2b30a2c838902cd4d766c6d01e892e424
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.9		e71d8fb35381edf53f4bbf15c999c905a3bc6a30
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.11.0		b2a09830cb6188cb48e0a64b7d686d78349d3deb
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.2.0		9b77f88c24071ffd742b6d52bb7819edcd57b193
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.3.0		9b3e1cd218d899fecd68bbb4f1ab4a56e0e7dcaf
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.3.1		bcee9b926359f63ade4b53785826d2677383247b
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.4.0		0b77d9efd52d1085f83f7fa312d22c237a4b4aaf
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.5.0		4a4e1ca28f52e84bbe0e581d55d85d01352b8590
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.5.1		38b6feeb5a9f058d05fd90977dc87367fa5be23d
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.6.0		15efe89b6eabb7fcdd62d164e00041aa59fa9b6c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.7.0		0d2fec908e2abea7ddaa7fcbb08301e1463bc234
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.7.1		283e30209ad9c240e274431b2e2813318d6f14e1
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.7.2		0774f8161e5ab7a8f72cd5f8102aea35d555cbf0
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.8.0		e6be7d36ce6c7dae58d1b9c710454074ad6d11f1
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.8.1		df7f0431995c4d5c8e0599080af251f7e4bf3003
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.8.2		061eda0a486f84b90d6069cffe899f94ab514fb6
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.8.3		ac8ac2c36d9b4b767c6ccc99ea8c9ca884189b23
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.8.4		db8b4d47dff7ce55c886cd67b5b7b57674fac603
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.9.0		c9f0260dc781252649ba02c9853e984ba536a9a2
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.9.1		f364055b326e2af9c50da6d85bdf974143b7c10e
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.9.2		cdef53e2cb57652219ce57afb7aff796f1fb11fe
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.9.3		d25d5220c3a44ab723649474ef0bf8860e1ccce8
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.9.4		a379191c9d28fcbaaed8b76a16474700413a3a9f
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.0.0		7a8cef619e6ba9707aeb898be592fb9335e3a89b
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.0.1		9134b5fd45a9829d92d762f6d122f0f1809e94bf
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.0.2		a0ed68273bc57984e01ccc2e7b7fe59e715cfcc7
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.0.3		81f88d54fca66a1877bfbd4990e569e778f1d758
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.0.4		f2ccdcf87d1dc3bf89b8c8270cfd20b38693cef0
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.1.0		527702f362ea2545433cc37040d8e2651d6ce223
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.1.2		348ddf445704d152cbd1883e5e79380aa638c3ae
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.10.0		c39ae1c8e89cc097bb6dc1e8b28f561216970231
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.11.0		5e62cee2962c7df9de1e11e94573c8e6f53a2459
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.11.1		38bb8e6d6bac943dce7dab76fde10b97b9047c23
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.11.2		9e52d8d6db19766a4bef045340436c713dfb3acf
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.11.3		47cba6428547449b0c72acc7e6649bfc11c2c53c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.12.0		a629d79c6ee8fa4a67bee760fee71fac0c20bef8
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.2.0		4f710dbdfc7fdc776acdc45bed862491bf3099fe
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.2.1		4d8ea15b9eab0adf1f7adee4482678d93b928f48
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.3.0		2e3f77e7c232df4dcd89a4fdecda26be2caafb33
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.4.0		ba59c6435ab77182deae9faa7dd60185870a305c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.4.1		42920540419871c74c86f7652db8a4af5816c44a
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.4.3		244f69423011c9f03458be68a3442c9a8c161aa1
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.5.0		cf579d61c0c5dd27f675e6c32cf66bc95e98131f
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.5.1		0144b7c4b561ad396d0f3297a0d1620a58456221
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.6.0		e25fd83ceb7073293c467a44e4381eae74c7caeb
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.6.1		83deb7d442d71c20fc9bdd92763b5f539644ec79
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.7.0		754f788fa08ac51f37be26acf88a2200eef0d5bf
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.8.0		8f4bb0ee8a4df71a012782a1e96bb1a06361f84e
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	5.9.0		e55cdaf05b312800395bdf82731a03b94bb9c53f
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	6.0.0		2e0e205f8dbb8404c80da40a77ecebd8bbdf46b8
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	6.0.1		f3adc5bf7cf13e6cabd31c1202e9b19a46bff7fa
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	6.1.0		17fdc23bdbe7fb0000df603dd97cd5183f712d3f
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	6.1.1		431834f8027e551e8822a115975f151525e437d0
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	6.2.0		248c0f05a824aad73bd449eaf0e55a21aa099075
com.google.cloud.datastore	datastore-v1beta3-protos	1.0.0-beta		89a2d7f65646dc8af7f147ad17117677feae884e
com.imageworks.scala-migrations	scala-migrations_2.11.0-M1	1.1.1		cea97388bbd4c22fdb5c04fc6a4ba2ad28f13e95
com.liferay	com.liferay.fragment.impl	1.0.0		cfeadfb000c5ae74b2f4210fedb1ed2a4dd1046a
com.liferay	com.liferay.fragment.impl	1.0.1		ae93000500c65aac9e524f9918e0db8b5bfecbe3
com.liferay	com.liferay.fragment.impl	1.0.10		3e3889c2c8e7b4c89a5a05ad9d1895d3a7592021
com.liferay	com.liferay.fragment.impl	1.0.11		ed371579be780c041716276585b4f3dc934d716b
com.liferay	com.liferay.fragment.impl	1.0.2		8e3e18c8b4200aa3cdda71f0e161929ba9a7812d
com.liferay	com.liferay.fragment.impl	1.0.3		22a8920e29f488e26b99f5e23d7938175ff7c1b6
com.liferay	com.liferay.fragment.impl	1.0.4		b3b3a7a3e6ee873ffe9d7a4fdc88e84484f88a99
com.liferay	com.liferay.fragment.impl	1.0.5		fddce2d4b1ba0cbbf6229865b1974f384ec5fed0
com.liferay	com.liferay.fragment.impl	1.0.6		561b52b88e566947c802681a99bd1b1d1f692afc
com.liferay	com.liferay.fragment.impl	1.0.7		7ed9c996970828472fb6bdab221fad132f40cdf2
com.liferay	com.liferay.fragment.impl	1.0.8		0205282cebf0e3e9e222012662faca3afb050935
com.liferay	com.liferay.fragment.impl	1.0.9		7af0bf919402c73ba7ee67d7a506a84480cf8a56
com.liferay	com.liferay.fragment.impl	2.0.0		0af0e591edf7f125d4c73651d3b78c6bba6a7d96
com.liferay	com.liferay.fragment.impl	2.0.1		6ff7855c82fff73679f2fd83ea411da6431fdc34
com.liferay	com.liferay.fragment.impl	2.0.10		dfbab9283bc04c8cdcfaaac9fea54fd13dfa540a
com.liferay	com.liferay.fragment.impl	2.0.10	jspc	c48a0162dd29d775e5a56ee30255a45cd9bfeecb
com.liferay	com.liferay.fragment.impl	2.0.11		bd7f71247f9bceb4e1fafa96691028d6b271b3ee
com.liferay	com.liferay.fragment.impl	2.0.11	jspc	f728310dd023e36350992cba1174c46e4151575e
com.liferay	com.liferay.fragment.impl	2.0.12		faee8c991ec4c8c055a34dfa886821ab1670233a
com.liferay	com.liferay.fragment.impl	2.0.12	jspc	ed58bd14bdfb9c1e40e6226c8c04fd9aea936b56
com.liferay	com.liferay.fragment.impl	2.0.13		0335554924c4d175894f61527d89a324f8b62b75
com.liferay	com.liferay.fragment.impl	2.0.13	jspc	808fbbf83165b8615d0b58ffc7c165124568b45a
com.liferay	com.liferay.fragment.impl	2.0.14		4238309b04153a4f4b101fde18ba959b7cadb38a
com.liferay	com.liferay.fragment.impl	2.0.14	jspc	8221b2a650e7b4d52150c9389ab5dc584f00994d
com.liferay	com.liferay.fragment.impl	2.0.15		7c77e40104d6ee6e9bdad11ef84ee09211d473a3
com.liferay	com.liferay.fragment.impl	2.0.15	jspc	6ed77035569f776fb42d443a2e0bf3c61b6ca2bb
com.liferay	com.liferay.fragment.impl	2.0.16		c4a215d8752c3c83362b01ebd3f0caa8648e5177
com.liferay	com.liferay.fragment.impl	2.0.16	jspc	af62e21fb6c2957cf754e05a56bab4c073c32867
com.liferay	com.liferay.fragment.impl	2.0.17		cd55fa7f21b628dac3880f8657852ca3546f4fe0
com.liferay	com.liferay.fragment.impl	2.0.17	jspc	3747921aba35aa899a9959731de2cebbd9631fd5
com.liferay	com.liferay.fragment.impl	2.0.18		ca2a07f269960b5fbe35f079eb366051fab8165b
com.liferay	com.liferay.fragment.impl	2.0.18	jspc	3ff70df71a6d711a3448a74149428455c97df5d5
com.liferay	com.liferay.fragment.impl	2.0.19		66f7dbcd19d5492a7727517de8d4c70234f930d1
com.liferay	com.liferay.fragment.impl	2.0.19	jspc	74c799c6e0b5a9d2b075fb6495d49622ba29e992
com.liferay	com.liferay.fragment.impl	2.0.2		c54e716afb33618c1203b69c3fa868908e6bd16c
com.liferay	com.liferay.fragment.impl	2.0.20		4dd0a92fa6f0b52e733290c5952f7512eaa55a40
com.liferay	com.liferay.fragment.impl	2.0.20	jspc	8e7157cec3a615e437c6c66847ab9e7747794dab
com.liferay	com.liferay.fragment.impl	2.0.21		d18818ade874b07efefb478c33a546ff0f42a5b6
com.liferay	com.liferay.fragment.impl	2.0.21	jspc	037c713159f0ee9563d37c842795cd9da12df49d
com.liferay	com.liferay.fragment.impl	2.0.22		67bf6fd64f2cd9d3fe963831b4117c442e1cdb08
com.liferay	com.liferay.fragment.impl	2.0.22	jspc	69e5b8df46d5238ff3615009c8fd3c5af88c321b
com.liferay	com.liferay.fragment.impl	2.0.23		67cd72d2011c4aa7f6252cea35a0e442aa10bff1
com.liferay	com.liferay.fragment.impl	2.0.23	jspc	26a5fb500b84c859596f33ff5b23adc8676aa798
com.liferay	com.liferay.fragment.impl	2.0.24		359d774eac20198c185945f04b8a05db6954dc3a
com.liferay	com.liferay.fragment.impl	2.0.24	jspc	3e1e83a827b303878643dc03e227affaf12b0cbb
