com.liferay	com.liferay.item.selector.url.web	2.0.33	jspc	f602c1cd37a992452cca11f6a0e4a31ab73757c5
com.liferay	com.liferay.item.selector.url.web	2.0.34		1ebffdeccdf2fd22947000c71b0d74d5c29961c8
com.liferay	com.liferay.item.selector.url.web	2.0.34	jspc	0a7aba862b9879230e60b930994fceb501b165e6
com.liferay	com.liferay.item.selector.url.web	2.0.35		ab398b0f125108914c4cf63619d8b0fd0ab539e7
com.liferay	com.liferay.item.selector.url.web	2.0.35	jspc	7ade6b2cb8de419dd757ae8e0f6eb2d5fd0fb2d7
com.liferay	com.liferay.item.selector.url.web	2.0.36		85525aea3619c3f21f18eab6e0344fa5dda63a5e
com.liferay	com.liferay.item.selector.url.web	2.0.36	jspc	689b5f8e6e752ec891386552a9f4bbbca3cf182d
com.liferay	com.liferay.item.selector.url.web	2.0.4		22a33b64cf6a8d5c12c76a7138856ec1295c476b
com.liferay	com.liferay.item.selector.url.web	2.0.4	jspc	26bdf0a978b3b4f9b0645178ed29832df4eb1781
com.liferay	com.liferay.item.selector.url.web	2.0.5		080058a0f5cc5401d45d236055ffaa9809f82bf5
com.liferay	com.liferay.item.selector.url.web	2.0.5	jspc	3710dfd5ee3149c26438b14ba8bf6e3d2390748d
com.liferay	com.liferay.item.selector.url.web	2.0.6		813123d8e672ed124f8568ff4713e3f7f673fd89
com.liferay	com.liferay.item.selector.url.web	2.0.6	jspc	60bdf38aeda016e8ba4a1c71c407322371b849c8
com.liferay	com.liferay.item.selector.url.web	2.0.7		f5f348c2828a8d5a1c5413f3fed1221d51088094
com.liferay	com.liferay.item.selector.url.web	2.0.7	jspc	83f412b7f8cc1ba7058ccb05d9f7103787769884
com.liferay	com.liferay.item.selector.url.web	2.0.8		9062e382304dd0f24d458afa50351e54175d95ee
com.liferay	com.liferay.item.selector.url.web	2.0.8	jspc	cb5c570a88846be0794eb5607f0a03147b6af30d
com.liferay	com.liferay.item.selector.url.web	2.0.9		b39e2436b33b1510d24539a201ce7990ab49802e
com.liferay	com.liferay.item.selector.url.web	2.0.9	jspc	7556659a9c4dac33d93e5f0839d654768d16808e
com.liferay	com.liferay.item.selector.url.web	3.0.0		5c5eedbc7d2023c08eaa274b45cec3fd72fc31a0
com.liferay	com.liferay.item.selector.url.web	3.0.0	jspc	ce18d615660edb1ac13cfe446fe3fdd4b72859ca
com.liferay	com.liferay.item.selector.url.web	3.0.1		213a2f51f180a075e429491cffcf130001873d2f
com.liferay	com.liferay.item.selector.url.web	3.0.1	jspc	3ac7a703d507b4e7a179fef77d2071f7e84501ee
com.liferay	com.liferay.item.selector.url.web	3.0.10		1b97b043c069a0afb2f9e972582f803189091f9b
com.liferay	com.liferay.item.selector.url.web	3.0.10	jspc	7597a1617d6e1af3357262201ec04de71e63b242
com.liferay	com.liferay.item.selector.url.web	3.0.11		f8cc7d87039b03b2dc2e3d45f7fe3da219fd2472
com.liferay	com.liferay.item.selector.url.web	3.0.11	jspc	1a6a0c6e4e8e7cf6fdfdc03214031f6988ec7d47
com.liferay	com.liferay.item.selector.url.web	3.0.12		5bc4552f9d160f4cd215ea9e60d3d23b56d24fca
com.liferay	com.liferay.item.selector.url.web	3.0.12	jspc	a6cdd5258bed95ec8104b2063394c8d1f1e9cfe5
com.liferay	com.liferay.item.selector.url.web	3.0.13		4c91fbf5bd11460029ac53736290d7532414c7a5
com.liferay	com.liferay.item.selector.url.web	3.0.13	jspc	a1aa86cec32ef680345f890ab42a9e3618860680
com.liferay	com.liferay.item.selector.url.web	3.0.14		9350871869cbc725b5001271886349a7bc60af53
com.liferay	com.liferay.item.selector.url.web	3.0.14	jspc	36a54df68a851a7d0a8872919244cd68e5391cb2
com.liferay	com.liferay.item.selector.url.web	3.0.15		4c1a6c93cc6b8a834da8a7bdfec72cd301ce00d8
com.liferay	com.liferay.item.selector.url.web	3.0.15	jspc	7e4cfed44b6b5e8a0e1920fdc06ac5317ecb33ce
com.liferay	com.liferay.item.selector.url.web	3.0.16		240c99f96d7d4d1fc7eb1f71c76bd9a59feb1e9d
com.liferay	com.liferay.item.selector.url.web	3.0.16	jspc	ef0316b617e709cbcdce4ae9ee2f1743a8c9c57b
com.liferay	com.liferay.item.selector.url.web	3.0.17		dc73a6520df0be3ce164272fd022ef224e5e5c5d
com.liferay	com.liferay.item.selector.url.web	3.0.17	jspc	7930ec354fbcdb445e6c2f65d300ba636ce542d6
com.liferay	com.liferay.item.selector.url.web	3.0.18		71d5092ca9fb508e374241c66a26220738fb69a8
com.liferay	com.liferay.item.selector.url.web	3.0.18	jspc	0bbee3354dc267311255ff0c948c6aa739458b44
com.liferay	com.liferay.item.selector.url.web	3.0.19		69a26fb74637f1a37bbb03f41aaa9e99c0456f93
com.liferay	com.liferay.item.selector.url.web	3.0.19	jspc	1e452dabf60d623b4ae0ce7d92c7d54dc52a8c17
com.liferay	com.liferay.item.selector.url.web	3.0.2		56f0d5a8ae8be46f93f189d40a10a96dcbb7fbf5
com.liferay	com.liferay.item.selector.url.web	3.0.2	jspc	1371e7dfd18d049feac6ad2e47bbcf0bb78f6bae
com.liferay	com.liferay.item.selector.url.web	3.0.20		ad99fcaa8b61012692b0e73f6c286212c3ea00ba
com.liferay	com.liferay.item.selector.url.web	3.0.20	jspc	cd32ca3d48ab20b0af2ab525fef46bbd5851dd12
com.liferay	com.liferay.item.selector.url.web	3.0.21		a203fb34607d117ed380f6e23d720a6b94fe142b
com.liferay	com.liferay.item.selector.url.web	3.0.21	jspc	df122a9c5de4f225201558db1dfa405bf89793e4
com.liferay	com.liferay.item.selector.url.web	3.0.22		9d43ae85acc6e6b962b09b22c85f8b164024933e
com.liferay	com.liferay.item.selector.url.web	3.0.22	jspc	e4b589b2d0155171f41a2ebfe33143a6fa939202
com.liferay	com.liferay.item.selector.url.web	3.0.3		a39655e14bcd566fae3a938fff88c24a8caabfc7
com.liferay	com.liferay.item.selector.url.web	3.0.3	jspc	195aba1d75907abb1df215e2c9ef0ce26f445ea6
com.liferay	com.liferay.item.selector.url.web	3.0.4		16476846d8043eb60dccdb2f523ddabb2f265c54
com.liferay	com.liferay.item.selector.url.web	3.0.4	jspc	c624e0a8757eb0acd8306541d289f2530714c7ba
com.liferay	com.liferay.item.selector.url.web	3.0.5		b114de1ae88ea380b7070ee05ca7997ccc87e2f5
com.liferay	com.liferay.item.selector.url.web	3.0.5	jspc	a922a09553d96fc19f033b9606935455eb633a5c
com.liferay	com.liferay.item.selector.url.web	3.0.6		b221eb39976e507a163c41828a6bd649022c8baf
com.liferay	com.liferay.item.selector.url.web	3.0.6	jspc	b957647e5a82890822ccaf9921efdea9d0a40e6d
com.liferay	com.liferay.item.selector.url.web	3.0.7		816dcc5de123828efcec852d4b8b8f1e05b2d2b2
com.liferay	com.liferay.item.selector.url.web	3.0.7	jspc	23e9eeebd76901db14eadbded32e88840aebc901
com.liferay	com.liferay.item.selector.url.web	3.0.8		c5402f12780975c4800fd5b8c20dc0da52bfde82
com.liferay	com.liferay.item.selector.url.web	3.0.8	jspc	df44c085f0587c88428f6f423575c7cdfa7db970
com.liferay	com.liferay.item.selector.url.web	3.0.9		d735a304c9b5a7b1acb75457a935ec0ee0ddf74c
com.liferay	com.liferay.item.selector.url.web	3.0.9	jspc	cdb246693a4c73d18a234b271f9620ec75ca4829
com.liferay	com.liferay.item.selector.url.web	4.0.0		8ad3875cb3cc0c11a994ef8cc9be42938456b133
com.liferay	com.liferay.item.selector.url.web	4.0.0	jspc	b1fb8912094ac87d0af55714c483a93306620d0a
com.liferay	com.liferay.item.selector.url.web	4.0.1		6e4b0e8d91477852d76ed9c0542fa448b98bc7bf
com.liferay	com.liferay.item.selector.url.web	4.0.1	jspc	2f1c6309dea0a6d8796ecc4aca7e398f29eb12d0
com.liferay	com.liferay.item.selector.url.web	4.0.10		bd433228b0d5f328d57c1f47ec4e520fdb36e8af
com.liferay	com.liferay.item.selector.url.web	4.0.10	jspc	27dabf936861d7fdabcf55ee899da467be5e7036
com.liferay	com.liferay.item.selector.url.web	4.0.11		e56ccd2149deba6775ec7475ccc22412bdcf6d96
com.liferay	com.liferay.item.selector.url.web	4.0.11	jspc	753706e8d72b9acccd599ff08b80b36ed72162c6
com.liferay	com.liferay.item.selector.url.web	4.0.12		4dd80c128058a5dd3bf912849364604c225e1641
com.liferay	com.liferay.item.selector.url.web	4.0.12	jspc	8a58734e39dd1fcf7caabfaa9e72721070c1d554
com.liferay	com.liferay.item.selector.url.web	4.0.13		452313be1e49660d6d016ef18c66dd5e1d583071
com.liferay	com.liferay.item.selector.url.web	4.0.13	jspc	1bbfd29910e815cabd30b720f085d80627111636
com.liferay	com.liferay.item.selector.url.web	4.0.14		9c29fd2bdbbff75e3181dc0df6e410a8a04753e5
com.liferay	com.liferay.item.selector.url.web	4.0.14	jspc	2333eaf8ba9dfaaa75f849b5971b8aa49f257e95
com.liferay	com.liferay.item.selector.url.web	4.0.15		bff69929fffaa838d043b2cfc1d4353d1011a6d3
com.liferay	com.liferay.item.selector.url.web	4.0.15	jspc	3ea1e56a997eb25720172c1c3acb3eb1d92785bd
com.liferay	com.liferay.item.selector.url.web	4.0.16		90d7dcd79460a8d0f21a5e9320e142cdd5ea2bf3
com.liferay	com.liferay.item.selector.url.web	4.0.16	jspc	8e42c13f1114f743e54e1870b1ec96338f92c9ed
com.liferay	com.liferay.item.selector.url.web	4.0.17		fd5641dbb796bdde4ffd83d228afef672ee68575
com.liferay	com.liferay.item.selector.url.web	4.0.17	jspc	5afb243edb60fabeb10590ee8429639e1a065703
com.liferay	com.liferay.item.selector.url.web	4.0.18		78896924254e8db809622d85c71c1f5feba9d555
com.liferay	com.liferay.item.selector.url.web	4.0.18	jspc	55550cc6a50dfd6dcb282a264a9e8bdd88aeb162
com.liferay	com.liferay.item.selector.url.web	4.0.19		d0683c90f68e410b1ee911f5f5e54fc8c9014237
