com.farao-community.farao	gridcapa-cse-computation	1.26.0		5950c3173cfe683219f9ea1d8bb74212e5579fc6
com.farao-community.farao	gridcapa-cse-computation	1.26.1		450617f08fb8356fe979b2987823c282008cffad
com.farao-community.farao	gridcapa-cse-computation	1.27.0		b3c9f13089d90b0a663cb8c6ce54041ed16cc2fa
com.farao-community.farao	gridcapa-cse-computation	1.28.0		f278be3b1237bbbe1bc1b18e54fdade3c52b1f15
com.farao-community.farao	gridcapa-cse-computation	1.29.0		f0b0c514396d55a09172b1e83887f1d0c5c97a1e
com.farao-community.farao	gridcapa-cse-computation	1.3.0		1c381f211038a7a2310321eba87cd9dc5731c90f
com.farao-community.farao	gridcapa-cse-computation	1.30.0		1fe1005ad1c935e6521e6c895b01cad876e53f06
com.farao-community.farao	gridcapa-cse-computation	1.31.0		219174cd373b1c0307f9a30e2d70e5584ade35f0
com.farao-community.farao	gridcapa-cse-computation	1.32.0		d0e0c719ca449ddad9ed61a2084b1fe4033f9704
com.farao-community.farao	gridcapa-cse-computation	1.33.0		faa5bbfeee4daad38df2c6e7ca993b26be49a8ca
com.farao-community.farao	gridcapa-cse-computation	1.34.0		ce7da4f439b30f76aa96100aa08c948013ca531f
com.farao-community.farao	gridcapa-cse-computation	1.34.1		7ee25a50216b0cb28b024b8011f4f62ddd96b5ab
com.farao-community.farao	gridcapa-cse-computation	1.35.0		ea449be3ec2dfffbd32d6109e2509512fcdea77a
com.farao-community.farao	gridcapa-cse-computation	1.36.0		3b7f6ebe076eda2c45523af2e7aa7d11e7d76f2b
com.farao-community.farao	gridcapa-cse-computation	1.37.0		9d520f6c2fc47f08b51707b0d0dea876d2cb9a69
com.farao-community.farao	gridcapa-cse-computation	1.38.0		b25336b5d71ce41e0f0b89fa73dd30d5591b5c2a
com.farao-community.farao	gridcapa-cse-computation	1.39.0		ca8dabc97f352d7a78edb6499181efd5b49b478c
com.farao-community.farao	gridcapa-cse-computation	1.39.1		f4ca5497911832cb3ccea0d3612cd291bb150bcc
com.farao-community.farao	gridcapa-cse-computation	1.4.0		96e0ff22deb25416e2d2d49d57bb0e0fbc603f6e
com.farao-community.farao	gridcapa-cse-computation	1.4.1		e60809a1de1819c61b3a8bb8485ff0c14196535d
