at.bestsolution.efxclipse.ide	org.eclipse.fx.ide.l10n	2.4.0		f42e96b1062f865296a0ef45d53f2f59638d4d45
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240920.12964.0.v8b5bf925		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240923.12967.0.v5850adf6		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240924.12969.0.v7c80e3c5		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240925.12975.0.v810514d5		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240926.12977.0.vc73c8398		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240927.12982.0.v46f26aaa		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240930.12984.0.v34e731c5		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241001.12986.0.v9b136762		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241002.12989.0.v50ef79d3		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241003.12991.0.v4922d403		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241004.12994.0.v3991c94d		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241007.12995.0.vb72fe917		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241008.12998.0.v085a1a73		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241009.13001.0.v44d905ca		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241010.13003.0.vb79a1d35		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241011.13004.0.vfda42856		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241014.13007.0.vb5371e6c		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241015.13009.0.v19d1b665		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241017.13013.0.vfdb00602		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241018.13016.0.v3621b0df		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241021.13017.0.vfac10709		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241022.13020.0.v61dad494		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241023.13024.0.v2bb40b56		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241024.13026.0.ve6249793		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241025.13028.0.v6753501f		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241029.13034.0.v5423d1c9		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241030.13038.0.v4735759a		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20241031.13043.0.va2307b9c		006d78974543ef04421269cc5061693815efe670
