com.farao-community.farao	gridcapa-task-manager	1.26.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.27.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.28.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.29.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.3.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.30.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.30.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.30.2		N/A
com.farao-community.farao	gridcapa-task-manager	1.30.3		N/A
com.farao-community.farao	gridcapa-task-manager	1.30.4		N/A
com.farao-community.farao	gridcapa-task-manager	1.31.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.31.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.32.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.32.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.33.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.34.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.34.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.35.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.4.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.4.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.5.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.6.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.7.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.7.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.8.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.9.0		N/A
com.fleeksoft.io	io-core-jvm	0.0.1		76102fbaebe93d98c9fc3f770b5627cf7ccbb5d6
com.fleeksoft.io	io-core-jvm	0.0.2		628d1a1cb34c20f78a3d1e6dd86527b7f252ec91
com.fleeksoft.io	io-core-jvm	0.0.3		d670d1ac47f87e611103ab64fe7a73723a825588
com.fleeksoft.io	io-core-jvm	0.0.4		5ace56b2095fa4faabc092bcc08077e2d8c8edc9
com.getperka.flatpack	flatpack-core	2.10		4384edc62f4737940f5ff7815e47b1fc27eb20f3
com.getperka.flatpack	flatpack-core	2.11		e379547d61a6445425cc188ddfc7a6165f90c2d4
com.getperka.flatpack	flatpack-core	2.12		98676b44d42a8a6aa4a888bafdc6a1f367f77cf0
com.getperka.flatpack	flatpack-core	2.13		c61d5f35acac986eb2aeb319b9386c55e4513d55
com.getperka.flatpack	flatpack-core	2.14		916e2c34ebd1b6a451d82979c56e24fa1393cf5d
com.getperka.flatpack	flatpack-core	2.15		607c4575dda34fc782abcbebece9bf7fbf441035
com.getperka.flatpack	flatpack-core	2.15-android-2.2		2676c85dd5e4e5032334f245fd7164a6d1149e6a
com.getperka.flatpack	flatpack-core	2.15.1		a7eba8e15859963c67baaef8eb59009f2525aef9
com.getperka.flatpack	flatpack-core	2.16		7018ed32b7feeb47a638cbded46c0157d803e22b
com.getperka.flatpack	flatpack-core	2.17		e22cb4eb0439bd23b70fdb25f86d624694acccb7
com.getperka.flatpack	flatpack-core	2.17.1		3a40c8cd62df9eaf99a01c9072a356b6978a5ed2
com.getperka.flatpack	flatpack-core	2.17.2		0c06400c68065f7e2d6f8892e9ac0cf305440a24
com.getperka.flatpack	flatpack-core	2.18		4868870bae6c87399228eb8f055e526e4264aeaf
com.getperka.flatpack	flatpack-core	2.18.1		bdb89365ec410ef6141b3a41b6e59b3a6a4fbd57
com.getperka.flatpack	flatpack-core	2.19.0		5dccd5a0196e791f3def5db36f60e9aeae5dc7ea
com.getperka.flatpack	flatpack-core	2.19.1		045643da99e8efea80aaa53fcdb6a586a10b9a7d
com.getperka.flatpack	flatpack-core	2.20.0		558e529bb95bd01ce70acc57fc067f14bff86125
com.getperka.flatpack	flatpack-core	2.20.1		83bde7564ec2ab622b2e1737a53eaa6a55396e4b
com.getperka.flatpack	flatpack-core	2.20.2		ce066a77f48310857cd5b046a572f820383c7279
com.getperka.flatpack	flatpack-core	2.20.3		35e5a210ac9a547c0fa12330e2c09162ca599133
com.getperka.flatpack	flatpack-core	2.21.0		9828edfe44f733563e375776610865041ff0ed27
com.getperka.flatpack	flatpack-core	2.5		c710359d58953753870b3285a78cfc3215e76fff
com.getperka.flatpack	flatpack-core	2.6		4008ffadb3854c3e42d6ec189d71abac06125236
com.getperka.flatpack	flatpack-core	2.7		89517c8a0de6ab1278120c3b2d2e4e344eb32a21
com.getperka.flatpack	flatpack-core	2.8		7afdbc9ac46f47b89724d617c91ab134e1ce5492
com.getperka.flatpack	flatpack-core	2.9		9a8484c63ad78978f89153c9d13a4c366711ea80
com.github.claremontqualitymanagement.TestAutomationFramework	TestingCapabilityRestApi	2.0.3		65df68f708f887409c35b8620caafe9b9239018f
com.github.claremontqualitymanagement.TestAutomationFramework	TestingCapabilityRestApi	2.0.4		5e07f39a845257810e6c94e15a048df05071805a
com.github.claremontqualitymanagement.TestAutomationFramework	TestingCapabilityRestApi	2.0.5		1695c64e4ca1307a2b2710fe6a89cfc674dac871
com.github.claremontqualitymanagement.TestAutomationFramework	TestingCapabilityRestApi	2.0.7		046c75128b9348eaa6fca704290175b3de7d29e4
com.github.claremontqualitymanagement.TestAutomationFramework	TestingCapabilityRestApi	3.0.10		e170c042cdcab5631cb671ea739e0c9f3ade0048
com.github.claremontqualitymanagement.TestAutomationFramework	TestingCapabilityRestApi	3.0.11		99cb4786d587b82b8a38f635f45e415fdc974bcd
com.github.jinahya	datagokr-api-b090041-spcdeinfoservice-client-spring	0.0.1		f9253e19db59a533d0ff925ff2c79fb4c1749bd4
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.3.1		862a65426e480a69f0d7f8ddcd40d9f964bb9124
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.3.2		82098b41a91f0c71ddbf114171c6fd620841636d
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.3.3		e6a1619ba97bf63ec24f5317c56f38c6ba1e4d8a
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.3.4		d561e5334ece0201b5e454bfb47fc61fca691679
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.4.0		a39edf11fa32eda831a660c28c4823626160c68a
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.4.0-alpha1		d1afee8d324006042d864bc8781b5a4d955a24fd
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.4.0-alpha2		607901c1b9ded3d95bfc5366cc4ebd4026622bbd
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.4.0-alpha3		13c59e91243660660ed16cfb42ee09b6c8e37892
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.4.0-beta1		987fcec1825a87c5e27606c99a603cde0570219c
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	23.4.1		d81d33f4009df8440ec3409ad7e113532fd82bf5
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.3.0		b65092a2324dabcd4e509582940ef5ee052709d9
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.3.0-alpha1		17b192f984304fe833e6ac5c2a874bfbb734e309
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.3.1		cc896ed5f0fa36ce109a98c19437c817103b23d2
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.4.0		4ee100608641a9a74127d487b4849d8286b677e8
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.4.0-alpha1		bfd419cca239bde3ebda9dd37c3bbcc912899e0c
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.4.0-alpha2		639f04690c414d50bc34f743dd4f021233249975
com.github.mcollovati.vertx	vertx-vaadin-flow-jandex	24.5.0-alpha1		dc76d6c1e48073a83f0a28064235a2740616062a
com.github.scalaprops	scalaprops-shapeless_native0.4_2.11	0.4.1		457ef5c855eee109e1dd260fd1fc0619a6983111
com.github.scalaprops	scalaprops-shapeless_native0.4_2.11	0.4.2		2764979cb635465673ac24973740c7bcda596332
com.github.scalaprops	scalaprops-shapeless_native0.4_2.11	0.4.3		69d2607a20e3f4579067eb33249abcb593c9b240
com.github.scalaprops	scalaprops-shapeless_native0.4_2.11	0.4.4		00a325db2da1aa158f3dd9390fc9cf327db6e29d
com.github.scalaprops	scalaprops-shapeless_native0.4_2.11	0.5.0		b063b4585a53e5095621d346534832d673660515
com.github.scalaprops	scalaprops-shapeless_native0.4_2.11	0.5.1		68393c8545b92aa9be53dc578116a4967453b054
com.github.unipop-graph	unipop-test	0.2		7155a21d283b0f236cfde9dfc7caf6fd7bcecdf1
com.github.unipop-graph	unipop-test	0.2.1		b6f1ed6313a9be37362e89d859e04e1b0742235d
com.jpmorgan.quorum	test-utils	0.10		N/A
com.jpmorgan.quorum	test-utils	0.10.0		N/A
com.jpmorgan.quorum	test-utils	0.10.1		N/A
com.jpmorgan.quorum	test-utils	0.10.2		N/A
com.jpmorgan.quorum	test-utils	0.10.3		N/A
com.jpmorgan.quorum	test-utils	0.10.4		N/A
com.jpmorgan.quorum	test-utils	0.10.5		N/A
com.jpmorgan.quorum	test-utils	0.10.6		N/A
com.jpmorgan.quorum	test-utils	0.11		N/A
com.jpmorgan.quorum	test-utils	0.11.0		N/A
com.jpmorgan.quorum	test-utils	0.11.0.01102019090814		N/A
com.jpmorgan.quorum	test-utils	0.11.0.01102019093502		N/A
com.jpmorgan.quorum	test-utils	0.11.0.01102019110105		N/A
com.jpmorgan.quorum	test-utils	0.11.0.01102019114519		N/A
com.jpmorgan.quorum	test-utils	0.11.0.05102019083459		N/A
com.jpmorgan.quorum	test-utils	0.11.0.07102019092224		N/A
com.jpmorgan.quorum	test-utils	0.11.0.07102019101257		N/A
com.jpmorgan.quorum	test-utils	0.11.0.11102019204238		N/A
com.jpmorgan.quorum	test-utils	0.11.0.15102019124301		N/A
com.jpmorgan.quorum	test-utils	0.11.0.20191016130153		N/A
com.jpmorgan.quorum	test-utils	0.11.0.30092019115716		N/A
com.jpmorgan.quorum	test-utils	0.11.0.30092019145247		N/A
com.jpmorgan.quorum	test-utils	0.11.0.30092019161842		N/A
com.metlo	spring-boot-reactive-starter	0.0.1		df5f806c0472099324a60e5eacbdba8513e96baf
com.milesight.beaveriot	eventbus	1.0.0		N/A
com.milesight.beaveriot	eventbus	1.1.0		N/A
com.milesight.beaveriot	eventbus	1.1.1		N/A
com.nedap.healthcare.archie	odin	0.10.0		877885cde7fc93774f51ba4381cd31696f535ad1
com.nedap.healthcare.archie	odin	0.10.1		7e75a0b887ca9f6295549a5c06cf858d14d615d0
com.nedap.healthcare.archie	odin	0.11.0		639cf72e94bd8487f0ce903ef9f0d67a6f90d37c
com.nedap.healthcare.archie	odin	0.11.1		b2ddc5e1a6cc7b1dc1bddaafe0c457dc4fb159e5
com.nedap.healthcare.archie	odin	0.12.0		9698bc3b3a3ec52b7c7f673c26a0faa0502b6d51
com.nedap.healthcare.archie	odin	0.12.1		3b765ea0cc4300556a8d93063d6989c952c633e0
com.nedap.healthcare.archie	odin	0.12.2		7d364a37b2b7fb02915d6d736a41c76943ae8c81
com.nedap.healthcare.archie	odin	0.12.3		7d54b83609a95d8148f825fd1c112944ee8ea63b
com.nedap.healthcare.archie	odin	0.13.0		e959a3c8726f9b8bd19fc1baaea54cfc30cacbdd
com.nedap.healthcare.archie	odin	0.14.0		bcd416f445ac2312afe1c977b66f7f742045a677
com.nedap.healthcare.archie	odin	0.15.0		3c0b2bc12451b32931ae4768134317bf229c04bd
com.nedap.healthcare.archie	odin	0.16.0		08d534d764a10e184b115507e291d598002f7bed
com.nedap.healthcare.archie	odin	0.17.0		68016117cd4506fe09cc2935a9db6d01002f79d3
com.nedap.healthcare.archie	odin	0.17.1		d5679ec0f542b748fcfc16d4fc0fcc070ceb9e93
com.nedap.healthcare.archie	odin	0.18.0		18ac9dff2f15540f124af2251747484ec555777e
com.nedap.healthcare.archie	odin	0.18.1		9b117a08fedf9410d110f69dc900619df6e1d6b6
com.nedap.healthcare.archie	odin	0.19.0		1a25dc737f1ef8d6fbdd0615b869017a7c2b1d17
com.nedap.healthcare.archie	odin	0.4.0		1f550e5139a14a94332a3efb162427908557f7ea
com.nedap.healthcare.archie	odin	0.4.1		6552e2004a826943c76f396a9d1ec8bf1914a666
com.nedap.healthcare.archie	odin	0.4.2		1e0848ef41a6c2c4f8bcb0f0ce333ad96ee92079
com.nedap.healthcare.archie	odin	0.4.3		4c55f2494d68a808a051fe7b2095adf333c7ddfc
com.nedap.healthcare.archie	odin	0.4.4		072d15e018eccdc20b6dde35d47d1e85fa197b71
com.nedap.healthcare.archie	odin	0.4.5		843297d04f10d6691da986e818445b0d45b8ec6e
com.nedap.healthcare.archie	odin	0.4.6		c7a7e64d75b78d94d2d493d1abc9738046a236be
com.nedap.healthcare.archie	odin	0.5.0		9c0a0dbee8d9b05ec4d77e371bbdc7e89fb6471e
com.nedap.healthcare.archie	odin	0.5.1		a149a11fc7b703bfe24a9be763ccf5addf0699e1
com.nedap.healthcare.archie	odin	0.5.2		d7036b0979246733ce95bd93a439119f63f80af7
com.nedap.healthcare.archie	odin	0.5.3		bb9c45d3250a9b6f42846c0898560d5eaf3f66c3
com.nedap.healthcare.archie	odin	0.5.4		8891a4591d719c0b5e2c0c601af167732491c89f
com.nedap.healthcare.archie	odin	0.5.5		0e233b4b4d62d8c6fd3bacbe0e0f4b5c3b487ec3
com.nedap.healthcare.archie	odin	0.5.6		a3e3c29127540b8952491592bab55aa665c209e8
com.nedap.healthcare.archie	odin	0.5.7		631f998f512b110f0ffe6f71b88bd9d903d36c80
com.nedap.healthcare.archie	odin	0.5.8		961c686b552d834b9858afd5a7377e029e26d3d3
com.nedap.healthcare.archie	odin	0.6.0		b216ec5b800d934be643f311d17dc0991190760e
com.nedap.healthcare.archie	odin	0.6.1		bfcb89005e4e751d315ca3c3e3ae3f9e7a6f13bf
com.nedap.healthcare.archie	odin	0.7.0		b65f5aac5902b5590c14c4588d97dcb6309b6fbe
com.nedap.healthcare.archie	odin	0.7.1		34a768825905846135ae07b1fbdb8f2073e57e76
com.nedap.healthcare.archie	odin	0.7.2		e3e4d4f7ec57aad3103c187e4b31fbd95e468f44
com.nedap.healthcare.archie	odin	0.7.3		8388ef29c88199d9518ccc646ec90a2173047603
com.nedap.healthcare.archie	odin	0.8.0		b62be23b7972eaa249ff418cb6a6128597ce4066
com.nedap.healthcare.archie	odin	0.8.2		5c77bca929878f823846db5bd99e9b0e20c5a662
com.nedap.healthcare.archie	odin	0.9.0		b3639dcd917b8b6cbda983f4fb2fd18a7c909912
com.nedap.healthcare.archie	odin	1.0.0		99be8989aeb85901131f43d898feb4ecd8d51982
com.nedap.healthcare.archie	odin	1.0.1		d2c1b6966cae623348d5a18e38a24cc9b3ce41ee
com.nedap.healthcare.archie	odin	1.0.2		e0fb1b349bbb6b9b2cd2f6494f047b7d781d136e
com.nedap.healthcare.archie	odin	1.0.3		0829c9f0563aa8085f97095ec35eaa17b6ae0294
com.nedap.healthcare.archie	odin	1.0.4		e3955e4974c9d543f03f035062a6dda0df47133b
com.nedap.healthcare.archie	odin	1.0.5		d4188616518408072f320270f387ac69aeb3a531
com.nedap.healthcare.archie	odin	1.0.6		07e281dba2fc46b1470aa0e7ef79e7ac89428b14
com.nedap.healthcare.archie	odin	1.0.7		3772c57559de0510f53e455ed86101027419c4dd
com.nedap.healthcare.archie	odin	2.0.0		bb0ab7ec7b635b4ba0811fd260c61657215ff0a0
com.nedap.healthcare.archie	odin	2.0.1		24853cdd67e913bfa4dec455647b22e2696153d4
com.nedap.healthcare.archie	odin	2.0.2		77eb49fd90520c89ed078b63721f729b5e80a6c3
com.nedap.healthcare.archie	odin	2.0.3		bc09136df8af2d9debe890f265a389b0bf2ec3ca
com.nedap.healthcare.archie	odin	2.0.4		975acc53ef0c8e7fb2bf9a00240697a75e1de08f
com.nedap.healthcare.archie	odin	2.0.5		7ec7ec08723d2e775e76bdcbe9048f6d276a2709
com.nedap.healthcare.archie	odin	2.1.0		2fe701a3569afe9a07e98bed14f9b94966685596
com.nedap.healthcare.archie	odin	3.0.0		1bb4e0f5c1aba1088d034739e1842906adeae02b
com.nedap.healthcare.archie	odin	3.1.0		9c406da157399eb509a2f747c70d1153e50d37d8
