ch.cern.spark	spark-token-provider-kafka-0-10_2.12	3.0.1		c2417422c31b183ab9544f65630b2ef4aaeeb12a
org.apache.camel	camel-ahc	2.12.5		3422761ce767d17b2b97d9814425cff944b4f81a
org.apache.camel	camel-ahc	2.13.0		ba019ca89c7daad52bf3a00a2f116e987d90c390
org.apache.camel	camel-ahc	2.13.1		29f61668fbe299b6f2e867f6e1ad3fd4fa31c44b
org.apache.camel	camel-ahc	2.13.2		fafd55a13465a292a05c58b6e3f0cd3bc9f97268
org.apache.camel	camel-ahc	2.13.3		4dadb7c4a7abf3c49f9b700e36b8100018465b6b
org.apache.camel	camel-ahc	2.13.4		c0e73088ee90e4247990e405a0fde1153106210c
org.apache.camel	camel-ahc	2.14.0		0cdd38b31bcedfc4f463ef310430b7717b859f13
org.apache.camel	camel-ahc	2.14.1		9ea9bc8dd57e83998f26c2444147ddfed9d8e863
org.apache.camel	camel-ahc	2.14.2		87882d92959ffd6d59d279905d1ac472e3b5f008
org.apache.camel	camel-ahc	2.14.3		0b0391bf8a315b87270a02099a3fc5f70acbef55
org.apache.camel	camel-ahc	2.14.4		d967b61c14b2809d10b0e57454fc7b7bd51d56ba
org.apache.camel	camel-ahc	2.15.0		e8a81907024d26efb30ef74f63865c91ae73820c
org.apache.camel	camel-ahc	2.15.1		6ddbfea6dcca2418b7a3289835b390a5a36bd046
org.apache.camel	camel-ahc	2.15.2		5dcd4d31c7a53fe6395268dda70cfd2395d5848a
org.apache.camel	camel-ahc	2.15.3		c3612d08f7d98d863122769101c32417943a5bbf
org.apache.camel	camel-ahc	2.15.4		6caaa14a5b4a28063a4390a8c128fc6f59a8393c
org.apache.camel	camel-ahc	2.15.5		4b65f1ee208e8d4037d05bdbf227e3c8d0953de8
org.apache.camel	camel-ahc	2.15.6		52d8ee6a39f03e896b61b6c053246f77a1ee679e
org.apache.camel	camel-ahc	2.16.0		7fc9637199693a5697c3c5df3a86a60df846f725
org.apache.camel	camel-ahc	2.16.1		7cd0354e99aa4d7cf6cfa725d3744b5b97cdb363
