cn.spring-up	spring-instance	0.1		03af2df8f492cdc30119741e1d73253005a6632a
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.4-wasm0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.4-wasm0	metadata	3836a44d8f2f6dbcacc67b1ef19d22193c563945
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0	metadata	5940920e36ca0dac06edb01fd08be7569ae2f7c8
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-beta-1	metadata	979f2463e575c6b79b64efb4437aa35243c5ef5f
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-coil3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-coil3	metadata	3d2b86c5ceeb78d9807a5d86eb33f0e7b62c6293
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-rc-1	metadata	2e9b97e8ebe4916d98ea427b708659cee856bf4a
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-wasm0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.0-wasm0	metadata	8bab92856d9a1dcb260381c73ef4b7cfd57b68d2
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.1	metadata	9d002ff227bf28e35e3880ada29c7e6c1d60f38d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.1-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.6.1-dev	metadata	d3515f86925f4e73a6ecffb48639da0e1c54c7a7
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.7.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.7.0-beta-1	metadata	9d610e3bb62b9f7497b1268ce7e1cdc25f39e946
io.github.kdroidfilter	kosherkotlin-iosx64	2.5.1		N/A
io.github.kdroidfilter	kosherkotlin-iosx64	2.5.1	metadata	41b6e07585d66aedc62a9ec3c2da06fd0b0e18dc
io.github.kdroidfilter	kosherkotlin-iosx64	2.5.2		N/A
io.github.kdroidfilter	kosherkotlin-iosx64	2.5.2	metadata	b9ccd633cb4d9bc4c8e4cfafeb1774eaf180a54a
io.github.kdroidfilter	kosherkotlin-iosx64	2.5.3		N/A
io.github.kdroidfilter	kosherkotlin-iosx64	2.5.3	metadata	cabc3c444a8056e3989c175e2a83b3fea4faa970
io.github.lizhian	easier-framework-starter-doc	2.7.2023.1		46c368bf3ce58a683d1b7113dae49831f8e1ebd7
io.github.mjcro	maskid	1.0.0		38ed5549c98acf29975d895dc12ba9cfc1a8265b
io.github.offlinebrain	khexagon-native	0.1.2		N/A
io.github.offlinebrain	khexagon-native	0.2.0		N/A
io.github.soigitrepo	wifi-transfer	1.0.0		N/A
io.github.wherby	document-for-doradilla_2.13	1.8.0.5.113		233c2911f4683a32ba0bc086d19a3bda687b14f3
io.github.wherby	document-for-doradilla_2.13	1.8.0.5.114		96582f45f4ccf7b0fbc3056c39ecf65679a26d73
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.0		0ed32f6fad531d7f1ab9fdeaf2ed608da7edf08c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.0-RC2		ae67bafdd82db38dea0c5bc8ef06dd33b412d252
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.1		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.1-Beta1		0ed32f6fad531d7f1ab9fdeaf2ed608da7edf08c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.1-RC1		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.1-RC2		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.2		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.2-RC1		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.2-RC2		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.2-RC3		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.3		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.3-Beta1		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.3-RC1		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.0.4		d7884ffd81c1597ce58137e6090bb6715623c07c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta1		0ed32f6fad531d7f1ab9fdeaf2ed608da7edf08c
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta3		d9cdf0e9288b3ef9600616ee938bb7668a93b594
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta4		d9cdf0e9288b3ef9600616ee938bb7668a93b594
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta5		d9cdf0e9288b3ef9600616ee938bb7668a93b594
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta6		4b64d19fedbc15921a4cfdb7e9cfad2f65918ab5
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta7		4b64d19fedbc15921a4cfdb7e9cfad2f65918ab5
io.insert-koin	koin-compose-viewmodel-navigation-jvm	4.1.0-Beta8		171343cb960bbbf22cae43ed9fd2e94205422aa0
io.jooby	jooby-graphiql	2.10.0		f6257d05bbff41c209dae465c0cc7a381b0c72c9
io.jooby	jooby-graphiql	2.11.0		62c5ffd7ba5ab5e52e95902a4aab710f5241e00b
io.jooby	jooby-graphiql	2.12.0		b812f80332fc618dff1351dfe9b48e7045c6228e
io.jooby	jooby-graphiql	2.13.0		ab553bc88edacd979fa1e6ba0c84018dfac89c9a
io.jooby	jooby-graphiql	2.14.0		a7527f0df84c8a429ecadff370245694e9c9dd17
io.jooby	jooby-graphiql	2.14.1		1a5396d0c9550ce356f685c27ef28533856636c6
io.jooby	jooby-graphiql	2.14.2		f1a9786bb21285c6980ded4672769b9fe34b5b21
io.jooby	jooby-graphiql	2.15.0		551e5c3d0568e38cd163a93de3037b30e83f99e2
io.jooby	jooby-graphiql	2.15.1		fca4f8b69b5af615b474b02891f5a72abf18e129
io.jooby	jooby-graphiql	2.16.0		764a50db34fbdeaca509867c16c14cd555e9908d
io.jooby	jooby-graphiql	2.16.1		772fa517864afd5aaaa611c6563298d4d03082da
io.jooby	jooby-graphiql	2.16.2		380bbc9654cc45f43443005c59f98c1d84b5bf4a
io.jooby	jooby-graphiql	2.16.3		f3e52f4836ea9edcf853fbd2826fdcdbb8526e2a
io.jooby	jooby-graphiql	2.16.4		c68d49e73100a9148ec14b37c8607f664eefcb0b
io.jooby	jooby-graphiql	2.17.0		a16ff41a09652ca4d01defac7cd3c52733ad8942
io.jooby	jooby-graphiql	2.4.0		b545328830cb2e05ac348a0e8c21b58f26afbeb4
io.jooby	jooby-graphiql	2.5.0		ba42fd513678fc508832aa4eac746084af8a8f54
io.jooby	jooby-graphiql	2.5.1		c76541687e68cf10f1e61690a56748200b9dca77
io.jooby	jooby-graphiql	2.6.0		59e77d401be0ded524f3d99269b998bd58cc4a0a
io.jooby	jooby-graphiql	2.6.1		49e6ef4651012b285a3d7d387be05019896470b6
io.jooby	jooby-graphiql	2.6.2		e2d23ee5cd8ae6a527296513d96e235c33c93daf
io.jooby	jooby-graphiql	2.7.0		981d968ee6ed776f16e38c859aca62992d26c5f3
io.jooby	jooby-graphiql	2.7.1		89ba191bcc86a96bb6127f324155a867428de6ab
io.jooby	jooby-graphiql	2.7.2		e8e2e1ba08b9d00c0c0c353ccafb7e0a97ea3b32
io.jooby	jooby-graphiql	2.7.3		46f7460e43623ab25c3016e8255a2051de864800
io.jooby	jooby-graphiql	2.8.0		ccc6479c631ec2f4a39198c99a47b2a6ea0f1ca7
io.jooby	jooby-graphiql	2.8.1		8d2bd6cf056f28b1e0739e2207207fa925022b17
io.jooby	jooby-graphiql	2.8.10		7963e6c65ce4cb12cf0e67c7fab620387c09230d
io.jooby	jooby-graphiql	2.8.2		38c6a5d4910b0c9ead891c6a672f98e0b2e009fb
io.jooby	jooby-graphiql	2.8.3		81636976244c115fb351cb480472a7a47b045353
io.jooby	jooby-graphiql	2.8.4		6370850e69fcac9c3dbc8c43cee0be98c3ac4aeb
io.jooby	jooby-graphiql	2.8.5		b172ae0aaa681654f54cdce794f9940b7d85ce7e
io.jooby	jooby-graphiql	2.8.6		7dc2a75ec10ea6a66859a6c8a63685ae68c80d16
io.jooby	jooby-graphiql	2.8.7		aade3ed3f8bd0f09b8319e1e19cf037e4dd5c4c9
io.jooby	jooby-graphiql	2.8.8		8a7fec6b7c541ae6ffdc74df1211e58474480e66
io.jooby	jooby-graphiql	2.8.9		0118834dde0579ee71c1146057f5ca16080f65b8
io.jooby	jooby-graphiql	2.9.0		798fb90c2d7ab78f3f5d186b2c32d3d1e3e99d39
io.jooby	jooby-graphiql	2.9.1		8696b0cf28d5d3c0f09d049bfea6762241bd696f
io.jooby	jooby-graphiql	2.9.2		d4af7fff172f4852f2983f711eb1346d03b5f79a
io.jooby	jooby-graphiql	2.9.3		2f9eff58394c9b7178f393a717d98033a99331c4
io.jooby	jooby-graphiql	2.9.4		9155909278f77c2fcb81f8b4b71427120133ef52
io.jooby	jooby-graphiql	2.9.5		977f1a017ad018cf8f50bfb95527fcb90500373a
io.jooby	jooby-graphiql	2.9.6		e4f2bc375d2a061e55d9a9b45e225410175dba2e
io.jooby	jooby-graphiql	3.0.0		65804fa993d462b6900fe6d591776898e55b2758
io.jooby	jooby-graphiql	3.0.0.M1		091992bfccdf11bc346f1d1c0cc8c3653aa4c658
io.jooby	jooby-graphiql	3.0.0.M11		271f71bce7c6ef0efc1b36492b6731c0f2e1ef53
io.jooby	jooby-graphiql	3.0.0.M2		d5fa81d37dd084e4517213a03a6147ff881db592
io.jooby	jooby-graphiql	3.0.0.M3		6307ea4082945d61bcd89aae833dc8d8d66bda00
io.jooby	jooby-graphiql	3.0.0.M4		bb4222ccb41bd9894fad21c827a3802bcc88d10d
io.jooby	jooby-graphiql	3.0.0.M5		c7df452590a2d6de806ca07d0bf3854cff5f6857
io.jooby	jooby-graphiql	3.0.0.M6		d3768be0ee7da575ab3fa73764c1197eee765712
io.jooby	jooby-graphiql	3.0.0.M7		595cebd07b5b9907b866aa0f5ffb9cd352c1cbf7
io.jooby	jooby-graphiql	3.0.0.M9		a5663d46d660740d4ebef7026540895a488c2641
io.jooby	jooby-graphiql	3.0.1		797852eefd160e3b23c602542fdb73d63e01563d
io.jooby	jooby-graphiql	3.0.10		8922a35d86aea369cdd3e9b4a35b03741b1f97eb
io.jooby	jooby-graphiql	3.0.2		874629e3df182a83bf8805d70b76135dd250dacb
io.jooby	jooby-graphiql	3.0.3		19cf92666adf087667189c60a33b14506f20db86
io.jooby	jooby-graphiql	3.0.4		254b57bc05674064c3c1bf753d06ceb56ec1b100
io.jooby	jooby-graphiql	3.0.5		6bbf69f8369e8ad0d2d351fd11357619b46d71d8
io.jooby	jooby-graphiql	3.0.6		f4b7400839c8ddef082ff5d37bd20cd851bf4464
io.jooby	jooby-graphiql	3.0.7		5eb06d13acd1714af7b484cc2cdb3327a9ce492f
io.jooby	jooby-graphiql	3.0.8		6078cf2abcaee4691fd992b01686eb6e13cd27ad
io.jooby	jooby-graphiql	3.0.9		3ea51f51976a9b73bc685cd14ca7b01cb6f6e845
io.jooby	jooby-graphiql	3.1.0		705d9885bb2a596d19f5e4415942b2bbcc635e8b
io.jooby	jooby-graphiql	3.1.1		65c12a84a1f594f399af7d8cc62c44c4f4e90823
io.jooby	jooby-graphiql	3.1.2		e546bf1bdfdfa23b66205c86e4137d77e455abc3
io.jooby	jooby-graphiql	3.1.3		7c9978cd4d4cb8255888740071e4b3c81aeb0c08
io.jooby	jooby-graphiql	3.1.4		39109d957f62a5a42804e5198f71615d397286c9
io.jooby	jooby-graphiql	3.2.0		c2a7ac3b244eca83a173fdf722e8258401ee47f6
io.jooby	jooby-graphiql	3.2.1		281d8ed921283241d05f37cf6d3c6a426cfe6c3f
io.jooby	jooby-graphiql	3.2.2		b95b4ebe303b77818647a94d42b51277f0b0ef23
io.jooby	jooby-graphiql	3.2.3		db2cccf43b915bc0f37e4e31d323514870da59db
io.jooby	jooby-graphiql	3.2.4		94a98813cef2e6ab4162ab37134e9b3ea7b0da60
io.jooby	jooby-graphiql	3.2.5		80648324e1a4eab9379a92e8acda3d3f79349140
io.jooby	jooby-graphiql	3.2.6		4a7f68e52bcca104acd55c7a063e37e4c04ca716
io.jooby	jooby-graphiql	3.2.7		f7f31ac13528de179d5252ea7661510f2099ea19
io.jooby	jooby-graphiql	3.2.8		7004e8e98f18a571cf8db665279cb684e851eb60
io.jooby	jooby-graphiql	3.2.9		ef8d4b5fca614a78ecd3f66933c84bc0eb35b33d
io.jooby	jooby-graphiql	3.3.0		d9825605485e9954df30b295e5b860471fe1ff1e
io.jooby	jooby-graphiql	3.3.1		9cc290774e44984068be1f3b088507a490e479aa
io.jooby	jooby-graphiql	3.4.0		ff4c5f4de2525a8cbb0f9635c8cdd96639e75203
io.jooby	jooby-graphiql	3.4.1		114a6e2992e3306b4afbcb047070087dde711c67
io.jooby	jooby-graphiql	3.4.2		a0e8ad6928966564c3653c504e4d0e41342fa0c8
io.jooby	jooby-graphiql	3.4.3		e6d4c5df73af5da1306b3b53a3e771dfd0c993f5
io.jooby	jooby-graphiql	3.5.0		23dd457a04107256f562535a1fb43b9f2609acf3
io.jooby	jooby-graphiql	3.5.1		48ee7b91b08f219310bcef9b3fb583b200ceb411
io.jooby	jooby-graphiql	3.5.2		c1cc2e7cbb6bf6a33adcc6987f5ba1ae7e71dc09
io.jooby	jooby-graphiql	3.5.3		2812aac7ada801049adbaec93bf3bb7276f6bf76
io.jooby	jooby-graphiql	3.5.4		f0c01646c6373fae773a1a7e093a19f2499896bb
io.jooby	jooby-graphiql	3.5.5		f87b2b61c0b172561064ef64827df67e59d23fbf
io.jooby	jooby-graphiql	3.6.0		4b481e70d7de30148e07fbffb42c6a7787043edb
io.jooby	jooby-graphiql	3.6.1		e701ba7184b4c599203089dec0d5f4f5279c4143
io.jooby	jooby-graphiql	3.7.0		fd2b1349e69e15c82ca333961f69f5c6fc686ba5
net.guerlab.sms	guerlab-sms-aliyun	1.10.0		4a9b1d9d23ec994f0437f434fe9710e9cb6ae953
net.guerlab.sms	guerlab-sms-aliyun	1.11.0		ae0a13d477dcdef6e38032d6510f697a08dd44d7
net.guerlab.sms	guerlab-sms-aliyun	1.12.0		e19429cbf09c46785bce8e9513689f330eecc0e3
net.guerlab.sms	guerlab-sms-aliyun	1.8.0		6ab3c4c07226db686ea121321aca021a40906f7e
net.guerlab.sms	guerlab-sms-aliyun	1.9.0		521bc8c02b4f37dfac5c9fa1f3832dde53a4ad36
net.guerlab.sms	guerlab-sms-aliyun	2.0.0		28ed2f2ea074e7daffcf47e51b751d2bb8336489
net.guerlab.sms	guerlab-sms-aliyun	2.0.1		acbca104d1975c2192cc46578d30516d6b718f63
net.guerlab.sms	guerlab-sms-aliyun	2.1.0		e07126650b139c5f728dd8ffb0632916da84019e
net.guerlab.sms	guerlab-sms-aliyun	2.2.1		c646a0fc17d4a648f78995c7d9f911db5c888386
net.guerlab.sms	guerlab-sms-aliyun	2.2.2		895e378c338c91315122280027b8f53596a16121
net.guerlab.sms	guerlab-sms-aliyun	2.3.0		9dc6ff77f7d78d758b1b35e9309ed6f5bd2e1731
net.guerlab.sms	guerlab-sms-aliyun	2.4.0		64a34282954b2708d167702a122d93912f27fc2b
net.guerlab.sms	guerlab-sms-aliyun	2.5.0		e4c8755d61e33fc04b19ec164f36ccfe94eb3a28
net.hasor	hasor-jdbc	0.0.1		c333697ac448da0e2cf01c887be99d5b979313d0
net.hasor	hasor-jdbc	0.0.2		d2cbc602ac3d61fbc5cabad06f76505f8d46e73f
net.sf.opendse	opendse-io	1.0		938dbefe23a6b40a5b78c01fcf8521f7e2f9589f
net.sf.opendse	opendse-io	1.1		34a2b4b0ab633dc13f2644f3e403f73385b2d3a5
net.sf.opendse	opendse-io	1.2		bd3e1301dbe8abd3412cb5763291396e9389570e
net.sf.opendse	opendse-io	1.3		2f595c438dfe6567aabb938c59cdb888cc06c1d2
net.sf.opendse	opendse-io	1.5		52151ff6b13a5c6ddce067d7b454511fbb25c0e1
net.sf.opendse	opendse-io	1.7		446fc9d970cb03765e9b7d5228139b8716aca9e4
net.sf.opendse	opendse-io	1.8		48b86ad85ff735eb00c4004d2f10eb0bf0c37d68
org.apache.camel.karaf	camel-aws2-lambda	4.10.3		19a2b7e2c7fd8bf47916567b59037b5b10ec1108
org.apache.camel.karaf	camel-aws2-lambda	4.7.0		6a5bf1a6bb9c6180c3133787d2402b4610f9777b
org.apache.camel.karaf	camel-aws2-lambda	4.8.1		2e7cd131feb25f33d5fbc57668cd41495b2d3132
org.apache.camel.karaf	camel-aws2-lambda	4.8.2		b660bc49b8e3d5100baf27649560ccb6722386c1
org.apache.camel.karaf	camel-aws2-lambda	4.8.5		dfd22d484e4dabf8a767105aa4d4c2dfcaf4770a
org.apache.camel.karaf	camel-aws2-lambda	4.8.6		f309f937c35f908ab107f4480081fe831f0f772b
org.apache.camel.karaf	camel-aws2-lambda	4.9.0		f289da26df48cc0851800b398da425c6a9aa2a00
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.1.0		cdfb2a17046bd1392b6a029e3674d9f4d0f88568
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.2.0		20129a302c025014d8aa8e5462612bbc7cbde20e
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.3.0		ad8eb07d7f2364659cd1376ba0265b77c92b0cfd
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.4.0		ac248daf257536f1587b19d271d380b52e4a8042
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.5.0		c152ec5c9b08ff2f3ae1ed4f59e1e93a585307c4
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.6.0		965624c8b4ff323a95bcf6a6915426652bbc33d8
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.7.0		21f46ba8778b56c3dd2508161d7188ed96328d76
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.8.0		d8042c92175a55eff1369f1dcdf57d5961aead7f
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	1.8.1		f9a9fc0869e03969690563d43a1e2a95149df4d0
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.0.0		a25ede92d4af5ad548836fa5a5ea151303f77740
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.0.0-M1		3abf68a7deb780ff94a0c4f155150152a25579cb
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.0.0-M2		c2147de4fffe6acc7c8ce7be8de54800d032730f
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.1.0		3c325474e72cc2cb11d43975c792c0257b0a3c70
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.10.0		9ad371523a9b276269997116ecc7121293cd0afc
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.11.0		9b9e6838eec766acf9f95b354fbfc6744583d1ed
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.12.0		be2c7f62dae86d7849c233d4cad5c1954ff0597c
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.13.0		d53730826499ace40ee803eb6189d866fda73829
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.13.1		37a6a4596165447a6293c4e7c9d78c39abd44f5d
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.13.2		4202c7623ae1ea9b4c921f4c13f580e510363e88
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.13.3		49110bf54abd5d68fdfb787d00a57f5779387d22
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.14.0		5cafc2e8601ec8240429fa6f4c3779308779a550
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.15.0		382f26b7312fe64f5c2a8f5162b4dc2450bcc857
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.16.0		649be9b8f392367a4fc393939eb8691a4918821f
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.2.0		ecec5c977fc2d0170a374265141694d7e2f748ce
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.2.1		48c486f67ee652b7963241e3187d72f79d7a8004
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.3.0		c68ac9f1e0f5b10d48ceed3fb2dbfd9d12d4ca0c
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.4.0		8cb41228f80342443c4f848a278a7e71633b06e4
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.5.0		461a2f1dd82d46c2ae81616f4b6c7f29be261a25
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.6.0		b5f1935c0c2d7e44a26a5841cb666e3e1693cc67
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.7.0		aafee6afe62b02f79e572c1076aeda3f20448443
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.7.1		cb2a6eaaec8cad371179e95e7549177e16ace319
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.7.2		09807c805bb034c00ada25398a65b48c8e3d5b8f
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.8.0		4ef900e81e2e34a5c10eb8aa980c68696b39e7de
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.8.0-M1		fff91ef27c48f5a876283fd6df859173f8598a09
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	2.9.0		4e68ff37b19cc3388e3a1660b7cbc7d2325a54a7
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.0.0-M1		ad3ae2cbaf5482f89b6ff1daa9727abb30519434
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.0.0-M2		3ca88773c7a0f1da3e1b9fcf733c00b22a4c7ae1
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.0.0-RC1		20fe246f713175d7bd6115a07b1e4bd35f350410
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.0.0-RC2		62ff11b60eddb5a96f2d8592bcf9c039d4e0996c
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.10.0		f86123d91fe705c09ae13d0980896290a0086b61
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.11.0		c98bef87a828b8c9bfb3e8cb86e806fd4f10294b
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.12.0		d09df54d236de28bc1d0e40e17edf6f2183fa955
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.13.0		8d5687ee7edd6c9c577d9f9f89d3ab69220b433b
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.14.0		14fa2235e4582ef45c1905c5fa8d8a4f1c8f930b
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.15.0		1c668395bfd320639f2ed7c13577c061776a271e
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.15.1		22219c13045b7c1ebe9dd9be2113fe51b5e40ef7
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.15.2		ad8c0bf7d48d72e8d08e81114c0d9f53ec2692f6
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.15.3		092b4bbe8bdbb162eea6b630e423db9f21dd1929
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.16.0		b641f746624e69eac4d7080e55338bdeb9726d77
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.17.0		06947708964d420c0187a60ac533534646ad5f03
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.18.0		2e3e2554dcf22279ec6c9bd69c2ef3a9411b00fa
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.19.0		8d69419389cc91e03607ae604b3b966578d2e93f
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.2.0		9a9e88a63a6bd38c91053f5286fb3a2a0fcf9072
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.2.1		839165d274507fa9be2cb10d70d2b5d28610170c
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.2.2		9d7b18314e410e50a381278ebd623732077c95d4
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.2.3		3ccc7ff7e73e5221253e5cd6daaa17299c86504a
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.20.0		8571b3112494ab0562dd4d33fe22972ba88beaef
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.22.0		ea9891d9532df51c1f8a5fd40454538d6a1d5f62
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.4.0		925a4dad9bb1b58eb934fee0a9c9de8057bafce8
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.5.0		3451d5d7d177ba5defa34d714e700788ceab89b6
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.6.0		260eda8de1021591a9fd7e23ff7657005b371a2e
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.7.0		2b506038ab749d650296d03aacc7d03ec3add8b0
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.8.0		c04ff6a9dc51b20eb37326f3597a0653d7cb2675
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.8.1		031a97799a0358c95890bc7ad5e017aa46a14701
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.8.2		2444d4da079d60aeba66548169cdb320bda79edb
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.8.3		60b2b58d9192e1941d4c170d3119010d5dde70c3
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.8.4		76f669b1a32384a2302449bd5b9f7cb256675c68
org.apache.camel.quarkus	camel-quarkus-aws2-lambda	3.9.0		8a90b59a0663af82dca6018e2990c0239b05bc44
org.apache.knox	gateway-provider-security-hadoopauth	0.10.0		d46fe33feb81cd06deae1e6e0d6ee657682516cb
org.apache.knox	gateway-provider-security-hadoopauth	0.11.0		45c3dc09e188310a0e8b6958c5a2771b80159293
org.apache.knox	gateway-provider-security-hadoopauth	0.12.0		08f4134bfc07cda0998e6a7774fd975961ab8e45
org.apache.knox	gateway-provider-security-hadoopauth	0.13.0		15e04aa1d699fbbe50dd06ae2407c3cb00358936
org.apache.knox	gateway-provider-security-hadoopauth	0.14.0		ace674eaefec7915244e4c2d1d6c0e5dbb39da61
org.apache.knox	gateway-provider-security-hadoopauth	0.5.0		3daaee517d9076c10f84c2ff9edeb0115b9408c2
org.apache.knox	gateway-provider-security-hadoopauth	0.5.1		2bf496c672d8d0a5b3f9bc2f86cb75effc5b188f
org.apache.knox	gateway-provider-security-hadoopauth	0.6.0		854d2b99b5013fe04eff8db77391d7cb9e3cb4cf
org.apache.knox	gateway-provider-security-hadoopauth	0.7.0		3ba111e66b9cf44cc970d02e2ae5fd7651908699
org.apache.knox	gateway-provider-security-hadoopauth	0.8.0		ec3bbf51f7255939ac13d8d2a6fb9ddd02dde06e
org.apache.knox	gateway-provider-security-hadoopauth	0.9.0		91f0cccac825209c9eca695070a7d9b54f7c9ba1
