com.google.apis	google-api-services-adsense	v1-rev82-1.15.0-rc		4a47854bf94451d19af385ac05242743a5c95161
com.google.apis	google-api-services-adsense	v1-rev83-1.13.2-beta		7c0d5e165c89d62d5f37bb6f41cd6db00621cc4b
com.google.apis	google-api-services-adsense	v1-rev83-1.14.2-beta		4a702a5f198ffcb1340ec4f06fb5727f36dbd21e
com.google.apis	google-api-services-adsense	v1-rev83-1.15.0-rc		91699108e45cf3462bd6a1892c6ad84e212c2a93
com.google.apis	google-api-services-adsense	v1-rev83-1.16.0-rc		3e983e80a4e60604cd5cb9b94b367468ba5204f0
com.google.apis	google-api-services-adsense	v1-rev84-1.13.2-beta		2e6c15c7220f5e00b7b7ad5664eb368ed2aad8c0
com.google.apis	google-api-services-adsense	v1-rev84-1.14.2-beta		dc6f0e9616b573fc9e9db0806ff1f0ac8c91c9ea
com.google.apis	google-api-services-adsense	v1-rev84-1.15.0-rc		6c7ae930326faa96443b560ac053e2748c38aa4a
com.google.apis	google-api-services-adsense	v1-rev84-1.16.0-rc		da924765de8182b9ce4ef4fefd080cd12afc1914
com.google.apis	google-api-services-adsense	v1-rev87-1.13.2-beta		83aa9b4bcb0cb25e9e5071c534f791c391c6e7fa
com.google.apis	google-api-services-adsense	v1-rev87-1.14.2-beta		4cd00c3cf49ea1d60361d793dc11f2905a477de8
com.google.apis	google-api-services-adsense	v1-rev87-1.15.0-rc		f90d4fe89f63fce03b2a88b17e201a66b446b63f
com.google.apis	google-api-services-adsense	v1-rev87-1.16.0-rc		a1ccccf88fd8ba539b852480425b1c7baf8b4709
com.google.apis	google-api-services-adsense	v1.1-rev55-1.13.2-beta		94fbd6f5acf3abb75d8dde04a6df75f21ab1ce7f
com.google.apis	google-api-services-adsense	v1.1-rev55-1.14.1-beta		56d0884b7ac3c0f028f408b1355a639eddba014b
com.google.apis	google-api-services-adsense	v1.1-rev56-1.13.2-beta		aa3c07d18ddc8aa49908be355be195db56651c33
com.google.apis	google-api-services-adsense	v1.1-rev56-1.14.1-beta		8b1f623a56539adf9b29ff2c81f39df3e84f1977
com.google.apis	google-api-services-adsense	v1.1-rev57-1.13.2-beta		efa6690b7c0f1e1e851df45433559a47bfb0823e
com.google.apis	google-api-services-adsense	v1.1-rev57-1.14.1-beta		51bc6588b0f3a3a670df948de026dad5dbb92745
com.google.apis	google-api-services-adsense	v1.1-rev58-1.13.2-beta		31943aa769901936436f17b2744f24cad0fa632c
com.google.apis	google-api-services-adsense	v1.1-rev58-1.14.1-beta		64c1820fcf5b467886ece71347b978a70994f147
com.google.apis	google-api-services-adsense	v1.1-rev58-1.14.2-beta		28bab87f99ec024a2fed64666ce344656862d6f5
com.google.apis	google-api-services-adsense	v1.1-rev59-1.13.2-beta		0600fafffc255339786065c9721500a0450486fc
