com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.1.0		c2ded71155ca219b6fd644f1c47e07c55f2653f7
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.2.0		e75c0950146c02929c1d5c06cc00c20a25c3cace
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.2.1		c9baa7bea8186fa05ec177e71e35be3d0dd1d7a4
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	2.0.0		368a774c861b9de07e4786b0add6ebe224d013b5
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	2.0.0-beta0001		fd9beff5c781af349f01444fbd01dab3813536c4
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	2.0.1		d8e0c0c2744270b78194e631dc8067da6c8cacd3
com.io7m.laurel	com.io7m.laurel	0.99.0		N/A
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.1.0		N/A
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.1.0	metadata	876c16200d4d7a650d4f4745e5ae478f3e561d49
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.2.0		N/A
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.2.0	metadata	a9a7e86316155a62401955ef738d0240debd457a
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.3.0		N/A
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.3.0	metadata	47b9c32834414b39f1b01d010043ec9b37386819
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.4.0		N/A
com.jakewharton.cite	cite-runtime-watchosdevicearm64	0.4.0	metadata	ed7dcfd6e68a1b53e7399b3011e611101bece11f
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.5.0		c4b5ef3d2842747cad19e50666df49b99639a238
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.5.1		027df11633aedd4fb99cc292071cf37d8ddf0191
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.5.2		82d92c2c9c5ad135dc8bc5ced29fd55a0bafb52d
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.5.3		990e341a5866d71de9a31bee778243a79cf81777
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.5.4		b643aa6055cc45838f77c5146d3419cbca5e304b
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.6.0		565cb661ffb53132008069d56046d7d36e6a46cb
com.lihaoyi	utest_sjs1.0.0-M1_2.10	0.6.3		ce8624a3b6507a3d385efa2537d3d82b890a01f3
com.premiumminds	pm-wicket-utils	1.11		9a5244622e36a8b350336772431b8feb6ebd0773
com.premiumminds	pm-wicket-utils	2.4		13a4901bce461d9372ebc78f73a4c27d74aad1b6
com.premiumminds	pm-wicket-utils	2.5		9a545800e19b90f914aa9217efd84aec793eed94
com.premiumminds	pm-wicket-utils	2.6		fe4f9bdbd0f9f3b61df39581452a29960a02f655
com.premiumminds	pm-wicket-utils	2.6.1		264d251329343a57c68191a0e3766d8433e47e6e
com.premiumminds	pm-wicket-utils	2.7		a6e6fb1244db1b61ad5f84993335768f399ba1c0
com.premiumminds	pm-wicket-utils	2.8		e27b423222c261a6405f5f1eb58f40931a9532d8
com.premiumminds	pm-wicket-utils	3.0		7b04d599f3528c0c4b9f2de896effb877b575f96
com.premiumminds	pm-wicket-utils	3.1		194a613bed45228c5c67d91b2063b798a10796ed
com.premiumminds	pm-wicket-utils	4.1		38dc42895e47f26b724233c37f1198b9a0dd725a
com.premiumminds	pm-wicket-utils	4.2		6c3a7aecaf3f14ad1d3380a1e7bdaa966d10f155
com.premiumminds	pm-wicket-utils	4.3		c7c4e1954ac89c9eb7dd45797c2fa58fe58b1ceb
com.premiumminds	pm-wicket-utils	4.4		036f256067310687cd40d32ec6cb9beabffe12ba
com.premiumminds	pm-wicket-utils	5.0		512faeb8b3509fb57a2b34d715ac649b6d6c507b
com.techsenger.ansi4j	ansi4j-css-api	2.0.0		20e71fa7906c14c44007ec8054f4d78622b3dc6e
com.twingly	twingly-search	1.0.0		ed967b6f1dc026b72971b40d6802c4b17e39d8db
com.twingly	twingly-search	1.1.0		6355f89dbe0535171d28ce039c59b2b21db7e5a3
com.twingly	twingly-search	1.1.1		d2e9e2fd20e11c03436b3cb0f026b8b8ddb3c833
com.twitter.common	args	0.2.41		142c375accb9c4f90aa5a268162a9d2875421479
com.unseenspace	jaci-utils	0.2.1		c228cfca349b255d87d10f75ae18ad2357dd02fa
de.codecentric	spring-boot-admin-docs	1.3.1		N/A
de.codecentric	spring-boot-admin-docs	1.3.2		N/A
de.codecentric	spring-boot-admin-docs	1.3.3		N/A
