com.vaadin	vaadin-details-flow	23.3.0		2e2a9a24e2dda009451927281e4d927091269827
com.vaadin	vaadin-details-flow	23.3.1		f06e1ffa27180379c1faf6eb4f465fc752d47c1d
com.vaadin	vaadin-details-flow	23.3.10		e843bf439849f236df73ddad7cdc837255698c16
com.vaadin	vaadin-details-flow	23.3.11		c785101e164a690232e8a1b034b1e51213c20048
com.vaadin	vaadin-details-flow	23.3.12		d477a1aef92ae6ab93f366dc60420e0260ba922e
com.vaadin	vaadin-details-flow	23.3.13		7049434a53cd38411ce1338cb62a5a2b5d4a04fb
com.vaadin	vaadin-details-flow	23.3.14		fe24fb63e61edca8a2f8f6d0c8bfb08d8bc6e1d3
com.vaadin	vaadin-details-flow	23.3.15		9b08189524895744c7c821f99197bffe707b02c7
com.vaadin	vaadin-details-flow	23.3.16		ea82f38700c27c090baf998a196e2f1204957128
com.vaadin	vaadin-details-flow	23.3.17		891dc1bbb25aba3de21c1c707b603813aaf42c9c
com.vaadin	vaadin-details-flow	23.3.18		db03a1c2621db5b652f36080bd5306d7ea6584e8
com.vaadin	vaadin-details-flow	23.3.19		14aeda5bf41fb9b8396b4e88bba169a6e194bb1f
com.vaadin	vaadin-details-flow	23.3.2		ab6ec3b413a51075434f9f5ce79030b407272127
com.vaadin	vaadin-details-flow	23.3.20		f544994673aabd66a43b19f0381a561526192982
com.vaadin	vaadin-details-flow	23.3.21		84c202b3e87066d148519b6b6d412004a818a781
com.vaadin	vaadin-details-flow	23.3.22		c82b750b645f66ec6f99064b777257f6bc16b230
com.vaadin	vaadin-details-flow	23.3.23		11beb4714dadd08943fa38aafbafb98f5ad8fd27
com.vaadin	vaadin-details-flow	23.3.24		d62bf48a78423a716a5c452596c1105a3fdd3a2f
com.vaadin	vaadin-details-flow	23.3.25		73ad6892bac381b94855c7b030876550ad39fcd6
com.vaadin	vaadin-details-flow	23.3.26		1d2f4b575ac7422b015126631ba32505ab0e5725
com.vaadin	vaadin-details-flow	23.3.27		f4b8010888d7f7b2dc50d1c60693e5f330028ee1
com.vaadin	vaadin-details-flow	23.3.28		ee41a935613f9c1deb6e48bc995229d42ff549c1
com.vaadin	vaadin-details-flow	23.3.29		75d7d94d3e6602003b19bd999c86cc76036c63fa
com.vaadin	vaadin-details-flow	23.3.3		b40ca71732522ecb7ee548439406c5b8c4398830
com.vaadin	vaadin-details-flow	23.3.30		a76e4da7a359090b819539fdfd0c2fe89fd370fb
com.vaadin	vaadin-details-flow	23.3.31		fc3e8494ed44af6452da4344e9d7503aad2c1d96
com.vaadin	vaadin-details-flow	23.3.32		376754e105db934bae3c1f8c03a40b298a7181c1
com.vaadin	vaadin-details-flow	23.3.33		04f8c04bb0f2ab234ddd5dcbbd1f0a691871c2d6
com.vaadin	vaadin-details-flow	23.3.34		686778714a33aacc000603bca6a5fc9c9df99149
com.vaadin	vaadin-details-flow	23.3.35		b9cf117ff1178e1a53a4f6007cfc985e352d6db5
com.vaadin	vaadin-details-flow	23.3.4		d3e7572ad71e5e2a51d8634cc6c005ebf1787714
com.vaadin	vaadin-details-flow	23.3.5		132f99c3271caeb753fb1e175149d68bf31ab549
com.vaadin	vaadin-details-flow	23.3.6		24a3f530d56497cb007520a411b7e2cc9f3ae6b9
com.vaadin	vaadin-details-flow	23.3.7		d33fe53859d306c01d7e719c96851b6f3cefabd3
com.vaadin	vaadin-details-flow	23.3.8		8238832c46b02ca647959da3a64f9408f364cffc
com.vaadin	vaadin-details-flow	23.3.9		0f4e2bf04ad03335de0cca740c624de36a5f0a46
com.vaadin	vaadin-details-flow	23.4.0		8e59c4035a0caa10526ee9e5e4da58c110bf5e46
com.vaadin	vaadin-details-flow	23.4.1		ad01c0da66998ed0f36836873bce56d73576ac24
com.vaadin	vaadin-details-flow	23.5.0		2e631dc85b38ff63622125267abe79ec4d168cfd
com.vaadin	vaadin-details-flow	23.5.1		6ee323774424eaa09e3b583df43f54d2efdeac01
com.vaadin	vaadin-details-flow	23.5.10		8ea15edd587dc87d584f9f99d44d2ebcc0837723
com.vaadin	vaadin-details-flow	23.5.11		9517d9b2d6e7590a66af3f6ebacb6deb21947d53
com.vaadin	vaadin-details-flow	23.5.12		4ad8a487adf5ae4ee0c173059f2eaa74fb8975fb
com.vaadin	vaadin-details-flow	23.5.13		b73962ccb392b22574cca7029f86010005069386
com.vaadin	vaadin-details-flow	23.5.14		eb38a29c62ff74d710939b16d7c0b335569e0bc4
com.vaadin	vaadin-details-flow	23.5.15		f8856d34f28e96ef5cb3a60fa2a4583e460e384f
com.vaadin	vaadin-details-flow	23.5.2		1a2c6d5aebf90ab998da05cd13d6788330bdd512
com.vaadin	vaadin-details-flow	23.5.3		6fe8f352831edeb53e4ece06f5204358bd392664
com.vaadin	vaadin-details-flow	23.5.4		c5e9cc887305dae806834176407bf22edd744386
com.vaadin	vaadin-details-flow	23.5.5		c5a36d13b7f9376a98ec4d81107cc9a4a9ba1fcc
com.vaadin	vaadin-details-flow	23.5.6		dae47e39b105ea1d3134f5d11d0266ffd19a5906
com.vaadin	vaadin-details-flow	23.5.7		73ab384a1b4a6ac4518d89c9f0d6d20b18abeb2e
com.vaadin	vaadin-details-flow	23.5.8		ebbb55a04119a01591d4616e7c695ad76a366ae7
com.vaadin	vaadin-details-flow	23.5.9		6056d73f8b55763ec102151af98952fefa07f9ce
com.vaadin	vaadin-details-flow	24.0.0		5dd3245d93acbace86917246cbd5fea5aeb91324
com.vaadin	vaadin-details-flow	24.0.1		8d38b073969fc8ace8d453797afe87eeeec8af7a
com.vaadin	vaadin-details-flow	24.0.10		c972a22ca496be730e71dbe61ae39386e8d9b7c2
com.vaadin	vaadin-details-flow	24.0.11		ebf9c3586d4ee489d943ff8dc3279e801eca8ce6
com.vaadin	vaadin-details-flow	24.0.12		7da896d6b6d0dad2a652144a762934b889dcdfca
com.vaadin	vaadin-details-flow	24.0.13		e64153702e4d52d29fa79892cd75d439f0615909
com.vaadin	vaadin-details-flow	24.0.14		64f17db40cb2e881e712f11fc9f35ce4c89d13c6
com.vaadin	vaadin-details-flow	24.0.2		8320e86f8ba393efb724dc2f42fa57c6c04adfd4
com.vaadin	vaadin-details-flow	24.0.3		2bce81e66c3f6043041e923d8814f1874279ee44
com.vaadin	vaadin-details-flow	24.0.4		314d17b7f0413170569be8add495651c315bd2d8
com.vaadin	vaadin-details-flow	24.0.5		e092c7f6af9819c04923231453752a373c6c3505
com.vaadin	vaadin-details-flow	24.0.6		9983b800ab6777dd4b5f7469c8ecacd459b04982
