beehive	beehive-netui-tags-template	1.0-alpha		107d9b918241826488bcf34a6a1cee5b7a142d70
com.51degrees	device-detection.shared	4.4.222		a301f5fe0576336dc458e4cb117a3bec934a5175
com.51degrees	device-detection.shared	4.4.223		6952491c5fe4f95db5ef558d7f73255b824481e1
com.51degrees	device-detection.shared	4.4.224		d07ac647914950c10b68517b898d2f461eb4a05f
com.51degrees	device-detection.shared	4.4.225		3f553eaef4119f06119f4a7bc4210cdcf396ebe8
com.51degrees	device-detection.shared	4.4.226		6cf1803c57f152b8b732a7a1844c88ad5495f6ba
com.51degrees	device-detection.shared	4.4.227		f547e96335f3d59e99460701415bf1a1fae3d36a
com.51degrees	device-detection.shared	4.4.228		74d2ecf4b872d503c7cc2938b7586a02f75fe44d
com.51degrees	device-detection.shared	4.4.229		cc3bc1d69323206a384ad66682393b2a07a8d64c
com.51degrees	device-detection.shared	4.4.230		ee41dd6a415355b4a134d31042ea1821d6d9bfa3
com.51degrees	device-detection.shared	4.4.231		1849c1c5892167da942603398afad341e1ad0e04
com.51degrees	device-detection.shared	4.4.232		848eb937f745df32452e5540202f6b75c84f7eee
com.51degrees	device-detection.shared	4.4.233		b3e86ea947a60bfec52dc4dc746d3e112a713665
com.51degrees	device-detection.shared	4.4.234		dd1746f772c1d2b786bbfa0267255074362a08d6
com.51degrees	device-detection.shared	4.4.235		50df62b8f770751f94b1fa9aae398fa3e29cb828
com.51degrees	device-detection.shared	4.4.236		8b6096864f5cff7d92309bd889bcdb05848e9334
com.51degrees	device-detection.shared	4.4.237		d0bd93364ccd3cc6aa856dd720931a2aaf647b21
com.51degrees	device-detection.shared	4.4.238		119148ee2fecbde7f375b53823cf45cd36083a48
com.51degrees	device-detection.shared	4.4.27		63536695b99a8d52e90eed0afb032fa82999bcd9
com.51degrees	device-detection.shared	4.4.28		8c733d62fa766ede0eed4d15adb2240baf1291a7
com.51degrees	device-detection.shared	4.4.29		1071a00c9840b025c414c3269de66fe8db6786a1
com.51degrees	device-detection.shared	4.4.30		686830509eae15c0ab8f9cfdccf0a80ace7554de
com.51degrees	device-detection.shared	4.4.31		6af66e96399b8bbfda3abff588b87208a2d42c10
com.51degrees	device-detection.shared	4.4.32		4c511ec34ebe9b13b42f1f61242f309292ea8d0d
com.51degrees	device-detection.shared	4.4.33		624ca348bf5311ee6c4cd5a2b2ea7778551eff4d
com.51degrees	device-detection.shared	4.4.34		a288be10cdf4ab136ea6c453573e6900ef3830e8
com.51degrees	device-detection.shared	4.4.35		b1c56cd634f3633f254d83051b024afdd4f81383
com.51degrees	device-detection.shared	4.4.36		3b0accbe96d146fcbf583ba0a4d1ad5995604ef8
com.51degrees	device-detection.shared	4.4.37		3efb2650d232f1578e30c292151625fe4aa5ae41
com.51degrees	device-detection.shared	4.4.38		550eaaff0af7e63613d9f01be340c67cd019bfae
com.51degrees	device-detection.shared	4.4.39		223ea50e5ab30845017cb4e164eb414655ad003a
com.51degrees	device-detection.shared	4.4.40		389eb807a9b041d63dec557075e202c5250f44b9
com.51degrees	device-detection.shared	4.4.41		c982d187e9078db37cc1ff11e875125341e60ac0
com.51degrees	device-detection.shared	4.4.42		21845caa7b6f3e58ba67ac0a896d6b55bf5b4526
com.51degrees	device-detection.shared	4.4.43		a75dab28f98623322dc28943a9401aeef465123f
com.51degrees	device-detection.shared	4.4.44		37099f7a7b615fb8f66c321d76ecadc0ce9fa0b8
com.51degrees	device-detection.shared	4.4.45		bc5eabd85a7a1802c7de6c953aabe017392ccf7a
com.51degrees	device-detection.shared	4.4.46		e064b301cd6a88add5f54325bc7bd9638f6ad56d
com.51degrees	device-detection.shared	4.4.47		9e6702437d6b0fff4c4b828a422eb0fe57253f82
com.51degrees	device-detection.shared	4.4.48		2522bcbe8a4f5670e14b5458e60e47da63d8178d
com.51degrees	device-detection.shared	4.4.49		c02ca94f67c4f06d3263f940ed09c5c9cce25c53
com.51degrees	device-detection.shared	4.4.5		53d05e73da4d2194360f8d273a505b9b0d93d1bd
com.51degrees	device-detection.shared	4.4.50		e6c64a082bf84a0803759e46d0293774692d24ef
com.51degrees	device-detection.shared	4.4.51		d974d2d8df0d578f3a04ab4fc24c445df2ae14f4
com.51degrees	device-detection.shared	4.4.52		3f4a058ef9e1f95852e0d2716cf55667c7ea9868
com.51degrees	device-detection.shared	4.4.53		069e7fbd523b00c3a3118306c928f37c9e3242ee
com.51degrees	device-detection.shared	4.4.54		f5b2eed71a0bd7adb0908598c899a50747cfeb23
com.51degrees	device-detection.shared	4.4.55		1b1d2c1432ad53c3e6ffa926aeb10d42f0987ffc
com.51degrees	device-detection.shared	4.4.56		02ee90f9ed7ded9916094c22d006745d6cde8980
com.51degrees	device-detection.shared	4.4.57		c315621188934a0c5303d25261821bf37994df49
