biz.paluch.visualizr	visualizr-parent	1.0		N/A
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.18	jspc	327f3b73a893c6614a35b1d782dc941365cbf6d1
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.19		9b0512e5e492c256a484f11ccaeaa22bd3da786e
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.19	jspc	83adcd9570c28a976afac6c3a2b04876ad6760c3
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.2		844b2c8c11e23c6f79e1c092e838b27919929701
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.20		0746d3f8b817f9a94909ac9d0cdd3bf46ecb249a
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.20	jspc	e00caf577b5ab37fef8f9d254cfd255f2fabf05b
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.21		641662d15b4495f5b2a04f3cf7002e862bcf9b5b
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.21	jspc	98bfa3d85e9f0cca5b3005108fce4be9faaf40d4
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.22		07fc95c4c4500a37d0cdc8c44ef0757263311abd
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.22	jspc	f868d9c98d03cd3fdb7964bbda62efaf777b528f
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.23		53286e1766fe11b063aeec63444c75a80ca312df
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.23	jspc	1430d4db7c969cbe314bd04f1bea461af24b48d9
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.24		cc287abcd0a9005ccf0768ade83ee89681289ed3
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.24	jspc	c254b2e57b5910cf94059cccb7c756643b0ad075
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.25		b3b8ba8c54a12e746e725c9d30c6e125df373d51
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.25	jspc	0a9c9ba382cdc192f2c5a486559601db4f406dc5
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.26		b6d47b1d8460d5a44ed4e43e234a7697e42a6e1f
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.26	jspc	9c2f8d65ea3bf6e6fbc28ff6490134906c5f42e3
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.27		98539a591199c011f096fd40e06cd97a934aa986
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.27	jspc	e665a6a8414c7a4f46a619cfafce0f9ae4735921
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.28		a74e2a3e791045190f730106b7fd495c9c87b350
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.28	jspc	7b60aa8d0608d452b2124869daabb68fccd2a308
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.29		4ab988a4845fbd38e856678349a9fd0b9ad22ce6
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.29	jspc	460ccb1073e03da45ef8ac5dade8bd3f27164895
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.3		7d516ad6576ca5cd480ae2ef803debabb628f244
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.30		929f22a144722e3d4044b429b46435319d185db5
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.30	jspc	cdda02b4fb27f5a643626390e9baa41443657420
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.31		ea9f38fe4e9667c11741e6d3684bc62c8bc92f98
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.31	jspc	b8712488789905c6d932fb04ab7692b7d20bb750
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.32		0b903199f0e2888aa12ed9a1ee9356f7785500eb
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.32	jspc	d97e08bf444d5adf9dc6dd2a32983ae55e14ba58
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.33		37f43d6a332cecdaae9553c330da3f35b6c89381
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.33	jspc	95abc4e0bcbc9b9d41fc7739573b87a6ea677afc
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.34		50aecd1be9ad38a2aaf2068c92e4e86df89947f5
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.34	jspc	980966914d367d0478a4cbb7a519dd3a5476d7f1
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.35		ddd29c9dcb821b306ec1cd0f6ea3afcf065b0f0d
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.35	jspc	27f64d7647f05e1bbce95b38bfe5c4934fa14a45
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.4		239df6f0acb3562583b526a6e534038dbac38623
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.4	jspc	0e7609807555bd15b1e2a8c833e1b8bd892df393
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.5		6710a833e30c9c2f6ca8cee12285737b92180390
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.5	jspc	d78f8540ce8fbd5b751e855628c95fee22db6ea4
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.6		593b72498334383826f3888eecdd11df9b28aa5e
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.6	jspc	a01a556ad09f3a23bad0d69cf910810ee777e7a6
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.7		5faac0a8fa9a095af8846d81f70e190b902bc506
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.7	jspc	98e820c021896688537b8d825cb89317f27d1214
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.8		af910657158e13656e66f3a1dd150114afbe2149
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.8	jspc	6b30d868c346a4c9dd4d8d34dae0835f247a8f03
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.9		21d819250771ec635d8ad29f451d858a67782f54
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.9	jspc	c5b448d415cb39fc7aa40dda6f149cafefb65188
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.0		dbf38acd6f0e0312278e60e516782f99b8365a12
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.0	jspc	d7ec1d8b32ede5043ca3ba5ad82efe6f2fb58232
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.1		4e4092203b1ea2ca761d4aeafea398bf179d1631
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.1	jspc	f97ac28797acdf4d188b668d2c9d9f37db582e6b
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.10		a73e6c8fa9c229b1f524353a87f0cff29e912674
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.10	jspc	4977c3233b6a210dca99db3ef457e8c9f1729e6d
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.11		6bcd3d107162b23ccb83c8c5193c0093caf3e555
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.11	jspc	cea49aa6cd259b7caaed41102a4c0aa83e2684ab
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.12		fa3f8a97c48aaf5be83694aa36b08ce574118f87
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.12	jspc	4785969a0c7b1c71f74cfa1d49076cef52733d69
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.13		b4a3ef679e60f567f93e9c3d829a2fd9ef43b6dc
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.13	jspc	be9fbfd50c7ec62c1fb58753bf85ef0105dd9d70
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.14		2510c7cefb20a698fe47183efa5dd24f86475ed3
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.14	jspc	10a55350353dde8543c47ed9f917dc9ccb73f910
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.15		dd68d8f7f3d4c9a54a42bc3ce95568c383100867
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.15	jspc	09f22b4cbeda9e3a61e08bf1219b6170cfba14de
