com.ibm.websphere.appserver.features	webProfile10Bundle	24.0.0.5		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	24.0.0.6		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	24.0.0.7		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	24.0.0.8		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	24.0.0.9		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	25.0.0.1		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	25.0.0.2		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	25.0.0.3		N/A
com.ibm.websphere.appserver.features	webProfile10Bundle	25.0.0.4		N/A
com.javaguns.roses	log-business	8.1.2.1		cada2731d356dd653e7cc6fd1023627dfe180de5
com.javaguns.roses	log-business	8.1.8		62af3747f0081f4581c9294dff8389967b06be91
com.javaguns.roses	log-business	8.3.0		1cbe9519ac2f8989a48728f0c5766786674f98b5
com.javaguns.roses	log-business	8.3.1		3e9eba39b1a306a2d207b62b2bc55a2cd2219950
com.javaguns.roses	log-business	8.3.2		e5d475206d6d3b257e50388a9add01dd7fc5fa5f
com.javaguns.roses	log-business	8.3.3		730a07d655522bdcd13504b83ca1e2e206703667
com.koekiebox	git-maven-plugin-root	1.1		N/A
com.levinzonr.reflected	core	0.0.1		ec37197144ac4764c43821f4d36b43d54233c7af
com.levinzonr.reflected	core	0.0.2		ec37197144ac4764c43821f4d36b43d54233c7af
com.levinzonr.reflected	core	0.0.3		ec37197144ac4764c43821f4d36b43d54233c7af
com.levinzonr.reflected	core	0.0.4		ec37197144ac4764c43821f4d36b43d54233c7af
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.10.9		c3604ae26024c766edea7f5d93dd915d7d2fb623
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.10.9-alpha-1		a1240afa71a4f5499e2591a708bbb42f8607c3a3
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.0		695931ec10cd9ce2fb817d29dbd99278ef084ff7
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.0-M1		3a0b6969d77fbfe2dd1b542b221ae61391631991
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.0-M2		67e6f8e3124e1e6adc5e477b192518c62a790dac
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.1		cabd47e0745b8ecbf76f7685917c00c506a3cd3c
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.2		23b0aeb2c805bb0d299be587edee979fe6d25be8
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.3-M1		473d52a6a937e80cdabd6e2f56cb17e5e1bb64e4
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.3-M3		41ae76aafa62d618027c54ecfc11aadf6200b734
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.3-M4		fa283662f0ae6da0ee3a7fe979661385a2a3bbd9
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.3-M5		f9f3e38c989ee7af66a32e6bc182f9333b166721
