com.outr	profig-macros_2.12	2.3.6		0a5c785e787b974ddb75da406f16c008a2ecfbb7
com.outr	profig-macros_2.12	2.3.7		f95fc46c9b3a53b5d9e81f6a84ecc52326072f7c
com.outr	profig-macros_2.12	2.3.8		4f88c7a1ac0ccea388a8febb258885462684d6a2
com.outr	profig-macros_2.12	3.0.0		25e1faef4a404c148a4ba1b513d62f252b22ac6f
com.outr	profig-macros_2.12	3.0.1		1972ca9408a4329a38e150217417fd2ae16b89d4
com.outr	profig-macros_2.12	3.0.2		a376bb6d9cf4d39d32597823da8748748d54ff65
com.outr	profig-macros_2.12	3.0.3		dd8dc93f65704a0a0b788d1478d6ae08661ed42e
com.outr	profig-macros_2.12	3.0.4		102fd19a7f5c505316241ed037e03de4ca622761
com.permutive	prometheus4cats-java_2.12	1.0.0		8f9e9a4a52f4d016f9ca138abc248bd43ef4b8e1
com.permutive	prometheus4cats-java_2.12	1.0.0-M1		5b86b0677ece57c0e8e075df7df71a46d0d34e5b
com.permutive	prometheus4cats-java_2.12	1.0.0-M2		993a4d5348d6d8ef9aca4dce264a48443dd8754e
com.permutive	prometheus4cats-java_2.12	1.0.0-RC1		5a73b267d1ef0f1555caa8f88677a094010f0b15
com.permutive	prometheus4cats-java_2.12	1.0.0-RC2		684c32593510d7f8d22d359ce6f2a8634b0b9433
com.permutive	prometheus4cats-java_2.12	1.0.0-RC3		b7dc97a2bdef645bece42a34b114aca2ad4726c3
com.permutive	prometheus4cats-java_2.12	1.0.1		e88149a48ddce21d7c34cda47eafc9ab4078dc22
com.permutive	prometheus4cats-java_2.12	2.0.0		ef6ff36a9d6bbf5dc30b0fdbaca5965c5a35697a
com.permutive	prometheus4cats-java_2.12	2.0.0-RC1		44c58b34a3b2acaa603d067a3520f1aa951f274d
com.permutive	prometheus4cats-java_2.12	2.0.0-RC2		de9d7e669ce3db1b9e23ba9c1ceae0250c253445
com.permutive	prometheus4cats-java_2.12	3.0.0		94cee7b9a93d859ab2a711a4363a908f964f4b3b
com.toast.iap	iap	1.1.3		N/A
com.toast.iap	iap	1.1.4		N/A
com.toast.iap	iap	1.2.0		N/A
com.toast.iap	iap	1.2.1		N/A
com.toast.iap	iap	1.2.2		N/A
com.toast.iap	iap	1.2.3		N/A
com.toast.iap	iap	1.2.4		N/A
com.toast.iap	iap	1.2.5		N/A
com.toast.iap	iap	1.2.5.1		N/A
com.toast.iap	iap	1.2.6		N/A
com.toast.iap	iap	1.2.7		N/A
com.toast.iap	iap	1.2.8		N/A
com.toast.iap	iap	1.2.9		N/A
com.toast.iap	iap	1.3.0		N/A
com.toast.iap	iap	1.3.1		N/A
