com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.1.6		895172da3cc39334773d5ff25c7dbb440a5ffe61
com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.1.7		ade5d7ae80043a0b4f2eef21ea8ee6b7f0a15e3f
com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.1.8		66e532f77d0bd59b1e65b29849b4d8b9f32d6db3
com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.2.0		5a62b6c30bed72f6b9df3e6b6b8978e35c6880f7
com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.2.1		d14a4f35fab303ba561c7f566f9f3428878fb936
com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.2.3		2214bdf3481cb4d41830e30ce67ee4178bcf535d
com.github.j5ik2o	reactive-aws-ec2-akka_2.12	1.2.6		d0091bacb81c433c2a6064407f2bf66466c02424
com.github.lafa.tagchowder	tagchowder.core	2.0.1		d28a3a4544ea2f113f8b80a9fd1661a7cc8bf1cb
com.github.lafa.tagchowder	tagchowder.core	2.0.2		142da99f0b6d53fa963ed00c1b7d549c8c3fddc9
com.github.lafa.tagchowder	tagchowder.core	2.0.3		1f115c5a0a65a10b13d77d79fdea1205421fad77
com.github.lafa.tagchowder	tagchowder.core	2.0.9		85769a51e17bd112d227a3a75343553feef4ef87
com.github.megafonweblab.histone	histone-acceptance-test-cases	1.2.15		1ff665031da45b15e427f44e3383d4be6ad49a36
com.github.megafonweblab.histone	histone-acceptance-test-cases	1.2.16		5aff2868ad4211072c3900702b99827fb63f185d
com.github.panhongan.bigdata	kafka-helper	1.0		2cbe49f9af6260426a8a7044607feb997619f98b
com.github.panhongan.bigdata	kafka-helper	1.1		6ae59775ca740458496667a344dba7fbf99b67fe
com.github.shynixn.structureblocklib	structureblocklib-bukkit-nms-116R1	1.11.0		c68c86eb25154deaf0c66786fa9e8fefddbbea7b
com.github.shynixn.structureblocklib	structureblocklib-bukkit-nms-116R1	1.12.0		e4cfd41eefa95d347d07ab0beca26adaea0c3c31
com.github.shynixn.structureblocklib	structureblocklib-bukkit-nms-116R1	1.13.0		7b45ea2b6e95ad36c0b37f4ec816aa9dfc81ab8e
com.github.simy4.coregex	coregex-scalacheck_2.12	0.1.0		7da7338567bd926ba6cc9219bbaf29e86be8854f
com.github.simy4.coregex	coregex-scalacheck_2.12	0.1.1		f7c8df914620bdfa6d686b0a07ab9f8389484533
com.github.simy4.coregex	coregex-scalacheck_2.12	0.2.0		1821750f0b35a3611d4d3b127b33d5a887aa2d97
com.google.cloud.sql	jdbc-socket-factory-core	1.0.10		48e026dd4cb96705d5d0ce2ef5623836de2c681e
com.google.cloud.sql	jdbc-socket-factory-core	1.0.11		1692359da4f1dfe52ba6908b910c0ebda436423c
com.google.cloud.sql	jdbc-socket-factory-core	1.0.12		9be21cbaefdd23263dead0e18c5721fb15674c1c
com.google.cloud.sql	jdbc-socket-factory-core	1.0.13		415eaf52af58832d63af548231df5e76b8b6bea7
com.google.cloud.sql	jdbc-socket-factory-core	1.0.14		d13c15a01c28193c3fef345008070dbc69989517
com.google.cloud.sql	jdbc-socket-factory-core	1.0.15		c52fc3ecc7c9134ffa5919a9051f213af7decc94
com.google.cloud.sql	jdbc-socket-factory-core	1.0.16		b67ad33a13ca37fdac2b0484d3af4930681feec5
com.google.cloud.sql	jdbc-socket-factory-core	1.0.4		15e99d10636a969f7aefd1bcfa321fbddd2b0458
com.google.cloud.sql	jdbc-socket-factory-core	1.0.5		d9c30fe21b5e331f0edd5e170060aa3b3f3c19aa
com.google.cloud.sql	jdbc-socket-factory-core	1.0.7		300d2650e533107f254be3494471b9b6d8e30604
com.google.cloud.sql	jdbc-socket-factory-core	1.0.8		7f0163b375ecd189949fd4b5e3e217565d0f04cd
com.google.cloud.sql	jdbc-socket-factory-core	1.0.9		994b1baad57c127aa31dc58b7dc7f72de5d81160
com.google.cloud.sql	jdbc-socket-factory-core	1.1.0		db2e4bd02fbd65f8fab3f492eb1b9f1746ff22a5
com.google.cloud.sql	jdbc-socket-factory-core	1.10.0		9a1716ac1df0d6427171a921010a23585b1aa130
com.google.cloud.sql	jdbc-socket-factory-core	1.11.0		53113f456c301afd1ef3e4edfd240ff9267da43e
com.google.cloud.sql	jdbc-socket-factory-core	1.11.1		2c2cd7825bab69084a6c4f1d7f570b51396f6057
com.google.cloud.sql	jdbc-socket-factory-core	1.11.2		4734b5d534ae9019f9b232a16aa364944faa4b26
com.google.cloud.sql	jdbc-socket-factory-core	1.12.0		c9a2f2fe10ce3ee3b0bc62a2d6ff929c8818cccb
com.google.cloud.sql	jdbc-socket-factory-core	1.13.0		84a416f9b2caae7ecb12bf6dcbc572ad86e0b1b1
com.google.cloud.sql	jdbc-socket-factory-core	1.13.1		9201ff4a2656d562be84da1f3ed7c83e86b6129b
com.google.cloud.sql	jdbc-socket-factory-core	1.14.0		23085982995fd78ad471b53c3127a3d2cd4b6cdb
com.google.cloud.sql	jdbc-socket-factory-core	1.14.1		2145fc4533c31581e58b3e14bef745f3d7fee652
com.google.cloud.sql	jdbc-socket-factory-core	1.15.0		c9464c88ebebb24823940b8c3b1705c3771dc230
com.google.cloud.sql	jdbc-socket-factory-core	1.15.1		37253440b8ecc270ff5e6e1401f35535ac059675
com.google.cloud.sql	jdbc-socket-factory-core	1.15.2		11494afc5c324d008ccb8961cc794b58985fb67d
