africa.shuwari	version-zio-prelude_native0.5_3	0.5.0	-	265f4efeabe0ba0fad4cba7c52e11c063fbc069c
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.5	-	5845c0ccb4f17e840af9e632eac24dd3c957c15a
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.5	pact-jvm-provider-sbt-2.0.5	a07d724be23ffd10e29ac8acaeffd26818e844fc
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.6	-	86f7039f28381002c3b293ac83b86e35ee6cfdbc
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.6	pact-jvm-provider-sbt-2.0.6	6f94f8db4e2defc79ff73ec2a160f9544faab3f7
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.7	-	15226c61dd1df5a1199387794aa0c422072f4973
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.7	pact-jvm-provider-sbt-2.0.7	e5d9bcffc9518e521c8327f1426d2eba6a294d02
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.8	-	606b2ba3479d0a7108625caad49a8021a0c7e238
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.8	pact-jvm-provider-sbt-2.0.8	674126ae4dca64292ec953afb23261da38fec26d
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.9	-	05a2a3ef622814ac17a430ee26e355e139419769
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.9	pact-jvm-provider-sbt-2.0.9	21c6fcd1109be77a9996487bbd3c6f835b829412
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.1.0	-	791301ab6e665cfc20633b5faed141b4d8869e81
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.1.0	pact-jvm-provider-sbt-2.1.0	e4644d1f9bc6c531fc168cb48c50efece335c84b
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.1.1	-	e11caca43af6e14627f022c94641ca3fede6553f
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.1.1	pact-jvm-provider-sbt-2.1.1	362595a3059555ab23f328a84e66b83c8baf6ca3
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.1.10	-	80793141835953ba5a7c22d2e08df4056d16b449
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.1.10	pact-jvm-provider-sbt-2.1.10	772888ca2ec300099e61ac576b5eb9f3c08dd368
