com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.0		a345314e063e54be20bd4281a724b830a1bcc5bb
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.1		a546efbd5b6672d0bb3d84dcbd2d479f6c9c6479
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.10		b05f6302090ea42574d27387c5f9a1b102f22095
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.11		fdfd1c01867af5f9aef7fc97489145a4e46e8552
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.12		3ee1a07f96afd3a46eb36c5be7a15b42542b611c
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.13		8ff9bc37c11a7ba6f6e05c1f9143472702b221c8
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.14		5316df039fe2ceb115c3ed3bd9c349c3ce1977ca
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.15		8edd810c3e64f59d28222f3155f86acf8aab7e37
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.2		1418526f7033fa1bdfa96053bf86d23d98cb8c23
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.3		cb38377833995dbb9fb82f5de1a6480793794bfd
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.4		5dd87a54c4e29e21fcb720068b5f65d4fb5d11f2
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.5		27e41127b58f07a3f303e29e18bb381b30d621a5
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.6		024e49f60c1edab920bd21e8475c86b65ccf3196
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.7		bcf3408bd56a3c9c7823195cc3b8c5b058f070fe
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.8		4c0c10b9327790f1f74b7db1be50aa9298b642a4
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.20.9		2357e7f73d55afa563811f56d3caadc1112dadf1
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.3.0		57e91322afc3454dddadcbc3d3b145f068e4a400
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.4.0		a22d9bdd4371e75dee6982921247d27581e5af53
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.5.0		1522fa3b7925b2f03a7b02f6b42cc53a70864c49
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.50.0		abb3d11f560589e9fbafc270484d340ed146f53e
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.51.0		c70b231986121f2f14860a60f82ce616f5f78a46
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.51.1		5f34582003997e0f7341f288b8f11b0478af941b
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.52.0		3acebe6cb71185e5651520c21e341505d39ca584
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.52.1		1f4a9cae42b65299d2993e9e52190adfc9d921ee
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.52.2		787ea37a7db861bc40f08a8c99076794262ec888
