com.google.cloud	google-cloud-service-management-bom	3.52.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.53.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.54.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.55.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.56.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.57.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.58.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.59.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.6.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.7.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.8.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.9.0		N/A
com.googlecode.etl-unit	etlunit-mysql-database	1.6.0		369c9e2ad7f6296ac231c52187b8f759daeb6327
com.googlecode.etl-unit	etlunit-mysql-database	1.6.1		c4cd8a23f0a362df194ad6cfc2681bfec51f6c56
com.googlecode.etl-unit	etlunit-mysql-database	1.6.2		74012d1654d291e5fdf065f297f208c6b1635765
com.googlecode.etl-unit	etlunit-mysql-database	1.6.3		8f78db9b8d4ed4e32708e95f755f97d516c67034
com.googlecode.etl-unit	etlunit-mysql-database	1.6.5		9036a68e84d406aae193393460ae876c53134270
com.googlecode.etl-unit	etlunit-mysql-database	1.6.6		15b9f30bc137dd064285cbf7fdbc9d9c65f20ee6
com.googlecode.etl-unit	etlunit-mysql-database	1.6.7		17bae947b711328a2e81f6482032cc02741b550f
com.googlecode.etl-unit	etlunit-mysql-database	1.6.8		c894b45637d41c7a344c858b99ff7774905da837
com.googlecode.etl-unit	etlunit-mysql-database	1.6.9		08b560879e9f829f209d3fb054c6ea247e5c3e6c
com.hubrick.vertx	vertx-kafka-consumer	1.0.0		be0a39096bfdecf967d07f6e9f6e9dd74ea63434
com.hubrick.vertx	vertx-kafka-consumer	2.0.0		8fdee8b57df5c716b09629d6daa91a378cf4e721
com.hubrick.vertx	vertx-kafka-consumer	2.0.1		adeb36fbad5fb4a2d00c2fedb1b5298e40172eef
com.hubrick.vertx	vertx-kafka-consumer	2.0.2		65ba5674b47dc97f8ca46913162f1808824c7253
com.javiersc.kotlinx	coroutines-run-blocking-all-tvosx64	0.1.0-rc.1		N/A
com.javiersc.kotlinx	coroutines-run-blocking-all-tvosx64	0.1.0-rc.1	metadata	d38bd807cc6f0667499f10c6cf893c7378f857a7
com.kubling	kubling	24.2.0		N/A
com.kubling	kubling	24.2.0	jdbc	1d52740bdb1d45b35c597178dd0700474de9b2b0
com.kubling	kubling	24.2.1		N/A
com.kubling	kubling	24.2.1	jdbc	c352ad0f4ec2a850607a70cc9ff74df49658fe38
com.kubling	kubling	24.2.2		N/A
com.kubling	kubling	24.2.2	jdbc	5e5b00b552c47686734a4f8c6c58db38d0586731
com.kubling	kubling	24.2.2-RC1		N/A
com.kubling	kubling	24.2.2-RC1	jdbc	21b0a1c0fbcbf333b320d39d6c1b3f83f9038a66
com.kubling	kubling	24.2.3		N/A
com.kubling	kubling	24.2.3	jdbc	1089f4b83f2fbd87094fd47870839893d6397ce9
com.kubling	kubling	24.2.4		N/A
com.kubling	kubling	24.2.4	jdbc	9af8c7184217023a9dd41d2a04206fdb4624db59
com.kubling	kubling	24.2.5		N/A
com.kubling	kubling	24.2.5	jdbc	392beebc863b1b2ffa960f81196c5a89504e76ca
com.kubling	kubling	24.2.6		N/A
com.kubling	kubling	24.2.6	jdbc	71ce19559dc27a6ad44361ff6f64bd95b73cc7e0
com.kubling	kubling	24.2.7		N/A
com.kubling	kubling	24.2.7	jdbc	948665c4a9fe5191332151e00ff84df96e6a28be
com.kubling	kubling	25.1.0		N/A
com.kubling	kubling	25.1.0	jdbc	a749bdaad9b3c0ca3a75570ab73c69f5792f5c8e
com.kubling	kubling	25.1.1		N/A
com.kubling	kubling	25.1.1	jdbc	eae6a1c72252b645e36825e63306386479b3e78e
com.kubling	kubling	25.1.2		N/A
com.kubling	kubling	25.1.2	jdbc	8e1ecebc20a20722ecdc2a873e88d0b45c4f156a
com.myunidays	kiterable-iosarm64	0.0.1		N/A
com.myunidays	kiterable-iosarm64	0.0.1	metadata	d25f7b93d817e1c78a372d7dd0779c6f4daf05b1
com.myunidays	kiterable-iosarm64	0.0.12		N/A
com.myunidays	kiterable-iosarm64	0.0.12	metadata	362cc582606ad859875151c2d77938f5314ea431
com.myunidays	kiterable-iosarm64	0.0.14		N/A
com.myunidays	kiterable-iosarm64	0.0.14	metadata	a658042083871f82013101cf43e47c549af93c0c
com.myunidays	kiterable-iosarm64	0.0.15		N/A
com.myunidays	kiterable-iosarm64	0.0.15	metadata	93a40a8da6104c1cee2c0a50d9fdb95c3b06f3d3
com.myunidays	kiterable-iosarm64	0.0.3		N/A
com.myunidays	kiterable-iosarm64	0.0.3	metadata	b2804cd19917b3e7c7f49a1d5dae35cf727c49c2
com.namics.oss.spring.support.terrific	spring-terrific-support-samples	1.0.0		N/A
com.pippsford	canonical-json	3.0		1584690a4b11724bf8a49b423309a6d603399245
com.pippsford	canonical-json	3.1		21ac951314f265a86f416e4cb875c55fd65529ac
com.pippsford	canonical-json	3.2		6c8f8988a805dc633ab9e345c36a2eead9cbe169
com.pleosoft	pleosoft-feign	1.0.0-RELEASE		N/A
com.power4j.fist	fist-core-web	2022.0.12		c2a5d0d56445c21e776e97d9ae35bc5873e83c2f
com.power4j.fist	fist-core-web	2022.0.13		0eb21e2c384724a2d2688557c154db622e456c05
com.twitter	util-security_2.12	17.10.0		010d426c38b8400b840f652e66f0de34712de299
com.twitter	util-security_2.12	17.11.0		0572ff1a6e5e2be71beeb54668d4a8d190098e07
com.twitter	util-security_2.12	17.12.0		6d1ad7cfc944eb8166cb397538defcfe01413cf3
com.twitter	util-security_2.12	18.1.0		3bd5dc3eab96456d91c738f7c1648a70e1a95cc5
com.twitter	util-security_2.12	18.10.0		1799576c2f2c93cb44e50445882ac7b3f03d3be2
com.twitter	util-security_2.12	18.11.0		159875ec68dea0ac07299a9fc77050dc51465455
com.twitter	util-security_2.12	18.12.0		f8d1542fae86269c555696d72637bccd249505ae
com.twitter	util-security_2.12	18.2.0		848403a20b7ae00a4e89bbac4faf67bb0a63073e
com.twitter	util-security_2.12	18.3.0		7220bf8fae6c9ae60f7f56fa02a1eafabefa306a
com.twitter	util-security_2.12	18.4.0		f0be1e4d5d8f74a14f66eddeb89915538c5a4eb5
com.twitter	util-security_2.12	18.5.0		46504f0995f66a8127d218695281dd978a137681
com.twitter	util-security_2.12	18.6.0		49063092ca45b170fddc1a508960cde92ea42f77
com.twitter	util-security_2.12	18.7.0		5a4a0a6c49c25ff986eeecd474172c3e379c37ee
com.twitter	util-security_2.12	18.8.0		f0d6fedda452da03f0fd582155fe1c1007368329
com.twitter	util-security_2.12	18.9.0		5ee8d76145be82a3a879f0978f6f513fb7c471b2
com.twitter	util-security_2.12	18.9.1		9d88698978858207b653d0ae35afaca008965d3a
com.twitter	util-security_2.12	19.1.0		07d419597cbfc3e18b1d96686415a78719f3be67
com.twitter	util-security_2.12	19.10.0		f574739064f77a4a21a28a5757700a5660899b67
com.twitter	util-security_2.12	19.11.0		1eaa783c2e158e09280155f4240758bb15f322f3
com.twitter	util-security_2.12	19.12.0		2d69f529bfbe2d9388ac061349f6a6ba695ee253
com.twitter	util-security_2.12	19.2.0		216a9e65af06f50315ade799099798e447aa8779
com.twitter	util-security_2.12	19.3.0		4e2b50b1441ab9713193f54b3a9504b7d5f7edf5
com.twitter	util-security_2.12	19.4.0		8bb9090ff3a5118701c0187785e65b389130a95c
com.twitter	util-security_2.12	19.5.0		6afa3e80f9cd2acdc307adb18ed5f9c3f92365ec
com.twitter	util-security_2.12	19.5.1		149a6036e143acce3eaaba6df972c23ece840417
com.twitter	util-security_2.12	19.6.0		e9ab73b195f3968514a3ce61b58223e278fa60c6
com.twitter	util-security_2.12	19.7.0		02f61701544ccce24f2b9fbff3e189aea841e671
com.twitter	util-security_2.12	19.8.0		24deb3b20bff23adc3326a9086a2ddd68911687a
com.twitter	util-security_2.12	19.8.1		ae134cf4b75952fff8dc39bbdbcee6ab4d160322
com.twitter	util-security_2.12	19.9.0		8bfe7cc5974f28f843386fd5a155b624c7b5055a
com.twitter	util-security_2.12	20.1.0		e7ffede53f5214d2565b59549604f6ee207538c8
com.twitter	util-security_2.12	20.10.0		86fc1ac454548914d120a9c367aabcbb28ba9551
com.twitter	util-security_2.12	20.12.0		d53e8b124e4d7cf7719f472ba8dad476e911ea7d
com.twitter	util-security_2.12	20.3.0		61566803dc542c2968dab394b4a321428f83f864
com.twitter	util-security_2.12	20.4.0		f55e236925c9340c66be70291df354836b3cdeb5
com.twitter	util-security_2.12	20.4.1		435fe9b2648c5a857b6d9ff95b3f0b21bcd6711b
com.twitter	util-security_2.12	20.5.0		8b7ca88c0dc21c17307a07700e04201d6ee38319
com.twitter	util-security_2.12	20.6.0		35b013230da2a7503ab02c8e8cbb5546fb413463
com.twitter	util-security_2.12	20.7.0		16e9e3e5b9d718797f90c06fec2bb48216f20eb9
com.twitter	util-security_2.12	20.8.0		e90666a3e5fd9454606988954d0899ec8d6ae6d6
com.twitter	util-security_2.12	20.8.1		c148ae6ffef62fcbfd1ca8100fa08d7f92566598
com.twitter	util-security_2.12	20.9.0		6af4a0309bdad12cb6cc13556872c7d6cfda71aa
com.twitter	util-security_2.12	21.1.0		0f0ebc331dde76cb1909906aa3e2ef57e0a4b278
