com.farao-community.farao	farao-commons	3.6.0		23e564081a6707e109f9b0962450bf715478f93e
com.farao-community.farao	farao-commons	3.7.0		5ab64ff7ab7f7cd04f59baae8fba93a9c2f162f8
com.farao-community.farao	farao-commons	3.7.1		668979f0117ecae5df01395ac25656d65772578c
com.farao-community.farao	farao-commons	3.8.0		28039da1abdf27af7b0790686d7b3edb9a79c3be
com.farao-community.farao	farao-commons	3.9.0		74e17d1a40274ae3352fa7d9928a83a7c6c5a01f
com.farao-community.farao	farao-commons	3.9.1		f087ba8dd09ac46e6c4c0904196702d33b5aca69
com.farao-community.farao	farao-commons	3.9.3		863313a31983003da084301351be2e3a9dbfc389
com.farao-community.farao	farao-commons	3.9.4		c249c7af2ba2d85e3bf3b5e67cb4ed52080aaba8
com.farao-community.farao	farao-commons	4.0.0		6ac9559e3c3c52d28e0dd31b067d973bdaeaefee
com.farao-community.farao	farao-commons	4.0.1		d4963d3b249cd9f7986d096937b66f181cef9da8
com.farao-community.farao	farao-commons	4.1.0		69bd44e27fe3edded82b5ee1890d4d20f563cd02
com.farao-community.farao	farao-commons	4.1.1		7d1de1a2944863bb68eff2299d14fa23ab0d902f
com.farao-community.farao	farao-commons	4.1.2		19daa1995edd864e186e73726f89e3a151daa982
com.farao-community.farao	farao-commons	4.1.3		f8cd3f17e4500ae6b0e1d17057aada2b7493bccd
com.farao-community.farao	farao-commons	4.1.4		a776c6ffeced901959865a62432377be72b7bd9b
com.farao-community.farao	farao-commons	4.2.0		c87bb3e5094c82f1e0354b2aa13817b696ce661b
com.farao-community.farao	farao-commons	4.2.1		d4349e5d66899efda261bafceb9d69704d8c4b33
com.farao-community.farao	farao-commons	4.2.2		91cc06c3f2ebf0275d373046fafd203193eda515
com.farao-community.farao	farao-commons	4.2.3		d78d1ebe6a7b95bac56c80f11308bfc1b95f01c8
com.farao-community.farao	farao-commons	4.2.4		57dcdac245e5f4b34178086c548becb2bb458a6a
com.farao-community.farao	farao-commons	4.2.4.1		aa809ead3d86594ab477a7a05ec8ffdc1fd04e9e
com.farao-community.farao	farao-commons	4.2.5		a4c1aa38822451c897d2eae9b9f72129b4e565d7
com.farao-community.farao	farao-commons	4.2.6		1b2c69b87c7040aa4e9543a576bf72f71598dd49
com.farao-community.farao	farao-commons	4.3.0		eb76619b3a7f79c402530a551a4d700746bfeaef
com.farao-community.farao	farao-commons	4.4.0		42da4137be937be092b61312f9a89d56e85184df
com.farao-community.farao	farao-commons	4.4.1		0f9abe8d34737248ae722f0055e6b4cc38f9b6cd
com.farao-community.farao	farao-commons	4.5.0		7cce9068d61da24a8e4d197750e3731d21cd240c
com.farao-community.farao	farao-commons	4.5.1		b0bb76c1fba714b491b2ac44fb4ecb137efa3ede
com.farao-community.farao	farao-commons	4.6.0		9c59f7be1637911946547021cc15a36659832913
com.farao-community.farao	farao-commons	4.6.1		94af19b1d7c2576d6184a7ab1364d4601a88451e
com.farao-community.farao	farao-commons	4.6.2		b6ab440de42e6da833ee756ec25a05018c5a8bba
com.farao-community.farao	farao-commons	5.0.0		08339667647394c4ad783e01c7da2bce0ca2c304
