cc.vihackerframework	vihacker-mbg	1.0.6.R		3b8d23f17787e4cfc9ea19af354c6eeadb3eca19
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.20-Beta1-1.6.11-BETA-6	metadata	675b893d4161ca35c5ed144025dccf4572c1ed0e
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.20-Beta1-1.6.11-BETA-7		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.20-Beta1-1.6.11-BETA-7	metadata	91964ddab1363e9dc4c12eab1a3a4427e1c8d0df
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.21-1.7.0-BETA		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.21-1.7.0-BETA	metadata	0c7dc2e46a9d069e0025518d171b588af8344a24
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.21-1.7.0-BETA-1		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.21-1.7.0-BETA-1	metadata	9b0d4a5152c3c770eaa3fca1a3d337241a76f5bf
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.21-1.7.0-rc01-BETA		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.0.21-1.7.0-rc01-BETA	metadata	86733a27e72fe165c346ce13fe271a198622ad4a
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.0-1.7.1-BETA		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.0-1.7.1-BETA	metadata	6acdb2faac743a3db48d00d3f395a27f1ad06f8d
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.0-1.8.0-alpha02-BETA		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.0-1.8.0-alpha02-BETA	metadata	b6d6433ac7d1aa967680dbf7b2c8d458b4bbe640
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.10-1.8.0-alpha03-BETA		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.10-1.8.0-alpha03-BETA	metadata	8662d51f8ed3f3273223180c0a371f6866244cec
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.10-1.8.0-alpha04-BETA		N/A
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.10-1.8.0-alpha04-BETA	metadata	88bea634baa2fcf12f6f6461632b5b8edeb67c02
com.github.guilhe.kmp	kmp-composeuiviewcontroller-annotations-macosarm64	2.1.20-1.8.0-beta01-BETA		N/A
