cc.co.scala-reactive	reactive-web_2.8.1	0.1		906e210cfef063412dfdcc32af1c350bae37f25b
com.powsybl	powsybl-ucte-util	5.1.0		7557fbe20b05905474d215cdf377c342739ad235
com.powsybl	powsybl-ucte-util	5.1.0-RC1		4e8535efd7f1ac66b86c61727d5ffee0818a0176
com.powsybl	powsybl-ucte-util	5.1.1		dcd12b34844170b38860a9b3f2e6da975405c0e1
com.powsybl	powsybl-ucte-util	5.2.0		2fb3d3a6528e332f2294e3843b8c6c07390fcf79
com.powsybl	powsybl-ucte-util	5.2.0-RC1		26123f1f9dc22784b207b4ac81fea6fd937bc540
com.powsybl	powsybl-ucte-util	5.2.0-alpha-1		220b3c400fd9f223d2025f9ec68ea8d1c72e7cc3
com.powsybl	powsybl-ucte-util	5.2.1		b5264c30d052616f01aa032def7f2724ead537ac
com.powsybl	powsybl-ucte-util	5.3.0		ca9427e8092c4324704fd5dfd5c8c7f35e909c50
com.powsybl	powsybl-ucte-util	5.3.0-alpha-1		c92e3f3827a602bc45b7a7826b62f46e49120382
com.powsybl	powsybl-ucte-util	5.3.0-alpha-2		77dffe3ab05918fdd1ca9e9cf3e56a600abdfa90
com.powsybl	powsybl-ucte-util	5.3.1		9ecf49ba3333fea982644221b7748b3cee79144f
com.powsybl	powsybl-ucte-util	5.3.2		0b538364977dd5e03be0b5aa723751e5c0b22db0
com.powsybl	powsybl-ucte-util	6.0.0		50d980b5adf2b8f149977d0872660ad144aa71c4
com.powsybl	powsybl-ucte-util	6.0.0-RC1		11003c676c9713d79f53332ef52b659e8b2c4947
com.powsybl	powsybl-ucte-util	6.0.1		e8edff806e1e58be4291928aee8c9445ddaa168b
com.powsybl	powsybl-ucte-util	6.0.2		e007856f2db8133793346370b5c2c0539f6cda1d
com.powsybl	powsybl-ucte-util	6.0.3		43533de943dde66a5b11460b5255f8b9f525fe50
com.powsybl	powsybl-ucte-util	6.1.0		b951b85cba38ae6759fdb9f3ed4a6aea9f2ae217
com.powsybl	powsybl-ucte-util	6.1.0-alpha-1		09e9e18b42d22742566143ea169785d896209323
com.powsybl	powsybl-ucte-util	6.1.1		fbed173e67f7e9c598607cf28dd01cde1f98787d
com.powsybl	powsybl-ucte-util	6.1.2		93395594fcf6e3f7de897196f94670bb1ce7bf54
com.powsybl	powsybl-ucte-util	6.2.0		e0f8cfbb41ec8bb1cded56960d04d9a746a720fe
com.powsybl	powsybl-ucte-util	6.2.0-RC1		c6608c5ab775ad2bcc9abd722e96634f522e2ac0
com.powsybl	powsybl-ucte-util	6.2.1		a8aa1eceb560e5cb52f75ccf93873f304e2671c5
com.powsybl	powsybl-ucte-util	6.2.2		954375c2dbfdc4f7e4844263e4e916bb0f46f2ac
com.powsybl	powsybl-ucte-util	6.2.3		9d4b297627780a6790932b561868877efc6eeb4d
com.powsybl	powsybl-ucte-util	6.2.4		72eec187b20f5ab65d743435fa0a868362f2a2ec
com.powsybl	powsybl-ucte-util	6.3.0		bd6d3906eea9c3c9be04d9fd8cbcb6063495cc84
com.powsybl	powsybl-ucte-util	6.3.0-alpha-1		a957296f6fd32e507bfb77a61c11ae7461c52400
com.powsybl	powsybl-ucte-util	6.3.1		607b1c5be54b7aa4169efdf59a977791348c4959
com.powsybl	powsybl-ucte-util	6.3.2		3dbc5bc8a8433d001c9e2d35dd194e0df354d267
com.powsybl	powsybl-ucte-util	6.4.0		690e6ac8cbdd088f83162fdb46563d2efb64b155
com.powsybl	powsybl-ucte-util	6.4.0-RC2		f5e47ed1131ef3e30ae2d9944b6a95853e046c33
com.powsybl	powsybl-ucte-util	6.4.1		9fe87b8da8773ae047de11a23f3162a9b7de5523
com.powsybl	powsybl-ucte-util	6.5.0		3f5cafe00c197acb3fef619d0e8afcebd8d6111f
com.powsybl	powsybl-ucte-util	6.5.0-RC1		84ccdad39e00535ffe4003b4dcf1951bc0aa614a
com.powsybl	powsybl-ucte-util	6.5.1		c83ef102a376ac838054981a14a841533e29fbde
com.powsybl	powsybl-ucte-util	6.6.0		d02862687faebc76b96d7a28d5e0fba4068d6d8c
com.powsybl	powsybl-ucte-util	6.6.0-RC1		42bc98b3e4b03acc8dddc22d5c9bf6b194a9f161
com.powsybl	powsybl-ucte-util	6.6.1		62a9a042e734529b1df0190291779a4a61913f22
com.powsybl	powsybl-ucte-util	6.7.0		d7a946ecee3aa634190ad09d3f6b8cff38e0def4
com.powsybl	powsybl-ucte-util	6.7.0-RC1		821822e8c97426a2f33f6f4235b7eb318ca5e9b8
com.predic8	soa-model-parent	1.5.4		N/A
com.predic8	soa-model-parent	1.5.5		N/A
com.predic8	soa-model-parent	1.6.0		N/A
com.predic8	soa-model-parent	1.6.1		N/A
com.predic8	soa-model-parent	1.6.2		N/A
com.predic8	soa-model-parent	1.6.3		N/A
com.predic8	soa-model-parent	1.6.4		N/A
com.predic8	soa-model-parent	2.0.0		N/A
com.predic8	soa-model-parent	2.0.1		N/A
com.predic8	soa-model-parent	2.1.0		N/A
com.sdl.delivery	udp-cil-tags	11.0.0-1023		27423b9f104131ee58722b814d763641a4e05abe
com.sdl.delivery	udp-cil-tags	11.0.0-1048		21277beaaf2e3d7be2937cf8430528262f144e5b
com.sdl.delivery	udp-cil-tags	11.0.0-1058		4351856a265f7005d33f7c05e0e7500eb43799dd
com.sdl.delivery	udp-cil-tags	11.0.0-1061		96594b145fdfdd164a2bc641715bd68bd3ae0901
com.sdl.delivery	udp-cil-tags	11.0.0-1069		8488c61198a080d840e9d90d094c148ef2b785b6
com.sdl.delivery	udp-cil-tags	11.0.0-1072		214e3589e8abfd6986e73f925db6cbdb8375c520
com.sdl.delivery	udp-cil-tags	11.0.0-1073		a8fb60a15edf900d226bc4640a670568d023589c
com.sdl.delivery	udp-cil-tags	11.0.0-1075		b7562fed62bd5cea7de18a968e2a1ec70c7d27f3
