cloud.altemista.fwk.framework	cloud-altemistafwk-bom-tsf-custom	3.1.0.RELEASE		N/A
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.17		c6410a3f2ad54d59a2778f3a04dcc08145c37c26
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.18		44b2894fb456889f5a0f1979d91da234ee586ed6
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.19		f71a900d40dcf3eb2f617620fbd6a1d0ae535f0e
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.21		fa84266036127258616a8c32abbbb6b0373dbccd
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.22		b1efd6b472540bca77c26bc32f17f1e63df2a847
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.1.3		886508d2776ac5e1ab7374c1346e86b10b988e25
com.harium.gdx	test	1.0.0		df7bd54ac306ccc917f63095097cce1dd57deeec
com.imsweb	validation-edits-ncfd-translated	001-01		c947ae311c8e4494c7a695bbcea55d412cb950c2
com.imsweb	validation-edits-ncfd-translated	002-01		049665f40d8f1395b57a0c953d051e332e9cb627
com.imsweb	validation-edits-ncfd-translated	003-01		cde3e086433e97ea06e8a07e2a07fcdb3938a138
com.imsweb	validation-edits-ncfd-translated	004-01		d10082b789f62c1f3379efaed413281f8858d509
com.imsweb	validation-edits-ncfd-translated	004-02		6d2dd0561eb20e155ed21ddf9b0741c73e2b7609
com.imsweb	validation-edits-ncfd-translated	005-01		d1b726d023f6c390a18bc2cb06021c0307599ffd
com.imsweb	validation-edits-ncfd-translated	006-01		95d077894f51a559e398e1acec26ed65580648e4
com.imsweb	validation-edits-ncfd-translated	007-01		31abc97cfe9d49b7b994403c77b5f6bd8215dd39
com.imsweb	validation-edits-ncfd-translated	007-02		637b33adc886162fb86b4d48667dd073b934ef9f
com.imsweb	validation-edits-ncfd-translated	008-01		7d382b8b236b165901105943e9fa7aff0b90146d
com.imsweb	validation-edits-ncfd-translated	009-01		889ab8e051f0d8b00ac0f4033f95398857848d85
com.imsweb	validation-edits-ncfd-translated	010-01		a0ae28037c4dbbb4be6688571e5b8224290a079e
com.imsweb	validation-edits-ncfd-translated	011-01		24b788cb0fa75a3ef81ecdfc94d4e441c0b004ae
com.imsweb	validation-edits-ncfd-translated	012-01		95929054f15244ed7726f75314fb803a1cb9a172
com.imsweb	validation-edits-ncfd-translated	013-01		fd14b844120866dfbbd93ef644d71c9a357ec861
com.imsweb	validation-edits-ncfd-translated	014-01		c9eed62506a6dd5ee80809a5d689b4b9445d4be1
