au.com.domain	accounts-autocomplete	1.0.0		N/A
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.626		600be2196ee2a64239db796b568069ab2459ce92
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.627		ed342463daa5e2e5f6d9b4804cfc7f8858fc5b8a
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.628		b816ea5ae105b3f5353e1877f82511bd1265dd23
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.629		3bde219d86c9e72815d4a2458098284d1d4913e2
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.63		8c3e09d59c07ae883e2782fa6fecfe20a8b7f9ca
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.630		09d5a90313152216dd193599cb972c962687ea22
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.631		b70abb87aa712dc9fac781520c12961c6e70f783
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.632		6a7a7daca6784f1a5e5d63e760b758bb3a845925
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.633		cf1c06c6fb016c53db9a8363abd8ea791dd82706
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.634		8529f90f1a2b975664cd86328efb0642d1d63970
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.635		f611a3f527f1e1303ebb33d4192a6bd28c896018
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.636		872e68ebfa470a565b52d032d63ed04fd0df90c4
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.637		a961d2acabfe7679fd739c2905849e8a03ce7fd2
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.638		fd30a5c189f02ddea2989f27468b570cf4afbc11
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.639		ad61b14317c089249c549a0f85f946ad1f28861f
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.64		094263d4fff6b2df080d9b09dfa8ccee97fa0962
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.640		8fcd25650f780d91bec4fb090cabeeaf9d3e5569
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.641		e712d4a6aa05ad943d65a69f46689baaf003986c
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.642		bc5109d463b24a1657efbdd37a136a1d3e715cbd
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.643		f5bd469eedc5252f64bab21c80e7bcd360f71d8f
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.644		a9693d99c92e9bee04c15f87a5fdb6ae92d65c15
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.645		e01e1af9c08b895e6b5079dbcdf2d725c743bed5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.646		e4a8e103038b882333cb7e19b9a9e5346304153d
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.647		3ac99fbdd301dc92c968344358c87766624c5b0b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.648		0bf3682a45e9ae5bf8bffd0d0dd8e2f0f609a6f0
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.649		03054114653740c7a10ae2f6b91fd8d382b2090f
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.65		d593eda951f492ece69ceb164d9f32c6cfecc2b7
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.650		99576e1420d2f83ad567673eb19c92061d565b45
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.651		1c0d6f6cc1a491d6f320120fce7aa35fa10e3c03
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.652		dffec116d7c2628b309be2d186c0c980b3fc8578
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.653		9a03f3a4589702a64ab8ddbfbfcd7ea1e1630480
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.654		22bfeb44f4407143a6f046fe64079517d2906289
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.655		0ab1e6e3b6c8d86a33d8a3f4d1178db094f7fb10
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.656		acfb2c7469ff6310eec7b365d5d537ff2d6db1a3
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.657		fb775c10d5321a84f0e3e659811d8b498a29fbf5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.658		823e760a055bb4c2ebea467e0c599425ff3d3573
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.659		a49b8efbb97bca8aa90cc03807b78f8c9e79232d
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.66		6923e915e72432f8758a57fadc26d4aa85b4e8c0
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.660		de4dff8af560c355dca56fbcaab667e9928ba1f6
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.661		65874c38733a5a191805e13145fee81e0d17ee3d
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.662		bbbc696356a44feb6a60a217ba4a2ed8e851ddec
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.663		0c72e3a9f291203e50dff8d42fdf45435567c33b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.664		cccd313bb1dc5b2775c0b62fc34b0d32908d2064
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.665		acfb7a750f9a7e82ce0ef38c011acf6411153f52
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.666		3508b38a19cb9ae721cd5df61009fa95d3e4ac83
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.667		2ac22f0860175e2c02a9306de51736b891bbf975
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.668		2ac01476850de2c936be282bc4b2546334442a7c
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.669		b39eba032bdd58017b0369fe9c15ae717782f166
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.67		68018ef1caa51d182b011c6fbee581bfda6877a5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.670		1502684334c060f20ff93109b46c2631c4a82936
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.671		9111643782495ebbe2f473f09d870b33affd42a4
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.672		36c51507a5dab12cb74584fc7846f14525cd43a0
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.673		a63e7eeb50bb66c71b64670b426bab91fe0a21fa
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.674		138ac87be3a4df29dc6e0d45e99dc3622dbee00c
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.675		dd5d3fcf106ab8b0a529368cb2d766ff694d91d5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.676		3efa5458beb0a790ff488033998360ae7834fa47
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.677		29fa9a82154b68b2290d5295dbd09b3564149d70
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.678		73f93b2913d10e5b2431b6bddcb1db3df106d5aa
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.679		9aab6079609045d13c18c5a402fb29a32d41cd01
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.68		19c2cdf53016c30baba97d1b8d229da30752477c
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.680		b936320311f8b84c349d598ac81f406360d29de0
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.681		c6200e5a35c9023e83e5bca7a943d76ae081898f
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.682		11e67fada21acc182cc4c145e69c8107607bedb6
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.683		29b72937c64c1a60e29ae81d094aaf5c6315d094
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.684		8c9506149a24e0a5b491be33dfee7e3aa971cd32
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.685		ba0f68bfc1619bae844658299859afac231e8ec3
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.686		4a7724f96a258daf0f0312efc6b98827b8b14205
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.687		7800584a106abb29aacfd1fe4cb778acd7a3a83b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.688		5f863d58e3a0977f0bca9d3980a3e4498ec74071
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.689		ff07311713471b395a9d7b5a5b30108f9dbc2395
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.69		ed4c1507b7e624e19bac24b34e296bf1053fe6c6
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.690		7efa550e428851f2475367490780ec405d0aa419
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.691		ba9b8f1dbd033f26c0f125e19f33bae592b8020b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.692		2842b2487189daf23b0636fa8d522ff82ce00539
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.693		9f854c013c8374327eed0b19730223dfa4653813
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.694		9ad7fd8a15e5190108ff1f7c28e7bef412bbe770
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.695		f36f74ef9c7021285b49b024a1ac7caa806838d8
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.696		13b0c580e0923f234518679af26b6861555ecd82
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.697		afcc26a228db227423cfb8088a98ce3b8b61205d
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.698		0a4aff9fcd3715bc5b97e049ed049dc87be117fa
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.699		3afddc6a3ee2f37ed42497af61838615600b4574
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.7		fee1143d86e28910158e282b99b721207cbec310
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.70		2ca340f2fcfb91c5aab9e449680234c7bcfa15a2
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.700		73376d52c70144942947404c944ca83b7a48f724
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.701		873a2178b0a68fc2831e5c02055cc4cb94e171ed
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.702		c89a3c35f7e9494536d4c30f141f3e94549088ff
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.703		7e0cae81a2f8bf3e76c7de7c7eda12e523f5259b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.704		ecfda8fce3dde15a2de2a50577db57a19fba6a34
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.705		3ec031dcfa0c602183efbef25f9affcb9f3efab8
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.706		a81a9771fc1c6e39a6655b8791988eef6fc12133
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.707		ebe5e9f1675b5c0295e514ec7317d8eb24832fe3
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.708		da2b2862eaa87ed13972b30f551d16fe9ecf391b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.709		9ab3b34a4ed68a302aae54ecce48a74d848c9823
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.71		5c2c2a2bf01b9b207f111d56023a49e081a8ce73
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.710		d4fc8c97ed77ae80f5cee085fd6412735372b888
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.711		1927ecf23404c455985c4852f074bad9836c7e20
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.712		91cb2fa36614d4a68c6fe99a2419064afb77b143
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.713		8aae3d19c44ab8902a724e0706ccac0a8d672ee1
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.714		4ab1f0246dc4bf591046db3819926c88ed0c6447
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.715		3aec30d597ea307b45ba1c977c4727c621a919bc
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.716		e88d9343a8084fc5b4205e9a47ea216ce16232ef
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.717		f796868e2dd6ce5ef410937d5aae88f50f2fc9fe
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.718		e8477657cbbd642b6fc28b9ba95cb91f6724bc25
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.719		d17170d8f528243bba2bbb12671c359f2f3e0dd5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.72		acc033c074036b23a5e52d286005f4c53b9572bc
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.720		b562f645253dc54e1eb469504fed637846383bc2
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.721		51ef758e9fecdae4e8f565b0a32d796026f50c9f
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.722		4e5064d2e902abf3aac2445d41712ea6b98b75bd
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.723		af03fb5847bc8a653c81ba2c4e34a63bb30d1fed
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.724		2010a507d9d7f3184842946c5d3bbb531d5bbd6e
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.725		1a831291c496d4927b32ceb1572b2d1d747c78cb
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.726		8c5f5c4635ccac6dd7380c6e389d2632a7cea215
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.727		9aab9115870ef56c3c700ca3dde8f15f14485984
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.728		533d554976a6002faf2d317ac1837b841c2acf3b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.729		ed2ea0c26902ca01f98ee36713a9d75b6ada9686
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.73		2259c1e953714ff2382a9d3899031d65f5cfd693
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.730		81185873f8b449f4134486b9e133a59b2c99662e
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.731		4133738526948a5933acbb8135a1fe0c0ce62f5c
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.74		1e4578623ba0a812e3df256cf57ba4cd25208e39
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.75		adb3c9b1beb956a93a3667a52003d8700ab80579
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.76		42aaea782a55bb7a9435a9f90f33b152fec97d3a
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.77		24a87677007eba9eef6c71bb5344e2f82750eb63
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.78		7070a87aeac05d91cf8abd0039c072c550bbf4d5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.79		64513d44bc68b932ebe77b1809c3d0f293ee39a6
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.8		5eb80dbbb40b756130ff2f93f328cda05973effe
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.80		94588e7d68ded44a23be67698b89ad3623eb1ffb
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.81		ce5249abf0c8c288e3809bde0fc56406a09878e5
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.82		a363c0e74c5ed8d2ba90b576ebb62db601d4e7d6
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.83		00c9fa9dba7e26e7a9fe75d434b5d5300a6406f4
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.84		c502660c59e35dce23a8f921cb2b7af7ea661dbc
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.85		2830d8858ae1ecb7e26b0b7c875e4c0e9c9b4cfd
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.86		b3712f1662d0ba210c38ec52490156a7acbef9f0
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.87		d21881ffcd17797360651083ab5fae2346808c84
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.88		543fc4c30e9f0fe30aa453075894415035b1c994
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.89		33c0445ffce2e08429571d95eae68116e64d6bb8
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.9		c4ada6d87581f25c7ac145fb91c61003db18de0b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.90		b786be4540ea865638c5d5e8f381ac53d09f2c5a
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.91		380dcf61008165ca6903bb69716003ce1c4750d9
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.92		67967d756589b514355b431b6df341798647ede2
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.93		efc22337f324734f03c28d93956b19e8cbfac540
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.94		db8b96cdcc00f6db9d70f2ccbda9b6fbbaa472b7
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.95		c372126adf9d5e011636f75dc722230f848962d6
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.96		23354779f7fd346b2c44634c8939b235ea5f4464
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.97		fe5ce4d1eeed991cc19bbe1f7eb983c9bb56c08a
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.98		cabf7e924c5cf361ba92cb2e62f52c4ad40ea4bf
com.amazonaws	aws-java-sdk-alexaforbusiness	1.12.99		d2f63a402fc62fb193d55dacc3fe342254c3e31c
com.antgroup.antchain.openapi	openapi-ak_5b7ef338f3d44a83981161fc92af8f5a	1.0.1		ba444cde1cf717b1324229e333da2c2858b1108c
com.antgroup.antchain.openapi	openapi-ak_5b7ef338f3d44a83981161fc92af8f5a	1.0.2		d2b247af0b084949a476bf9e2945673f5df6cd25
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.1.0	metadata	a85b547f7399722c107fbd2bd6d4c686468fa862
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.2.0	metadata	86139a23a63e0e8c656ff249c50cd28725f12c40
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.2.1		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.2.1	metadata	7864280f8f81d6912bb1b078955ef32c301daf1d
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	3.3.0	metadata	084e06188033aa1d6892ae0a65e16fff29d1a9ea
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0	metadata	305383a98dc55507de8a3723bd613d522408a72c
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0-alpha01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0-alpha01	metadata	7251fa52fb3297ef2e7ba4e61d23d34c85403b43
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0-alpha02		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0-alpha02	metadata	924a7d3b289ba623850d4e2ee6a0664d9c3bfe9f
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0-beta01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.0.0-beta01	metadata	2aed7685b5d81591db1f778e1765e04e29f584b0
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.1.0	metadata	6965e22d3b18509d3bfe711686222fb863f839d8
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.2.0	metadata	50f32609abf7cbc4d0fd7b044a22db53493484f6
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-proto-internal-tvosx64	4.3.0	metadata	f80184e309ff44f2ff812e8ebdc7e78d7a25393c
com.eygraber	jsonpathkt-kotlinx-iosx64	3.0.0		N/A
com.eygraber	jsonpathkt-kotlinx-iosx64	3.0.0	metadata	e1d08b4ea1119445c642763764c2d1b0118a8ec7
com.eygraber	jsonpathkt-kotlinx-iosx64	3.0.1		N/A
com.eygraber	jsonpathkt-kotlinx-iosx64	3.0.1	metadata	3b2730e29d797ed4beb156e5ca8535b5d3f43b28
com.eygraber	jsonpathkt-kotlinx-iosx64	3.0.2		N/A
com.eygraber	jsonpathkt-kotlinx-iosx64	3.0.2	metadata	6d21e7409bbaae2830795f9a31406312e8e2ec26
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.5		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.5	metadata	461e30933933b7dbef6dcefe98f7e4337645613b
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.6		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.6	metadata	f2c69049839a85dfbf67411f13ab060f3863fef0
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.6-alpha1		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.6-alpha1	metadata	a8445bbf1576712c40b4503793e32cc05ad5dca0
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.7		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.7	metadata	4e8ba24253eacaefac138d54c002d461099f2a7b
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.8		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.8	metadata	c18cc06c497d84810c85b4a11b418f7b5bcd6ed3
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.9		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.1.9	metadata	0357133b305fa811a7461de2754bf0a68ea0608e
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.2.0		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-tvosx64	0.2.0	metadata	c0d945c76c6140fee664160053810ae4601bdf89
com.freeletics.gradle	scripts	0.3.0		fe07a7411781bfac2493eeeee87401be61972e51
com.freeletics.gradle	scripts	0.3.1		fe07a7411781bfac2493eeeee87401be61972e51
com.freeletics.gradle	scripts	0.3.2		24e984aa0334f403b73b844f1c5741460cd17434
com.freeletics.gradle	scripts	0.3.3		9c12ac726360904be855863cd07499c8598a7177
com.freeletics.gradle	scripts	0.3.4		8a9d6e1e66112110f6ec78b629eea53f50043c74
com.freeletics.gradle	scripts	0.3.6		8a9d6e1e66112110f6ec78b629eea53f50043c74
com.freeletics.gradle	scripts	0.3.7		8a9d6e1e66112110f6ec78b629eea53f50043c74
com.freeletics.gradle	scripts	0.3.8		d9c70e7c1ba8525c5197e4d30d197957196c41cb
com.freeletics.gradle	scripts	0.4.0		af0b91d0ddeea7d20cfd505e0bb3d092845d70d3
com.freeletics.gradle	scripts	0.5.0		af785a5b038297bb4e97c70f34d2165d834ee5cf
com.freeletics.gradle	scripts	0.6.0		69e516696bc10ceb75ddb5ccae5d955b073bfd9c
com.freeletics.gradle	scripts	0.6.1		af785a5b038297bb4e97c70f34d2165d834ee5cf
com.github.davidmoten	rxjava2-http	0.1.14		3b8ec6d274acfd477594117c4da3f8b4bff70bff
com.github.davidmoten	rxjava2-http	0.1.15		8bfb9f5abad6181b8cb9a4e97fa3fa0de022877f
com.github.davidmoten	rxjava2-http	0.1.16		d6b7c9a870b48ca38a6e8d1cdb5ffeb84c5feae9
com.github.davidmoten	rxjava2-http	0.1.17		83cddb50612b3ebddbb065ca6f2f68b35bfdf0af
com.github.davidmoten	rxjava2-http	0.1.18		2961d6c6a17f9c5e0b6e5ac4bc9787dc7eeadccd
com.github.davidmoten	rxjava2-http	0.1.20		ac283032955396462dfebd0bec833c57c297f650
com.github.davidmoten	rxjava2-http	0.1.21		4094ee5a97aa2a7975fdb3578fcc8324a10d2bd1
com.github.davidmoten	rxjava2-http	0.1.22		59c9ca92ae37e4074439698e53e33b8fe385bc4e
com.github.davidmoten	rxjava2-http	0.1.23		0d76db3ef18294eb3bf4bd2e2fdeddd97b27346f
com.github.davidmoten	rxjava2-http	0.1.24		d7e9642df5671fe43356b54d8e3238ea482ed3a8
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.2		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.2	metadata	c7a1555bf7f17e6ac957629a03de6a0730f1ced9
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.2.1		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.2.1	metadata	b3158d6964153ddeaa46cd9e2e8d5f82e016d5b4
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.3		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.3	metadata	4674c995f82832ad8900785a3ce7180e17452c95
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.6		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.6	metadata	2e9fc474187a28ef8e9841ef0a9e1bb573ca024f
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.7		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	5.7	metadata	0e1570bce1966611c2981a033fcff236f0aa6228
com.github.omarmiatello.telegram	dataclass-only-watchosx86	6.0		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	6.0	metadata	454acad0b2880bd4fa41b96d4e8f9bedac99ff5a
com.github.omarmiatello.telegram	dataclass-only-watchosx86	6.1		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	6.1	metadata	268fc397a528b060ccdecf68d0b7e77979f77745
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.2		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.2	metadata	55dfade1c4f5abb3cdb12c75d607c40ab24a315c
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.2.1		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.2.1	metadata	62cfad6210b7ef443cb65edb99706a135d1733f0
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.2.2		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.2.2	metadata	63f1a690b183fad03da0a0dcd0c82cfcd9fb549f
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.4		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.4	metadata	71b555b99d68074cc1bf7246c584ae8fa0b8d63b
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.6		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.6	metadata	b32b58490c6e6a076032718ed523dbe039576225
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7	metadata	f60a53e38368b6634de1d7297fa4c3be36aa928f
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7.1		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7.1	metadata	86e94dc8dbd1ce3a6ed03c4c53b83961af958f52
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7.2		N/A
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7.2	metadata	ee6fa41bb0d97c8e4b87318af233e88e50dcd521
com.github.omarmiatello.telegram	dataclass-only-watchosx86	7.7.3		N/A
