au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-container-h2	2.0	-	9074909c62abebb493b56c772b6e83d0bd854c40
com.liferay	com.liferay.batch.planner.rest.api	4.0.0	-	98a54ee17df592462d95fdc8a41a2b1a7a107e36
com.liferay	com.liferay.batch.planner.rest.api	4.0.0	4.0.0-sources-commercial	9ffc674250ae9d40ab2d0303284ee670261ba10d
com.liferay	com.liferay.batch.planner.rest.api	4.0.1	-	85db48b06f84e800c1324c4ca6cb2c81866115ba
com.liferay	com.liferay.batch.planner.rest.api	4.0.1	4.0.1-sources-commercial	2dd60b86c636784b161f693198fbda4a5cad0caf
com.liferay	com.liferay.batch.planner.rest.api	4.1.0	-	7f4cd4d7f53e577431785ea31e1084b81f21611f
com.liferay	com.liferay.batch.planner.rest.api	4.1.0	4.1.0-sources-commercial	5e5b64d50b0b750f2a7170ec7eee0f72f0bc2e8f
com.liferay	com.liferay.batch.planner.rest.api	4.1.1	-	a851668a0fd32d0f22d012270551d6fce13bf1de
com.liferay	com.liferay.batch.planner.rest.api	4.1.1	4.1.1-sources-commercial	ba00b8ab1340ede050ce9a8f6151fb938c595940
com.liferay	com.liferay.batch.planner.rest.api	4.2.0	-	3f8c67f1dc7fcccba6cb08ef3186dcff42c33cac
com.liferay	com.liferay.batch.planner.rest.api	5.0.0	-	03e4ae31e2190edee2491ce04d214ee9ca65bcf7
com.liferay	com.liferay.batch.planner.rest.api	5.1.0	-	21eb0be53089060a0906aad53986867d8c941589
com.liferay	com.liferay.batch.planner.rest.api	5.1.1	-	f4182653b93283f4fdee315f6d39d4a5fa0b071f
com.liferay	com.liferay.batch.planner.rest.api	5.1.2	-	c81f0cddb2c9324bd94cc59227a2185e2917cfcb
com.liferay	com.liferay.batch.planner.rest.api	5.1.3	-	e72b10a722cf4171b2be5648d145088c8c7b0aa5
com.liferay	com.liferay.batch.planner.rest.api	5.1.4	-	133f119d7f34b7b42d099b82164450980de58243
com.liferay	com.liferay.batch.planner.rest.api	5.2.0	-	f607873408ac8d15ee9ec84eef2f0a3b2b122b1c
com.liferay	com.liferay.batch.planner.rest.api	5.2.1	-	4ed225610249bf7b4fde4611f157e7b475ef808d
com.liferay	com.liferay.batch.planner.rest.api	5.2.2	-	56d1607c4317fbf9b8f1212d660200ec6f91729a
com.liferay	com.liferay.batch.planner.rest.api	5.2.3	-	b4adb03e0a289470e7b4833657d3ce2b4cefd29e
com.mikemybytes	junit5-formatted-source	0.0.1	-	20ba09eb70894cd6e3210e53f2b559d79c9a2a62
com.mikemybytes	junit5-formatted-source	0.0.2	-	e001dee21d2f4f2413d95fc40017abd9292adf06
com.mikemybytes	junit5-formatted-source	0.1.0	-	d19b58c79a7e06e5a2bb238df3a24fc363e4609d
com.mikemybytes	junit5-formatted-source	0.1.1	-	bf4a76e41fa02fb6af13f95a7018fcb4c0c508ba
com.mikemybytes	junit5-formatted-source	0.1.2	-	db355c7018cea1838f9af2de49604e1a4cc61190
com.mikemybytes	junit5-formatted-source	0.2.0	-	93179f0a946c33a6d200bce4431e47d376a532e8
com.mikemybytes	junit5-formatted-source	1.0.0	-	e61179ece7d0f2981eb404512b0109a86444cfe2
com.mikemybytes	junit5-formatted-source	1.0.1	-	cdb2f213b4cc5430d608e18b630f81f996c041e3
com.pagerduty	entity-mapper_2.11	0.4.3	-	4296acd9e0dd16f9de541662d9ef8ecbb9498ab3
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1023	-	3c0a6f878a78d054a58119a89021a38706b75130
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1042	-	1774410c2bfa4297654df10763eddb408714ff23
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1048	-	b57d404bc5c0df012ea742635416bfbc3cb93ae9
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1050	-	e99ecf1a172bb4b2ea30808e093e0e54cb6eba28
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1053	-	3b1b458c319b262602838bf170c52327a50223b0
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1055	-	2d3e1afd786492775f41a81e85aa2072e7dd89ad
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1061	-	65f22006abfe4a89af90a7eae8a1b7407d1897cb
com.sdl.tridion.xo	xo-configuration-common	11.0.0-1091	-	ca77519b404afa3f0265e39a1e0a418591a5bc49
com.sdl.tridion.xo	xo-configuration-common	11.0.1-1020	-	cb410ef8494b033bd4235cb1e73859112a1bc1fe
com.sdl.tridion.xo	xo-configuration-common	11.1.0-1050	-	25436dd357a66cb9f79b0624effec4f9fd3d989e
com.sdl.tridion.xo	xo-configuration-common	11.1.0-1097	-	5f9f6fce2cd48bc02707683237768ece1f47cd38
com.sdl.tridion.xo	xo-configuration-common	11.1.0-1110	-	d094ab540b09ef239c449e0cac099006c5be21aa
com.sdl.tridion.xo	xo-configuration-common	11.5.0-1065	-	487b12dab78609ede8c6409a4c2e7bfcdd288341
com.sdl.tridion.xo	xo-configuration-common	11.5.0-1208	-	fb2b3ceafe71081583fc4f9861edc17d689f18d9
com.sdl.tridion.xo	xo-configuration-common	11.6.0-1176	-	6f349bbf02351a0b09b0b576295e6f68cd254fa3
