com.liferay	com.liferay.segments.web	1.0.28	jsdoc	0dcf690835074f98085c543654aefcb92a8d663e
com.liferay	com.liferay.segments.web	1.0.28	jspc	51acccbe5a4adbf31074cde3c95ba342dfb348f4
com.liferay	com.liferay.segments.web	1.0.29		a2a4a7e82038a209de917043fce34b7a3d313ecc
com.liferay	com.liferay.segments.web	1.0.29	jsdoc	7a567292fd683246508ca2d4ef4030741af44594
com.liferay	com.liferay.segments.web	1.0.29	jspc	6d169d4919856ccaaa753ee1db24d80b1de60c34
com.liferay	com.liferay.segments.web	1.0.3		bebf3aac0d72ffc6f28bbddcb5731d866a154725
com.liferay	com.liferay.segments.web	1.0.3	jspc	f6173133e143780a649a1ffa6bc86e95252fe5ba
com.liferay	com.liferay.segments.web	1.0.30		840c3d7308b2e47d3670be06d894d5d01f9ff77a
com.liferay	com.liferay.segments.web	1.0.30	jsdoc	35618b792d18d86530852c18e69e641f0f2ea931
com.liferay	com.liferay.segments.web	1.0.30	jspc	8327bd17099dec3489d7ca5be16d78c9494f98fc
com.liferay	com.liferay.segments.web	1.0.31		b99dafc365adfc2f233b1b1888ce0d7b4c630966
com.liferay	com.liferay.segments.web	1.0.31	jsdoc	8d97f8b6fdcbe161ed0b8a3a949bbff9e5f00594
com.liferay	com.liferay.segments.web	1.0.31	jspc	d8c1027a9aea2d3cccfee2f9c7713ec0f5846523
com.liferay	com.liferay.segments.web	1.0.32		bfcfa9ea122a35b04e4c7d4cde4c887866aa9171
com.liferay	com.liferay.segments.web	1.0.32	jsdoc	50bb529fcfc4f0e958303d88bf7fee58ae7ab4b8
com.liferay	com.liferay.segments.web	1.0.32	jspc	1352beee51ad55483afa17e735082e7fcdadac6e
com.liferay	com.liferay.segments.web	1.0.33		6d4a2e5bd693919cbb33fe350db3e7c61645d8a9
com.liferay	com.liferay.segments.web	1.0.33	jsdoc	33cf6f408a37570905f649d76093416de3d41595
com.liferay	com.liferay.segments.web	1.0.33	jspc	64a44dfbece745a5c809c54bccaba77d599339af
com.liferay	com.liferay.segments.web	1.0.34		43f0042c4ac82941d259f48d48b530f0125e057f
com.liferay	com.liferay.segments.web	1.0.34	jsdoc	3d421a2be75610b3231f05f609b014e2cc3338bf
com.liferay	com.liferay.segments.web	1.0.34	jspc	149b361b7e31fb06e7b34296e7279a99f87cd2b8
com.liferay	com.liferay.segments.web	1.0.35		f5a3eb0bec01d735d3db4369bd1e73d9cca10ba2
com.liferay	com.liferay.segments.web	1.0.35	jsdoc	dab9cbfb133684c66e0be8d927c03b419c21198d
com.liferay	com.liferay.segments.web	1.0.35	jspc	a27c13102921b5a8777f2644c10e20129d78cd0c
com.liferay	com.liferay.segments.web	1.0.36		37b6bfc9d8b24b4b2d7fef62a46b80045189574d
com.liferay	com.liferay.segments.web	1.0.36	jsdoc	8f758bb202a64c51b872dbdea6136be910c28381
com.liferay	com.liferay.segments.web	1.0.36	jspc	93f5a47d22c145c0f894cc998d7903d1e26b74d8
com.liferay	com.liferay.segments.web	1.0.37		7a9d20fb4e11a5a6ad93c59578d28993014608c3
com.liferay	com.liferay.segments.web	1.0.37	jsdoc	9208be4b156515b05ce1b604ca4205c4efee83e7
com.liferay	com.liferay.segments.web	1.0.37	jspc	5bfac238eef758addb8548fc44df8ad5df4c29bb
com.liferay	com.liferay.segments.web	1.0.38		33926f4a15c9b9d454ebceffd2c4117a4cadcebe
com.liferay	com.liferay.segments.web	1.0.38	jsdoc	8ebce23b43d6c27a4b4eeacf1f2442afc276ec5a
com.liferay	com.liferay.segments.web	1.0.38	jspc	08fa8457ca9fa7d56524a6186005e6704d15f454
com.liferay	com.liferay.segments.web	1.0.39		89cf9b4d715bcaf68566c5d43baba3622ef140ee
com.liferay	com.liferay.segments.web	1.0.39	jsdoc	d835f927e4fa437d89d5b27dd5e004ed6dd94c8d
com.liferay	com.liferay.segments.web	1.0.39	jspc	22546ba8167fcce3409985fdc5fe744306353c4b
com.liferay	com.liferay.segments.web	1.0.4		27b88825cd70ae7a161ee9b4efeb2338c5800347
com.liferay	com.liferay.segments.web	1.0.4	jspc	a2caca417adba44ed6e0d8110c2be154641d605c
com.liferay	com.liferay.segments.web	1.0.40		87ea67d8fb1f56b54a0f84cb813e910498bc49b9
com.liferay	com.liferay.segments.web	1.0.40	jsdoc	2ed3e25e5efcaac4e2e4604be58efd8776ef22de
com.liferay	com.liferay.segments.web	1.0.40	jspc	6b35065b37e38894f91aa0ffb4ce25d7761c56ce
com.liferay	com.liferay.segments.web	1.0.41		d52324e644a6da45fed8f8af14a9cb50bc454f72
com.liferay	com.liferay.segments.web	1.0.41	jsdoc	41454a0196a594255bf25c663fa2cacdce36cfba
com.liferay	com.liferay.segments.web	1.0.41	jspc	8273e6fd263ebf9878aa5c8846acdd2ad70b258c
com.liferay	com.liferay.segments.web	1.0.42		be1e58f600b4aae381e8731f7a9b1f3cf3342a5d
com.liferay	com.liferay.segments.web	1.0.42	jsdoc	4026d8675e9a2ede92eb3a550eff6e8d6d96e712
com.liferay	com.liferay.segments.web	1.0.42	jspc	31c20331d92fd4305b6ed15d8811823c25b2774b
com.liferay	com.liferay.segments.web	1.0.43		f70f0a3c68b090def88838a5ae4398f3241b616e
com.liferay	com.liferay.segments.web	1.0.43	jsdoc	ceecbca69742ba3aebcdb6ace5f0638451f9d50a
com.liferay	com.liferay.segments.web	1.0.43	jspc	b11c921f874a3d9ce160062fb19626c3097de599
com.liferay	com.liferay.segments.web	1.0.44		c80cacb63af5b8295ffff68b56e90bdc24837429
com.liferay	com.liferay.segments.web	1.0.44	jsdoc	f17d00a8e8b3d4f5cb6c86b011ad538b485edc18
com.liferay	com.liferay.segments.web	1.0.44	jspc	8bc0f129df8564df9c58daf85d87e0d6576ea432
com.liferay	com.liferay.segments.web	1.0.45		a77848c73b83752237db3d3887815b73470e1187
com.liferay	com.liferay.segments.web	1.0.45	jsdoc	6dfb2bcf93a0ca68f215d871883e00ad5b3606a8
com.liferay	com.liferay.segments.web	1.0.45	jspc	bcce964ea0e50b67ee1d31c6e0ae3ebcaa426058
com.liferay	com.liferay.segments.web	1.0.46		56f0068172594713ef6d216b51fffe941ef114d9
com.liferay	com.liferay.segments.web	1.0.46	jsdoc	0fe403800b606e33af8886d1fb3478e4ffb3a44d
com.liferay	com.liferay.segments.web	1.0.46	jspc	bb219ec0e9abe4b0e7715319cc602ece132d758d
com.liferay	com.liferay.segments.web	1.0.47		9b71af3f5d4e66232e724e34b0ed954385496f0a
com.liferay	com.liferay.segments.web	1.0.47	jsdoc	d7913c0bf83ba346c41110c78c6566357e341ebc
com.liferay	com.liferay.segments.web	1.0.47	jspc	45e1248ad7b812e77b3e5dd7c06317da1904ef5c
com.liferay	com.liferay.segments.web	1.0.48		d3b0574bd304ee97956c2e3b69d0002b168f9ba4
com.liferay	com.liferay.segments.web	1.0.48	jsdoc	e74b7012d25fb0de6df20fdb6fd2d5b3aa7f4bf0
com.liferay	com.liferay.segments.web	1.0.48	jspc	f9fae3fa16cc1b1326a12049b3a9c80008c1bfd9
com.liferay	com.liferay.segments.web	1.0.49		d4ddcfc3eed2690143d7311e8cd2621463e03ac8
com.liferay	com.liferay.segments.web	1.0.49	jsdoc	d35f1f60e4ea847faa89d56eec3b014270c1cb19
com.liferay	com.liferay.segments.web	1.0.49	jspc	af91e4a0f5b4adddc42925fd46a8d1a06bf8d533
com.liferay	com.liferay.segments.web	1.0.5		d14c8680268227f624989609c0bedeef61e46bed
com.liferay	com.liferay.segments.web	1.0.5	jspc	a4d8d1d82ec6e2b841288977dffe8dcd8fa09bc1
com.liferay	com.liferay.segments.web	1.0.50		7d1e0c65a30f712d912764aad6ac22f7319a03ad
com.liferay	com.liferay.segments.web	1.0.50	jsdoc	a54908b33fde6339fbe57186f5a539ffe06af36c
com.liferay	com.liferay.segments.web	1.0.50	jspc	b27d9d17001ebb78df5e557fa3b5686d580831d1
