apache-jaxme	jaxme-incubation	0.2		673e597271e0a5c22680efbaefdfe9c8c35ce1ff
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.31		3cbd9809a4a29f9f93fe96ad9c53f7dc626257cd
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.31	wsdd	000172c64e8084a09f3e24e9bf29492c3f20e39d
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.32		1675b836908474bfcbdcd8b1b96f43c956bef921
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.32	wsdd	e147dde3a6a6bfc7595c9ce509e205ede362408e
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.33		f8c980bee6dabbc0a8aa2f0d7e9cf0ae74cfc8cb
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.33	wsdd	509717522c3fdf67eaacdeb2e588bdb45ebf6a02
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.34		aeda20c46b1ea2b1d93e41f0f1d99228d174103e
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.34	wsdd	3f330f9d8c5ea7495097d80f85ba72696b09a1d8
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.35		eeefe47da05057881e75a3a8c01eb6b2e7af7fe8
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.35	wsdd	8934896929f58744179a1cbc96bc139b5229a1b2
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.36		67316fb9c56da0893879b82ad2f3ea0898431c03
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.36	wsdd	be56e11a8711df49a757a601fc487f38ea7b662f
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.37		22a23872b434e4a7a02d4f6049368ccc9e8c9afd
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.37	wsdd	79e62dd977a94a893436d249f40dfece5a2013d6
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.38		295c6af00ea83317bb0a9245518be7cc733a499a
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.38	wsdd	b8205ea18af5743235cd3b07ce3105cd998f9f0d
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.39		0e6feb61141f30b2442133f9939fe575931f1969
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.39	wsdd	4b22a459f1e7015b5f4e24183819c65008bb4954
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.4		038ed71f1f066d8b0452dcbec40f5cc3cd47fd71
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.4	wsdd	f19e3b0dfe46b94cece9d4815363b65c8168be2e
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.40		08636d6bd9eef3c436b4f8126a83e4a73c63108a
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.40	wsdd	88d61f4009f451f410afeccf136a488f1295bbce
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.41		cd0349e26f374f861550e553525652753a251fd8
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.41	wsdd	d3d344359dcf9385aa376a7f3629bd346f80ade6
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.42		d2ec0ada1459b9731f09a839872af0e8466bfa85
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.42	wsdd	e5e8b1353d0e0aa4d4266e5ed0fced1a3b6e8330
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.43		8e1e2bf8d7da93d7f662140ffe35c2baf1a9228b
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.43	wsdd	cf074d4d9ad3ef2ab9cc582547a7a3077bed3d6f
