com.4paradigm.openmldb	openmldb-native	0.7.3-macos		fa6accea3e181f5b4aede1c81f4076cfb7350b56
com.4paradigm.openmldb	openmldb-native	0.8.0		dd4015fdcb775564a08d909132dfd2529ee474a2
com.4paradigm.openmldb	openmldb-native	0.8.0-allinone		704c98358f33ad962b319de2303cd06d0df5d2c6
com.4paradigm.openmldb	openmldb-native	0.8.0-macos		81d322920a1afe37b8c8099a7374d4aa98496dc1
com.4paradigm.openmldb	openmldb-native	0.8.1		0573085022177ffe924e2eeacce9ec74c3a08b1f
com.4paradigm.openmldb	openmldb-native	0.8.1-allinone		76e8260de6d9b4f900bc8af1754d03a67f6b44c0
com.4paradigm.openmldb	openmldb-native	0.8.1-macos		03afba9330ddb047528bf361a1bc5d0e5e7af93f
com.4paradigm.openmldb	openmldb-native	0.8.2		23ee4e19aa98e96663411b235f41272a37598c6b
com.4paradigm.openmldb	openmldb-native	0.8.2-allinone		55ccca6669e047bdbe049382e4e3614e48824e2d
com.4paradigm.openmldb	openmldb-native	0.8.2-macos		298bc38b6519f5860e8e63fcd9fe3de4ed9daada
com.4paradigm.openmldb	openmldb-native	0.8.3		e40b6661360330402922afb4efd5b319bca0bc81
com.4paradigm.openmldb	openmldb-native	0.8.3-allinone		49a56511b518276b71745252c1e2b6d7b6fcdb26
com.4paradigm.openmldb	openmldb-native	0.8.3-macos		58b6d83e6cd425f44e39dbbcc38201c57a83728e
com.4paradigm.openmldb	openmldb-native	0.8.4		e8dfa554ae1e090640a1e0991afa3a0fc193f86a
com.4paradigm.openmldb	openmldb-native	0.8.4-allinone		a595cb3445b18a2c9a0ca254ceafc01b3c11278c
com.4paradigm.openmldb	openmldb-native	0.8.4-macos		8f1e582b4e8184f1a1c70549bd50192f7eebf0d5
com.4paradigm.openmldb	openmldb-native	0.8.5		97addf625f9b606992117cce2053832884b811d3
com.4paradigm.openmldb	openmldb-native	0.8.5-allinone		d5b10612754d845cedcdef716223b96c7a7ea958
com.4paradigm.openmldb	openmldb-native	0.8.5-macos		3362e2062eb97743539a4ff1300001b3f4b4adc2
com.4paradigm.openmldb	openmldb-native	0.9.0		1583be1b2101ea6478846c80abc3438b28401578
com.4paradigm.openmldb	openmldb-native	0.9.0-allinone		5b8415010f83249831e5b5e6fc967f39b5b1aa73
com.4paradigm.openmldb	openmldb-native	0.9.0-macos		c0a3baf858af65f781b5153b17c09fa7312d70dd
com.4paradigm.openmldb	openmldb-native	0.9.1		7fafe78d5ce8f6ef5c80dea4515853a2da9da5bd
com.4paradigm.openmldb	openmldb-native	0.9.1-allinone		8197ffe2e095ef09745f886bee560d61f9902359
com.4paradigm.openmldb	openmldb-native	0.9.1-macos		661100a36f29135ad655d7700d998c72d5658c92
com.4paradigm.openmldb	openmldb-native	0.9.2		b1849266b0c8f2280c791e4d291a88992938b412
com.4paradigm.openmldb	openmldb-native	0.9.2-allinone		bbc334d249f3441a7c1d5211237b0034a6e12825
com.4paradigm.openmldb	openmldb-native	0.9.2-macos		d3cb6dc655769e9108ae49a29c58e3b67dd9a65a
com.4paradigm.openmldb	openmldb-native	0.9.3		35d46c7f3ace7ec46829ba1a81d551884528ad10
com.4paradigm.openmldb	openmldb-native	0.9.3-linux-aarch64		dc11109949701e29e60814e645bf95847db09ed8
com.4paradigm.openmldb	openmldb-native	0.9.3-linux-x86_64		be0ea3bd5e398f8f432f5eb8755b029dbc086789
com.4paradigm.openmldb	openmldb-native	0.9.3-macos		6919b4cdd22e9e79d748a89f6a3c481ee68fdac4
com.appslandia	appslandia-plum	1.0		9edbb8d6d50e903fe8eed3984e0dc5602b348a86
com.appslandia	appslandia-plum	1.1		57e8a89b1fb0eed077e3afbd91e71d86d9f30de2
com.appslandia	appslandia-plum	1.11		00b59a21e58d2b3c4d76d039bbb3dceba8c58590
com.appslandia	appslandia-plum	1.12		c3b605bc2d728d097f600ae007110459e1119e76
com.appslandia	appslandia-plum	1.13		467479bda53fb6049bedd1e209fe1e7d432a1753
com.appslandia	appslandia-plum	1.14		10bdbb299ff71225ac363da31737b9aa4705224b
com.appslandia	appslandia-plum	1.15		7b27c63895d066b23004d707cb6e5b4faf15b213
com.appslandia	appslandia-plum	1.17		ea5edc259ad2040ca2aa82eae535d30dcca16a57
com.appslandia	appslandia-plum	1.18		7987ec797f5c124defcc6a01f410a0b43dd418b4
com.appslandia	appslandia-plum	1.2		5cd89fac62c6d98c1d0cf3f1322cf674e6368d06
com.appslandia	appslandia-plum	1.3		abd258a495b169328af0e25036d9c99c831fcd1d
com.appslandia	appslandia-plum	1.4		2f8e66ceb7cd1e173e8eb268f402b20fffbf07a8
com.appslandia	appslandia-plum	1.5		860679bba280dea1fc09df5c9e8422ab4e5e1cd3
com.appslandia	appslandia-plum	1.6		d8dfc6a2f6e9390b843aa6dc6f8f3ddabbe71f86
com.appslandia	appslandia-plum	1.8		2422f073ac1bd82492cf6f42f9303fd7c671607a
com.appslandia	appslandia-plum	1.9		29782e3ee3f473ca5cc08b21b73b1cb38ed7dba9
com.appslandia	appslandia-plum	10.0.0		7fd52c357c4036a8302244a247dffb997860aad8
com.appslandia	appslandia-plum	10.1.0		93e6d445198e8a4824156b35eb817587429abdab
com.appslandia	appslandia-plum	10.10.0		b94c5411b12adacd3cb39d02f134ca6e0afa9b05
com.appslandia	appslandia-plum	10.11.0		e6bf4a379763a51f2825d03d66e2b5f8e20bb1cd
com.appslandia	appslandia-plum	10.12.0		195d7fdf8c2ec598d367253789e73dc3120ab918
com.appslandia	appslandia-plum	10.13.0		98603ce1ae823ba0a28a49401a8d4e6b8b57c857
com.appslandia	appslandia-plum	10.2.0		2be09357eb9bf63d7e9cc0449e9134ab3b1a05cf
com.appslandia	appslandia-plum	10.3.0		a4f0811dc030e137ba9bfae4ff699e1b7edb1974
com.appslandia	appslandia-plum	10.5.0		e51e5d1a5b71fecd122f757f4ba16240b2e49cb2
com.appslandia	appslandia-plum	10.6.0		6611d80ac1c3cb7c2c5b511937ef9b71e1aad80a
com.appslandia	appslandia-plum	10.8.0		093fde6f505988cd283d5d6a5511e37af478850f
com.appslandia	appslandia-plum	10.9.0		34890feb7c4c7a55d2b203c156ef796c49051790
com.appslandia	appslandia-plum	12.0.0		56c28f5ef68cb2c4b9b2c893b76e90a2f1daee6a
com.appslandia	appslandia-plum	12.1.0		5c17a44425f5114fef370fb21d4b4411e3b8bf66
com.appslandia	appslandia-plum	12.2.0		96f95a92c9116850333b1d8c4693e968f5ab96da
com.appslandia	appslandia-plum	12.3.0		a11aaaa26fae2d9a0295267f2efb528a1225927a
com.appslandia	appslandia-plum	12.3.1		1afcbd59bd8f8150790b86e101301047da9eb023
