ai.dragonfly	narr_native0.5_3	1.0		ca2f6799502d7a4578286082f23b78892e90fbb2
io.gravitee.node	gravitee-node-plugins	1.5.1		N/A
io.gravitee.node	gravitee-node-plugins	1.6.0		N/A
io.gravitee.node	gravitee-node-plugins	1.6.1		N/A
io.gravitee.node	gravitee-node-plugins	1.6.2		N/A
io.gravitee.node	gravitee-node-plugins	1.6.3		N/A
io.gravitee.node	gravitee-node-plugins	1.6.4		N/A
io.gravitee.node	gravitee-node-plugins	1.6.5		N/A
io.gravitee.node	gravitee-node-plugins	1.6.6		N/A
io.gravitee.node	gravitee-node-plugins	1.7.0		N/A
io.gravitee.node	gravitee-node-plugins	1.7.1		N/A
io.gravitee.node	gravitee-node-plugins	1.8.0		N/A
io.gravitee.node	gravitee-node-plugins	1.9.0		N/A
io.gravitee.node	gravitee-node-plugins	2.0.0		N/A
io.gravitee.node	gravitee-node-plugins	2.0.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	2.0.1		N/A
io.gravitee.node	gravitee-node-plugins	2.0.10		N/A
io.gravitee.node	gravitee-node-plugins	2.0.2		N/A
io.gravitee.node	gravitee-node-plugins	2.0.2-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	2.0.2-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	2.0.3		N/A
io.gravitee.node	gravitee-node-plugins	2.0.4		N/A
io.gravitee.node	gravitee-node-plugins	2.0.5		N/A
io.gravitee.node	gravitee-node-plugins	2.0.6		N/A
io.gravitee.node	gravitee-node-plugins	2.0.7		N/A
io.gravitee.node	gravitee-node-plugins	2.0.8		N/A
io.gravitee.node	gravitee-node-plugins	2.0.9		N/A
io.gravitee.node	gravitee-node-plugins	2.1.0		N/A
io.gravitee.node	gravitee-node-plugins	2.1.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	2.1.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	2.1.1		N/A
io.gravitee.node	gravitee-node-plugins	3.0.0		N/A
io.gravitee.node	gravitee-node-plugins	3.0.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	3.0.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	3.0.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	3.0.0-alpha.4		N/A
io.gravitee.node	gravitee-node-plugins	3.0.1		N/A
io.gravitee.node	gravitee-node-plugins	3.0.2		N/A
io.gravitee.node	gravitee-node-plugins	3.0.3		N/A
io.gravitee.node	gravitee-node-plugins	3.0.4		N/A
io.gravitee.node	gravitee-node-plugins	3.0.5		N/A
io.gravitee.node	gravitee-node-plugins	3.0.6		N/A
io.gravitee.node	gravitee-node-plugins	3.0.7		N/A
io.gravitee.node	gravitee-node-plugins	3.0.8		N/A
io.gravitee.node	gravitee-node-plugins	3.0.9		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.10		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.11		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.4		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.5		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.6		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.7		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.8		N/A
io.gravitee.node	gravitee-node-plugins	3.1.0-alpha.9		N/A
io.gravitee.node	gravitee-node-plugins	4.0.0		N/A
io.gravitee.node	gravitee-node-plugins	4.0.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	4.0.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	4.0.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	4.0.0-alpha.4		N/A
io.gravitee.node	gravitee-node-plugins	4.0.1		N/A
io.gravitee.node	gravitee-node-plugins	4.1.0		N/A
io.gravitee.node	gravitee-node-plugins	4.2.0		N/A
io.gravitee.node	gravitee-node-plugins	4.3.0		N/A
io.gravitee.node	gravitee-node-plugins	4.3.1		N/A
io.gravitee.node	gravitee-node-plugins	4.3.2		N/A
io.gravitee.node	gravitee-node-plugins	4.3.3		N/A
io.gravitee.node	gravitee-node-plugins	4.3.4		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0-alpha.4		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0-alpha.5		N/A
io.gravitee.node	gravitee-node-plugins	4.4.0-alpha.6		N/A
io.gravitee.node	gravitee-node-plugins	4.5.0		N/A
io.gravitee.node	gravitee-node-plugins	4.6.0		N/A
io.gravitee.node	gravitee-node-plugins	4.6.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	4.6.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	4.6.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	4.6.1		N/A
io.gravitee.node	gravitee-node-plugins	4.6.2		N/A
io.gravitee.node	gravitee-node-plugins	4.6.3		N/A
io.gravitee.node	gravitee-node-plugins	4.6.4		N/A
io.gravitee.node	gravitee-node-plugins	4.7.0		N/A
io.gravitee.node	gravitee-node-plugins	4.7.1		N/A
io.gravitee.node	gravitee-node-plugins	4.8.0		N/A
io.gravitee.node	gravitee-node-plugins	4.8.1		N/A
io.gravitee.node	gravitee-node-plugins	4.8.2		N/A
io.gravitee.node	gravitee-node-plugins	4.8.3		N/A
io.gravitee.node	gravitee-node-plugins	4.8.4		N/A
io.gravitee.node	gravitee-node-plugins	4.8.5		N/A
io.gravitee.node	gravitee-node-plugins	4.8.6		N/A
io.gravitee.node	gravitee-node-plugins	4.8.7		N/A
io.gravitee.node	gravitee-node-plugins	4.8.8		N/A
io.gravitee.node	gravitee-node-plugins	4.8.9		N/A
io.gravitee.node	gravitee-node-plugins	5.0.0		N/A
io.gravitee.node	gravitee-node-plugins	5.0.1		N/A
io.gravitee.node	gravitee-node-plugins	5.0.2		N/A
io.gravitee.node	gravitee-node-plugins	5.1.0		N/A
io.gravitee.node	gravitee-node-plugins	5.10.0		N/A
io.gravitee.node	gravitee-node-plugins	5.11.0		N/A
io.gravitee.node	gravitee-node-plugins	5.12.0		N/A
io.gravitee.node	gravitee-node-plugins	5.12.1		N/A
io.gravitee.node	gravitee-node-plugins	5.12.10		N/A
io.gravitee.node	gravitee-node-plugins	5.12.2		N/A
io.gravitee.node	gravitee-node-plugins	5.12.3		N/A
io.gravitee.node	gravitee-node-plugins	5.12.4		N/A
io.gravitee.node	gravitee-node-plugins	5.12.5		N/A
io.gravitee.node	gravitee-node-plugins	5.12.6		N/A
io.gravitee.node	gravitee-node-plugins	5.12.7		N/A
io.gravitee.node	gravitee-node-plugins	5.12.8		N/A
io.gravitee.node	gravitee-node-plugins	5.12.9		N/A
io.gravitee.node	gravitee-node-plugins	5.13.0		N/A
io.gravitee.node	gravitee-node-plugins	5.14.0		N/A
io.gravitee.node	gravitee-node-plugins	5.14.1		N/A
io.gravitee.node	gravitee-node-plugins	5.14.2		N/A
io.gravitee.node	gravitee-node-plugins	5.14.3		N/A
io.gravitee.node	gravitee-node-plugins	5.14.4		N/A
io.gravitee.node	gravitee-node-plugins	5.14.5		N/A
io.gravitee.node	gravitee-node-plugins	5.14.6		N/A
io.gravitee.node	gravitee-node-plugins	5.14.7		N/A
io.gravitee.node	gravitee-node-plugins	5.15.0		N/A
io.gravitee.node	gravitee-node-plugins	5.16.0		N/A
io.gravitee.node	gravitee-node-plugins	5.16.1		N/A
io.gravitee.node	gravitee-node-plugins	5.16.2		N/A
io.gravitee.node	gravitee-node-plugins	5.17.0		N/A
io.gravitee.node	gravitee-node-plugins	5.18.0		N/A
io.gravitee.node	gravitee-node-plugins	5.18.1		N/A
io.gravitee.node	gravitee-node-plugins	5.18.2		N/A
io.gravitee.node	gravitee-node-plugins	5.18.3		N/A
io.gravitee.node	gravitee-node-plugins	5.18.4		N/A
io.gravitee.node	gravitee-node-plugins	5.19.0		N/A
io.gravitee.node	gravitee-node-plugins	5.19.1		N/A
io.gravitee.node	gravitee-node-plugins	5.2.0		N/A
io.gravitee.node	gravitee-node-plugins	5.20.0		N/A
io.gravitee.node	gravitee-node-plugins	5.21.2		N/A
io.gravitee.node	gravitee-node-plugins	5.3.0		N/A
io.gravitee.node	gravitee-node-plugins	5.3.1		N/A
io.gravitee.node	gravitee-node-plugins	5.4.0		N/A
io.gravitee.node	gravitee-node-plugins	5.5.0		N/A
io.gravitee.node	gravitee-node-plugins	5.5.1		N/A
io.gravitee.node	gravitee-node-plugins	5.5.2		N/A
io.gravitee.node	gravitee-node-plugins	5.6.0		N/A
io.gravitee.node	gravitee-node-plugins	5.6.1		N/A
io.gravitee.node	gravitee-node-plugins	5.8.0		N/A
io.gravitee.node	gravitee-node-plugins	5.8.1		N/A
io.gravitee.node	gravitee-node-plugins	5.9.0		N/A
io.gravitee.node	gravitee-node-plugins	5.9.1		N/A
io.gravitee.node	gravitee-node-plugins	6.0.10		N/A
io.gravitee.node	gravitee-node-plugins	6.0.2		N/A
io.gravitee.node	gravitee-node-plugins	6.0.3		N/A
io.gravitee.node	gravitee-node-plugins	6.0.4		N/A
io.gravitee.node	gravitee-node-plugins	6.0.5		N/A
io.gravitee.node	gravitee-node-plugins	6.0.6		N/A
io.gravitee.node	gravitee-node-plugins	6.0.7		N/A
io.gravitee.node	gravitee-node-plugins	6.0.8		N/A
io.gravitee.node	gravitee-node-plugins	6.0.9		N/A
io.gravitee.node	gravitee-node-plugins	6.1.0		N/A
io.gravitee.node	gravitee-node-plugins	6.2.0		N/A
io.gravitee.node	gravitee-node-plugins	6.3.0		N/A
io.gravitee.node	gravitee-node-plugins	6.4.0		N/A
io.gravitee.node	gravitee-node-plugins	6.4.1		N/A
io.gravitee.node	gravitee-node-plugins	6.4.2		N/A
io.gravitee.node	gravitee-node-plugins	6.4.3		N/A
io.gravitee.node	gravitee-node-plugins	6.4.4		N/A
io.gravitee.node	gravitee-node-plugins	6.4.5		N/A
io.gravitee.node	gravitee-node-plugins	6.4.6		N/A
io.gravitee.node	gravitee-node-plugins	6.5.0		N/A
io.gravitee.node	gravitee-node-plugins	6.6.0		N/A
io.gravitee.node	gravitee-node-plugins	6.7.0		N/A
io.gravitee.node	gravitee-node-plugins	6.8.0		N/A
io.gravitee.node	gravitee-node-plugins	6.8.1		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.1		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.10		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.11		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.12		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.13		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.2		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.3		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.4		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.6		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.7		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.8		N/A
io.gravitee.node	gravitee-node-plugins	7.0.0-alpha.9		N/A
io.gravitee.node	gravitee-node-plugins	7.0.1		N/A
io.gravitee.node	gravitee-node-plugins	7.0.2		N/A
io.gravitee.node	gravitee-node-plugins	7.0.3		N/A
io.gravitee.node	gravitee-node-plugins	7.0.4		N/A
io.gravitee.node	gravitee-node-plugins	7.0.5		N/A
io.gravitee.node	gravitee-node-plugins	7.0.6		N/A
io.gravitee.node	gravitee-node-plugins	7.0.7		N/A
io.gravitee.node	gravitee-node-plugins	7.0.8		N/A
io.gravitee.node	gravitee-node-plugins	7.1.0		N/A
io.gravitee.node	gravitee-node-plugins	7.1.1		N/A
io.gravitee.node	gravitee-node-plugins	7.2.0		N/A
io.holixon.avro	avro-registry-adapter-axon	0.1.0		cd3c5d607d317c4cd85b3f60e6d0fe297dc2f865
io.holixon.avro	avro-registry-adapter-axon	0.1.1		ec72f3da6b27fbd1a907ef0eb330f8d3b86220b7
io.pelle.mango	mango-demo-client	0.0.9-FINAL		00cb2febd0657ad1c2a65d8d674463e830a413fa
io.restx	restx-annotation-processor-tests-java8	1.0.0		6ae6d44c8abead90b623aeac3326b333bb829368
io.restx	restx-annotation-processor-tests-java8	1.0.0-rc1		b672992dca0d22d663c883fdd05f8eb8bdc2faae
io.restx	restx-annotation-processor-tests-java8	1.0.0-rc2		d86047897b742f3bf6cd6d2772818b39dd5c8e28
io.restx	restx-annotation-processor-tests-java8	1.0.0-rc3		0f0ec9bd8e8c6831d7e8aae82a561d8f5674086f
io.restx	restx-annotation-processor-tests-java8	1.1.0		07e16ecf72dd54a313e4b0b6c80b2d54b6039b0c
io.restx	restx-annotation-processor-tests-java8	1.1.0-rc1		3a272e580c3e2ace51ed3930b421e9192cdc5374
io.restx	restx-annotation-processor-tests-java8	1.1.0-rc2		829db77f8f8fa2e1100beb901571d68c52d03a15
io.restx	restx-annotation-processor-tests-java8	1.1.0-rc3		fe801fab17f612720b109af6e468c49819a5199b
io.restx	restx-annotation-processor-tests-java8	1.1.1		36e8c69bb5c524d5529c5bd4d91195ef1dc9e48e
io.restx	restx-annotation-processor-tests-java8	1.2.0-rc1		0db0e14e33d8809b9df2d485a4ac2034255f562d
io.restx	restx-annotation-processor-tests-java8	1.2.0-rc2		21d2a5a2fd2f989af9177d762cb6934ac7e2fd74
io.rtr.alchemy	alchemy-db-mongo	0.1.10		37044f9120b3616af4f7dffe121f02e60b62d955
io.rtr.alchemy	alchemy-db-mongo	0.1.11		a1a5f24f5457a26ce2656f02b40e95260b7eb9f3
io.rtr.alchemy	alchemy-db-mongo	0.1.12		87808243df781401b3b734dfd4f479ac78ec4b76
io.rtr.alchemy	alchemy-db-mongo	0.1.13		9c7ebba3fc78a9ce1fddd64bc1ae088b78e73142
io.rtr.alchemy	alchemy-db-mongo	0.1.14		be5e660ed14ee4aa45b290dd327b4752fb0bca3d
io.rtr.alchemy	alchemy-db-mongo	0.1.15		e58511e5266cb5c111e5375d0de5274ab0517890
io.rtr.alchemy	alchemy-db-mongo	0.1.9		262366555e9a6460d8862b34311ad94764c299d2
io.rtr.alchemy	alchemy-db-mongo	1.0.1		36f17f180279a5575fa07c5311824e2d56262db2
io.rtr.alchemy	alchemy-db-mongo	2.0.0		b863f2ed9020dbf8c84f6e659346bffff04eeb87
io.rtr.alchemy	alchemy-db-mongo	2.0.1		e9b47fc036df23ae0972bbf7eb19b37c59903147
io.rtr.alchemy	alchemy-db-mongo	2.0.2		6fbd9bf8678a5b1635ff299cc740594124fa4668
io.rtr.alchemy	alchemy-db-mongo	2.0.4		151859516e348da6c577b345d75da1e4388e8480
io.rtr.alchemy	alchemy-db-mongo	2.0.5		4a03071300e8e34063899ca7c41b063b7e346757
io.rtr.alchemy	alchemy-db-mongo	2.0.6		197a9e3c4d47646870b089cf98c670cdac14d3f4
io.rtr.alchemy	alchemy-db-mongo	2.0.7		ba98999916bac7f3d8a5c0f93e5ecda33973d2f6
io.rtr.alchemy	alchemy-db-mongo	2.0.8		df6ea6c2d8343c35c8039925188ea204f351b836
io.rtr.alchemy	alchemy-db-mongo	2.0.9		2408a7373fdffb13c7e4afa54f6a8f4df0f97657
io.rtr.alchemy	alchemy-db-mongo	2.1.0		3870bd4a5622ba524ff8aa4237150e77e50dd7d6
io.rtr.alchemy	alchemy-db-mongo	2.2.0		a8ff093997bbe7c0518cc4a2e3988eff75943f2a
io.rtr.alchemy	alchemy-db-mongo	2.2.1		160a8931beb28e357816fb02c19adc25ab0bee36
io.rtr.alchemy	alchemy-db-mongo	2.2.10		2129400b30c8b08939fa0eb99d2e647be216a375
io.rtr.alchemy	alchemy-db-mongo	2.2.11		d39ecfc9d500e6f12bf6dfb7ab2a3267c0902b14
io.rtr.alchemy	alchemy-db-mongo	2.2.12		3f0f11062e68be93798c2ecedad69c4e42f1f649
io.rtr.alchemy	alchemy-db-mongo	2.2.13		71e0049b2c6fc10d5c30602be02c521b672a587a
io.rtr.alchemy	alchemy-db-mongo	2.2.14		9d9ac6a6b0d7b91701958bbae3e9d52cd546505f
io.rtr.alchemy	alchemy-db-mongo	2.2.15		35d49b56f8fd7cccfa4f2ecc5f33cd3717f8308d
io.rtr.alchemy	alchemy-db-mongo	2.2.16		e2d7a3cfa9817acb41832032e3420390cb8d3dc5
io.rtr.alchemy	alchemy-db-mongo	2.2.17		c8e732e2445c576c21ff2c9bb550c986a0ea2ae1
io.rtr.alchemy	alchemy-db-mongo	2.2.2		9c08d216e2e324b0d34c3fd818f1199cff019629
io.rtr.alchemy	alchemy-db-mongo	2.2.3		0a1ec40f8f3ff32ce8d2f400dca9cbb0c3eb9e74
io.rtr.alchemy	alchemy-db-mongo	2.2.4		f3218c850264148087acd222e9a73f03677506e7
io.rtr.alchemy	alchemy-db-mongo	2.2.5		e05b70ab4f7961b720d54bc54fdda547de5caee9
io.rtr.alchemy	alchemy-db-mongo	2.2.6		838252130565c82a904563b0733915d727acfaff
io.rtr.alchemy	alchemy-db-mongo	2.2.7		bf1cf8b569e9482501d198f9924f9d40b799e670
io.rtr.alchemy	alchemy-db-mongo	2.2.8		e1a6d10faf4c2f288b4fd526110369012a15dacb
io.rtr.alchemy	alchemy-db-mongo	2.2.9		23da41829c9f424bcc2c06973085839307b77658
io.sgr.telegram.bot.examples	telegram-bot.examples.spring-webhook	1.0.0		ccfd538f39a578cf14e80633939e4ee7658d61a7
io.sgr.telegram.bot.examples	telegram-bot.examples.spring-webhook	1.0.1		f9a597cab0a62ecbbfa1e798cd5e4d7e4ce7e1f0
io.sgr.telegram.bot.examples	telegram-bot.examples.spring-webhook	1.1.0		0120c9bcecff615fc429f0a433c3b8a22935a972
io.sgr.telegram.bot.examples	telegram-bot.examples.spring-webhook	1.1.1		aec72764a10a984a1fe25475bf229fe1c639dba0
io.sovaj.basics	basics-spring-batch	1.0.0.0-RELEASE		e12efcca23a389c21dad0aa702e160157d88c2bf
me.fengy	gestalt_0.4	0.1.1		cc4563146d0a12bdb61b53a7dfd7af1c6d35aceb
me.fengy	gestalt_0.4	0.1.2		05d520d4de2d6688f10137e0d60efece9fd6f102
me.fengy	gestalt_0.4	0.1.3		bcc08d35ee061a1fc8e267da99b8c93600b017b1
me.fengy	gestalt_0.4	0.1.4		68fa732afb6d578515e51d9b08427d5320815cab
me.fengy	gestalt_0.4	0.1.5		78c93c3116824c3587dc4be3540fc3e827f360e4
me.fengy	gestalt_0.4	0.1.6		594aa97d4671aec9c0ae279d3f08861fe8f67ffc
me.fengy	gestalt_0.4	0.1.7		732f7fca52b365664b8dbadb97c2d2a85fedb34b
me.fengy	gestalt_0.4	0.1.8		a01f080f44585b3d8652dce0c81c8fe0ac6df0b4
me.fengy	gestalt_0.4	0.1.9		59dcb1a638c89337637d677fc4aa4a45919e1f79
me.fengy	gestalt_0.4	0.2.0		6fe63ce646e7212dfa29682d9d00f93345a83e21
me.fengy	gestalt_0.4	0.2.1		e45ca5b830c7bac907fa21e19da6b3e7feaacae2
me.fengy	gestalt_0.4	0.2.2		1462dc81ca650d29e3d56634b973ac2a0fe18261
me.fengy	gestalt_0.4	0.2.3		4f050ac38b2d9c872fefdaedf3ae0d9350c997ff
me.fengy	gestalt_0.4	0.2.4		a7aba5c5ec7bae0f8a7d0a7ae611b665b5014a24
me.fengy	gestalt_0.4	0.2.5		8564425e387ce3c2d25036a073be1ff935b03980
me.fengy	gestalt_0.4	0.3.0		3b5070e14e1539fab23c557b7b2bdafcfffbbe1c
net.happyonroad	spring-component-framework	0.0.1		79d086dec8cab1f05fa86756ae365450c50988aa
net.katsstuff	typenbt-mojangson_sjs0.6_2.12	0.4.0		11d41c514bf5b88b5afe01b495292b457b1e897a
net.katsstuff	typenbt-mojangson_sjs0.6_2.12	0.5.0		78a22b05e57d16265185db6cb2c8466507d4700f
net.ltgt.oauth	oauth-common	1.0.0-rc-2		962826fd323ea4213684d46103bfccc0e10f9626
net.ltgt.oauth	oauth-common	1.0.0-rc-3		a7741cdfeb58f7b4e210534409f7ba2ff4d85810
nz.ilbb.ag	nzilbb.ag	1.1.0		926e9da358c7537e9e67be12de79f5925c25f442
nz.ilbb.ag	nzilbb.ag	1.1.1		c08e7430c208b87a7ad3fd0df662c039f60f0c80
nz.ilbb.ag	nzilbb.ag	1.1.2		ead4ed68bd193ce5f5758640400a52dfa8be784b
nz.ilbb.ag	nzilbb.ag	1.1.3		a35c66888b61fe4f3cc7ea5021b6bb183a996e85
nz.ilbb.ag	nzilbb.ag	1.2.0		aac5dbf68616a0a960d3ee3a15dca4c4bdc8f4b8
nz.ilbb.ag	nzilbb.ag	1.2.1		055cee792a266210ea7859f56e6f5e0941d90e19
nz.ilbb.ag	nzilbb.ag	1.2.2		fa56921e4ce773d7552f283bd0ee7964d37cb1d9
nz.ilbb.ag	nzilbb.ag	1.2.3		8d50786c9e5df37ea0e99035a9ed83bd5c273b47
org.apache.ode	apache-ode-war	1.2		N/A
org.apache.ode	apache-ode-war	1.3.5		N/A
org.apache.ode	apache-ode-war	1.3.6		N/A
org.apache.ode	apache-ode-war	1.3.7		N/A
org.apache.ode	apache-ode-war	1.3.8		N/A
org.apache.ozhera	trace-etl-metadata	2.2.2-incubating		e6a69dc03de72ee07bd48508e1daa2c0998b700a
org.apache.ozhera	trace-etl-metadata	2.2.3-incubating		43a94bf18f689076cad38cc0a3b6e1d95c23e093
org.apache.ozhera	trace-etl-metadata	2.2.5-incubating		59e94a5a69857ac10a346922f1ba19a980bf3417
org.eclipse.dataspacetck.dsp	boot	0.1.0		ff9d603ba8e8e89a0d351f517a9ff030fdae3597
org.elasticsearch.distribution.fully-loaded	elasticsearch	2.0.0-beta1		N/A
org.guvnor	guvnor-asset-mgmt-api	6.2.0.Beta3		8b9c4fc5bb5728a1f538c2cf0710c4bb941c073e
org.guvnor	guvnor-asset-mgmt-api	6.2.0.CR1		29b0bd70ec288f41e6ecf1da21585cb6f382f505
org.guvnor	guvnor-asset-mgmt-api	6.2.0.CR2		a55e25a48b46c25bd43e0f6a57be1c91b9becdca
org.guvnor	guvnor-asset-mgmt-api	6.2.0.CR3		1421c0b02d188ef0acd80d53f6149177e56f8621
org.guvnor	guvnor-asset-mgmt-api	6.2.0.CR4		8a57ef491bc856353c9aea838f164cff9e99ca38
org.guvnor	guvnor-asset-mgmt-api	6.2.0.Final		4ad3bae2537465255ea72ed37f1b5402dc7acd7d
org.guvnor	guvnor-asset-mgmt-api	6.3.0.Beta1		fd5417071b5bdcabde0242646dea373cb640893c
org.guvnor	guvnor-asset-mgmt-api	6.3.0.Beta2		99132ab02fb9f4c8ffad80e73b14b7d4b2c57337
org.guvnor	guvnor-asset-mgmt-api	6.3.0.CR1		99e812012b7e7b36b45880f5a899756d6eec503b
org.guvnor	guvnor-asset-mgmt-api	6.3.0.CR2		1c603d132276ee8bb1a7790cc93d30c5e4c50b0e
org.guvnor	guvnor-asset-mgmt-api	6.3.0.Final		52b80f1bc8e05bddccd0544a1b519b271542ad0e
org.guvnor	guvnor-asset-mgmt-api	6.4.0.Beta1		2f69ce0c1bf567a6d7955250c40ac742379734b2
org.guvnor	guvnor-asset-mgmt-api	6.4.0.Beta2		06981b021f0d6fc456cda0eb56c1c956e2a445ad
org.guvnor	guvnor-asset-mgmt-api	6.4.0.CR1		cf46a5b008d2a081b6a5999eb5fc1b523f82f46b
org.guvnor	guvnor-asset-mgmt-api	6.4.0.CR2		e3f145260382ea7f9c5801b7b6a369f2552e149c
org.guvnor	guvnor-asset-mgmt-api	6.4.0.Final		3cac7c69c93da6732368ff23418c0357ab7217eb
org.guvnor	guvnor-asset-mgmt-api	6.5.0.Beta1		64b0cf3e23789e174e9973eaa5c13dc4e80eb463
org.guvnor	guvnor-asset-mgmt-api	6.5.0.CR1		711a3f8f02c179ce17fbfd8212dd1c0a91b1b5c3
org.guvnor	guvnor-asset-mgmt-api	6.5.0.CR2		3b736bcee17fce2678d9a9fa510ea5d3d7bcd9f6
org.guvnor	guvnor-asset-mgmt-api	6.5.0.Final		949be0a0ede97e45ec301499d2b3b939c5f4a38c
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta1		a90a8d717f0f6e8fc92dc4ff2ce42b36a51120a0
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta2		7947f919c82ff439e5c76a167a97c105efe0d1de
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta3		7dc2fd049428aa566aa780209621bc683c03a3cd
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta4		8699cbf0c149f39dfc4b1cc563468292c451538f
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta5		c4f54f6d1e394ed599198ba48f1632a2c13dbc73
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta6		f8e934fbcefdcdf5d66857f98f4bc44f7f0ef6be
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta7		2947acf459810d348dd8008194cdc3e51d7775dd
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Beta8		00084675e402e6b58cb40e1f100f6ea1e7d83af9
org.guvnor	guvnor-asset-mgmt-api	7.0.0.CR1		a51a540f17bfde36a3cac1347c8008d9933a672e
org.guvnor	guvnor-asset-mgmt-api	7.0.0.CR2		df370e359f7adfc69212a469140fd01fb5c93689
org.guvnor	guvnor-asset-mgmt-api	7.0.0.CR3		7ea8f39b900c77cab4d70c342c554e300911aa7f
org.guvnor	guvnor-asset-mgmt-api	7.0.0.Final		8ff82ec19c7227f3a3d927a3a885be269e3ee292
org.guvnor	guvnor-asset-mgmt-api	7.1.0.Beta1		a3031f5640603808da568e052c0422f0829c2e3e
org.guvnor	guvnor-asset-mgmt-api	7.1.0.Beta2		d7a2536beb5c28dcde4197d3c6c8783ec8dbc9e8
org.guvnor	guvnor-asset-mgmt-api	7.1.0.Beta3		18fd0020e9ea5f3b43509117780d34a19430f691
org.guvnor	guvnor-asset-mgmt-api	7.1.0.Final		c4a15cb946f137ba1109eb15a1991a2a594f4670
org.guvnor	guvnor-asset-mgmt-api	7.2.0.Final		66d09deb5dba7c4e39117eb5b4be8ec6badb10d9
org.guvnor	guvnor-asset-mgmt-api	7.3.0.Final		7cfa53429e742d47808673cb3a7fc50223a67b65
org.guvnor	guvnor-asset-mgmt-api	7.4.0.Final		8b857b624cd7fe84226385fce7d4a9cd9b4931b6
org.guvnor	guvnor-asset-mgmt-api	7.4.1.Final		253a29ab0bc406b45353828017b1eb50d7f9b32c
org.jpmml	pmml-evaluator-jackson	1.6.0		4f8b68b24a1fb54b70422579a9e67975d29e39a4
org.jpmml	pmml-evaluator-jackson	1.6.1		9bfb8376a035ebba589939957165e9845f9bc14c
org.jpmml	pmml-evaluator-jackson	1.6.10		c4a9187a7668785e5291534c571683e6e96cbe8e
org.jpmml	pmml-evaluator-jackson	1.6.11		671f1276abdbce269bc8ec8f6c21279e9c1f4258
org.jpmml	pmml-evaluator-jackson	1.6.2		95544618ae2887eb136886df4f2d9bffc6239102
org.jpmml	pmml-evaluator-jackson	1.6.3		bed9f4a9731f94c43f532f4afd13a2109bc90708
org.jpmml	pmml-evaluator-jackson	1.6.4		7f7b692d307fee18feab55322421a32d048f84e7
