com.adyen.checkout	dotpay-base	3.8.3		N/A
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.3		1e12f9b31e733042ed55e374cfed9e144358436b
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.4		137af0b886d374d25fc3c921b90de3486d0118fd
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.5		d4499841752525daf80d6d2c1db6a3407df9570b
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.6		2e33470295ee0134dedb6f46a0dd1bb39876895a
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.7		2d1c3e039eebd4a2a4664c3052e6b65e89e0b3e5
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.9		8ede43c71d55fa4f556b1c00f1ff8204743b1f42
com.joom.colonist	colonist-annotations	0.1.0-alpha17		6c212c5ab5e87bf1e1c9736b0549410c15c26d7c
com.joom.colonist	colonist-annotations	0.1.0-alpha18		ab2575af447d38402a48e7b1ea0f2210f171d0c5
com.joom.colonist	colonist-annotations	0.1.0-alpha19		b4504501a1c987a5449d0d9d169c34080fdb559c
com.joom.colonist	colonist-annotations	0.1.0-alpha20		44ba3f1051189c57015c3c2dc6c345e692046516
com.joom.colonist	colonist-annotations	0.1.0-alpha21		af7e10bcd477bfd8e75a65e9a40b5ff4faa34488
com.joom.colonist	colonist-annotations	0.1.0-alpha22		371556f06ced4c6395ba68ffd3f564050e7dc078
com.linkedin.pegasus	restli-int-test-server	1.10.6		34983a6b26520c9cc076c14ef6a0e3d42453e663
com.linkedin.pegasus	restli-int-test-server	1.13.4		0451d494f67e8e777f2449290bc3b9e31e0fcf15
com.linkedin.pegasus	restli-int-test-server	1.15.12		b354f111221250974b8f17abd0464649f3daa03c
com.linkedin.pegasus	restli-int-test-server	1.15.18		68a2241bcf166c3437cd17eb6c0b7f475b0b6cad
com.linkedin.pegasus	restli-int-test-server	1.15.2		2ec6ce6552067512717dbeba465cabcbf8559b43
com.linkedin.pegasus	restli-int-test-server	1.15.4		f6866a8764c823447cc036d78299cfe70425839f
com.linkedin.pegasus	restli-int-test-server	1.15.7		d3006765dd9df129a9471b83cfb846542366889a
com.linkedin.pegasus	restli-int-test-server	1.15.9		c7e4f6678f109fdbe6f5756cf3c2cd2df73926f9
com.linkedin.pegasus	restli-int-test-server	1.20.0		f6dd22a53b43ee85707df197701f3fec3ca575e0
com.linkedin.pegasus	restli-int-test-server	1.8.3		6cbc482fb4fac8047b6a5d911a553a526a43069b
com.linkedin.pegasus	restli-int-test-server	1.9.1		2283d27a463528cb6d230f5dab9c742e1dfbc564
com.linkedin.pegasus	restli-int-test-server	1.9.18		5bb17394de5d4d48b30392b6d88d04266100d7cd
com.linkedin.pegasus	restli-int-test-server	1.9.23		105464baf09f31c84289f2616eb6aaaa67e40f48
com.linkedin.pegasus	restli-int-test-server	1.9.3		74733e4979de43afa0b221fa12d019278360219f
com.linkedin.pegasus	restli-int-test-server	1.9.40		63e1c520faf69abdbd54edb254e9d21a78965dfb
com.linkedin.pegasus	restli-int-test-server	1.9.5		6b5da3b45d2de6a95307faa5917c783100525682
com.linkedin.pegasus	restli-int-test-server	10.1.3		466ac0745ecf66fb6db18f7e85483916d8b6eafd
com.linkedin.pegasus	restli-int-test-server	11.0.0		6ef634c7bb1b6047c0b926f7d0eb69140991cf28
com.linkedin.pegasus	restli-int-test-server	11.0.17		7dae86f8e8acd01299bcbea8438efedd32600ded
com.linkedin.pegasus	restli-int-test-server	17.0.4		a19637225e5f56bfa348e8dd1c3ab24b7dfa9d0d
com.linkedin.pegasus	restli-int-test-server	19.0.3		86952bf415bae3f527d66c0c0c4f778ae6ea89a5
com.linkedin.pegasus	restli-int-test-server	2.1.0		51f73615ebdc15c45e0cfc538f87aff2541bd895
com.linkedin.pegasus	restli-int-test-server	2.12.7		da97f318d5296bf798a43becf35fa0018a3be881
com.linkedin.pegasus	restli-int-test-server	2.2.5		d06f98f0666c0f91c743aafb9f0a7185ecbfc003
com.linkedin.pegasus	restli-int-test-server	2.6.0		5ebd7f906eeecb26452b5c99f45cef5f878c9f84
com.linkedin.pegasus	restli-int-test-server	20.0.4		886f333fefb086e4ea1ce4dd323bdf28f02e816e
com.linkedin.pegasus	restli-int-test-server	21.0.0		6d1a228ffa6a6c547cdf2a7bd9bee0a156e477c7
