com.github.omarmiatello.telegram	dataclass-only	5.3	5.3-all	e54cb557344c7081932849564a96ee320e237ac4
com.github.omarmiatello.telegram	dataclass-only	5.6	-	a351f8ce2d1a4c41497eea1b2a2f1131e2d600b2
com.github.omarmiatello.telegram	dataclass-only	5.6	5.6-all	07ab10a3672f6992e85bdb6bb58c7f8f1543b455
com.github.omarmiatello.telegram	dataclass-only	5.7	-	53606f1756ebaae35a6a0df7d98abafa0fc9da46
com.github.omarmiatello.telegram	dataclass-only	5.7	5.7-all	9ea1e57efbd844104570fc974c7a4efaddf85960
com.github.omarmiatello.telegram	dataclass-only	6.0	-	10586f6596880d390e2c5fe92fe3ba453bdd9874
com.github.omarmiatello.telegram	dataclass-only	6.0	6.0-all	47e6b508ee43e61b0d52467dff5a6a8eaba3b7cd
com.github.omarmiatello.telegram	dataclass-only	6.0.1	-	3e50a7b588d99a3aa6c065d91a87d84d4263c463
com.github.omarmiatello.telegram	dataclass-only	6.0.1	6.0.1-all	a8b0aa4deb3f645300f222dc974cfcd214849231
com.github.omarmiatello.telegram	dataclass-only	6.1	-	e0bd545d21f341cc7fabceaf2ecc58492dd91655
com.github.omarmiatello.telegram	dataclass-only	6.1	6.1-all	d74540bb68f1fa9807196a5baa9e93ee265dd4bd
com.github.omarmiatello.telegram	dataclass-only	6.1.1	-	d4419b9a55abe3886f21eabdb1aaef83b9a1d112
com.github.omarmiatello.telegram	dataclass-only	6.1.1	6.1.1-all	54ceacca5ce9de5af57edaaa97d97a7093889b6d
com.github.omarmiatello.telegram	dataclass-only	7.2	-	37626126e05572b8b92e44ab3d09c0e1c99f3843
com.github.omarmiatello.telegram	dataclass-only	7.2	7.2-all	c165f085ce38462b1e328972c7146319e52e3ad0
com.github.omarmiatello.telegram	dataclass-only	7.2.1	-	7d5e021ce3bdd20d6c2f8252b5923dc7b890146b
com.github.omarmiatello.telegram	dataclass-only	7.2.1	7.2.1-all	4064afa3681b0a1b01e094e933248af393d78ef9
com.github.omarmiatello.telegram	dataclass-only	7.2.2	-	0c1a30d3e878def1938399e3ecc332959f4a95e1
com.github.omarmiatello.telegram	dataclass-only	7.2.2	7.2.2-all	06d95aaae137e54b9f847a3ee8698184dd396067
com.github.omarmiatello.telegram	dataclass-only	7.4	-	60420f8a2648daa537028bf95a70c209c86aa84f
com.github.omarmiatello.telegram	dataclass-only	7.4	7.4-all	9e89c732ad1fddd387169d8d7cf938f84ebc4782
com.github.omarmiatello.telegram	dataclass-only	7.5.1	-	0f175ce3cea1d5b9a471263258ff9359f21efd65
