com.liferay	com.liferay.headless.discovery.impl	3.0.20		bc3f7adda7c8652945188a31709e377d64ca2afe
com.liferay	com.liferay.headless.discovery.impl	3.0.21		f4388536ae8d23b5388daec29c1507f1c50d8636
com.liferay	com.liferay.headless.discovery.impl	3.0.22		b14798dc3c476beb6bf236299c00af93ec53a661
com.liferay	com.liferay.headless.discovery.impl	3.0.23		201addd640215f81a1bbfe94bbcd6f4dd2d5593d
com.liferay	com.liferay.headless.discovery.impl	3.0.24		ae5eb00a8a7c06bf3ad7539421f58901b3419c31
com.liferay	com.liferay.headless.discovery.impl	3.0.25		55614467743804e233358fd9e334bf64d4d5abed
com.liferay	com.liferay.headless.discovery.impl	3.0.26		2f8c2363e49cd8b04c63a4934002698fc427a7e6
com.liferay	com.liferay.headless.discovery.impl	3.0.27		8d30bd2a8c7f78110ce27a6a3323412cba34e4cf
com.liferay	com.liferay.headless.discovery.impl	3.0.28		0a6440119458edd6afb4eb2d13bd9d341c6c9823
com.liferay	com.liferay.headless.discovery.impl	3.0.29		6a98532c7f2fbf5cadf31dc2e151173fd6125f16
com.liferay	com.liferay.headless.discovery.impl	3.0.3		62850b82a1b6fb374d707d1203e7d661596f977c
com.liferay	com.liferay.headless.discovery.impl	3.0.30		afeea2a36a11ecc5c8cbcd77ddc37b8824701422
com.liferay	com.liferay.headless.discovery.impl	3.0.31		63b4dda32f4f7d835c53ded6ad3e647f0162f94b
com.liferay	com.liferay.headless.discovery.impl	3.0.32		e9d1d9b5f0a4e152e810e986251e25afa3c71a61
com.liferay	com.liferay.headless.discovery.impl	3.0.33		63d12d33c826a8d20c8230dbbd041617422d853f
com.liferay	com.liferay.headless.discovery.impl	3.0.4		8c4590c81bf120854ef62fa63530a7194b6ed6f7
com.liferay	com.liferay.headless.discovery.impl	3.0.5		419411ed431bbedb09fbb4220efe16d8019a55bc
com.liferay	com.liferay.headless.discovery.impl	3.0.6		3f6207201ef7e5e39055c2569997fbc7451d4a16
com.liferay	com.liferay.headless.discovery.impl	3.0.7		daea97b2d62aa1d2e9b535a270d576b0c33d7e1a
com.liferay	com.liferay.headless.discovery.impl	3.0.8		34d5e610f19798d8a1e50bc4759ad0d498b64c8b
com.liferay	com.liferay.headless.discovery.impl	3.0.9		c93e4e234202d19a9472c653623cec5f313b2016
