aero.champ	cargojson	1.0	-	f37a0a83adfd408d8cf44059ac4b1a57e8dc7eee
org.jboss.resteasy	resteasy-client-jetty	3.13.0.Final	-	5a8d8de6b8ef4ede21b2d824d4574e2789475487
org.jboss.resteasy	resteasy-client-jetty	3.13.1.Final	-	1453e635531af932269ebbd911b31d9395154772
org.jboss.resteasy	resteasy-client-jetty	3.13.2.Final	-	67b9149649f656984da8e959996f282b2171cf44
org.jboss.resteasy	resteasy-client-jetty	3.14.0.Final	-	a877a8cc1d56a28d7416b8fd3e9647e1bfb67391
org.jboss.resteasy	resteasy-client-jetty	3.15.0.Alpha1	-	96cc6b5739597ca390694c8a027ef1c4254628a9
org.jboss.resteasy	resteasy-client-jetty	3.15.0.Final	-	7fa59025d9b76c2648a76db3187ab5e1a488a49d
org.jboss.resteasy	resteasy-client-jetty	3.15.1.Final	-	22d54daa7012da04a8cca2e2855d0096423172fe
org.jboss.resteasy	resteasy-client-jetty	3.15.2.Final	-	0767ccb87df4bf800abdc26e4cc0d9c43162156e
org.jboss.resteasy	resteasy-client-jetty	3.15.3.Final	-	960a571114be8071b84a7cbd04ef7ad21f990bac
org.jboss.resteasy	resteasy-client-jetty	3.15.6.Final	-	7822074ac08d0811c350029f31403fd5cdf9b78a
org.jboss.resteasy	resteasy-client-jetty	3.6.0.CR1	-	9bbc1fb27956fbb20c6607039320ae734e27006b
org.jboss.resteasy	resteasy-client-jetty	3.6.0.Final	-	fdd909c3c7d4f034c510167783d0bf73d856cab9
org.jboss.resteasy	resteasy-client-jetty	3.6.1.Final	-	42c1645ebca9cfb5acb7c279aebe592bf733d895
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP1	-	711da1d5246877a2c18e4cfd5201bef19c710c80
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP2	-	e11bff83454b366bb6a3559f9ecbbc5eaccfebbb
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP3	-	aa2fdc6e8ccc6775c6d4ae5fb1dd49255bbb50e3
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP5	-	9d391b53d2c767643016c983f0640a9e3131c4ba
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP6	-	3de76b38d8f086d0368f9bd1698db96387d69fff
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP7	-	540d6dd0808d13d18fc98ab156903028a16f9b0c
org.jboss.resteasy	resteasy-client-jetty	3.6.1.SP8	-	b246fefaf9a7772256f7690e68001223d2883194
org.jboss.resteasy	resteasy-client-jetty	3.6.2.Final	-	ccac37d8ddbe55f843ee0446cf9eb31af1d5fa8c
org.jboss.resteasy	resteasy-client-jetty	3.6.3.Final	-	12742c0964b545ac4808877e4fe7e7554fe38612
org.jboss.resteasy	resteasy-client-jetty	3.6.3.SP1	-	ee7871d41efbcc07dd2342623e9912089fd3edd2
org.jboss.resteasy	resteasy-client-jetty	3.7.0.Final	-	5a3ddd79d1ef40d0be045c1e0148bb4548e7da29
org.jboss.resteasy	resteasy-client-jetty	3.8.0.Final	-	be233176d61a124c597706146ece2cebb5b36fe1
org.jboss.resteasy	resteasy-client-jetty	3.8.1.Final	-	cf19cc502856f54a4005efaa5cb5becef7295e35
org.jboss.resteasy	resteasy-client-jetty	3.9.0.Final	-	bad08f97489fab5cc23dfe930b1421baacdf0313
org.jboss.resteasy	resteasy-client-jetty	3.9.1.Final	-	c744f82feb2fa802af79c20c8cb5c9c1d458a849
org.jboss.resteasy	resteasy-client-jetty	3.9.2.Final	-	715833cefeedf16e9726beae6753449d7e3dbc07
org.jboss.resteasy	resteasy-client-jetty	3.9.3.Final	-	24498d052c930fc089e1e392688ba4de7a88a8d0
org.jboss.resteasy	resteasy-client-jetty	3.9.3.SP1	-	e820f931c8ee6bf86fa875ef9a7a9d0f0d6a2c78
org.jboss.resteasy	resteasy-client-jetty	4.0.0.Beta4	-	bfa2b9f2325aca9aa65bd87c2c701611ed6b534c
org.jboss.resteasy	resteasy-client-jetty	4.0.0.Beta5	-	723da0ac5300d0155b5fa453bbf065f94bff6b58
org.jboss.resteasy	resteasy-client-jetty	4.0.0.Beta6	-	13f60d42dcb88561100022cdcaa8430282397d3f
org.jboss.resteasy	resteasy-client-jetty	4.0.0.Beta7	-	e6c520773f91b37afb72f2bdf127550e44554ce6
org.jboss.resteasy	resteasy-client-jetty	4.0.0.Beta8	-	bc476e1eb52a6e76c8a1bed7f9856cfcfb1d707b
org.jboss.resteasy	resteasy-client-jetty	4.0.0.CR1	-	92c8c1e7c21ed9336393c6929b1c31e19537c535
org.jboss.resteasy	resteasy-client-jetty	4.0.0.CR2	-	df16b81e80f29ba71f716c5ca8bc2fc238bd7ed6
org.jboss.resteasy	resteasy-client-jetty	4.0.0.CR3	-	515d0e39d9e20e8efa4228161eed75bdee9d1d3b
org.jboss.resteasy	resteasy-client-jetty	4.0.0.Final	-	3d417408f5cbf73857001d3b9eb24880fdb83fc7
org.jboss.resteasy	resteasy-client-jetty	4.1.0.Final	-	98155b0a19bf965a0744e07d35f6edfb727b621b
org.jboss.resteasy	resteasy-client-jetty	4.1.1.Final	-	2aff5a9a22ae70ed0c6eb8b852167dbee7047dda
org.jboss.resteasy	resteasy-client-jetty	4.2.0.Final	-	36e9534a93f3287bb2cae6a3b05f4b0c88e71810
org.jboss.resteasy	resteasy-client-jetty	4.3.0.Final	-	daf70cd4ce59a0a0fff179547c12b7c893a4dbc6
org.jboss.resteasy	resteasy-client-jetty	4.3.1.Final	-	75409a204fe23a6377e2d4f44089984d5aa2ee46
org.jboss.resteasy	resteasy-client-jetty	4.4.0.CR1	-	2dae98622e74647f78e49f4b656d45e6da560cb1
org.jboss.resteasy	resteasy-client-jetty	4.4.0.Final	-	0142b3f51009f28ddab8c06174b1c1d36308472c
org.jboss.resteasy	resteasy-client-jetty	4.4.1.Final	-	739e278b8fc076e086b78f7fed7133da05f066f3
org.jboss.resteasy	resteasy-client-jetty	4.4.2.Final	-	842d858fe9cf5b3fa4826d6495431d5e66ade113
org.jboss.resteasy	resteasy-client-jetty	4.4.3.Final	-	68e87fb0a4c2bfed2eedf234c99654278096b844
org.jboss.resteasy	resteasy-client-jetty	4.5.0.Final	-	702fb9bf2ab78805b854e6d194f1b26fa4424483
org.jboss.resteasy	resteasy-client-jetty	4.5.1.Final	-	51998f28ee2e91bcd7998d546ac7285ecb9dc649
org.jboss.resteasy	resteasy-client-jetty	4.5.10.Final	-	846c93c42caaa9ebc38cb4dcdf2847d717368391
org.jboss.resteasy	resteasy-client-jetty	4.5.11.Final	-	5e6d49b4f4b7ea2b4de6b080dd7a0de075b7ed21
org.jboss.resteasy	resteasy-client-jetty	4.5.12.Beta1	-	9b4aa0c3cea0434bdd56e8f1176a40dba8fab978
org.jboss.resteasy	resteasy-client-jetty	4.5.12.Final	-	d4ad8e87d58e298fbebf00723acb22a7a221ae28
org.jboss.resteasy	resteasy-client-jetty	4.5.2.Final	-	cd8cb7237d91dbf9dcd87b0c4f80da89b7e90e3c
org.jboss.resteasy	resteasy-client-jetty	4.5.3.Final	-	b9d60bdc75fa90bb1398cb9ee0e329acd1d6f129
org.jboss.resteasy	resteasy-client-jetty	4.5.4.Final	-	b9cbabab8bb5ee5d01c9d8b860fdfb78f323e583
org.jboss.resteasy	resteasy-client-jetty	4.5.5.Final	-	c8de521c944e7b6045b459723c36a04cd53bbf24
org.jboss.resteasy	resteasy-client-jetty	4.5.6.Final	-	41dd9b1970539877aaa1b9bb2ce28dff2cd8927c
org.jboss.resteasy	resteasy-client-jetty	4.5.7.Final	-	4750af645e867d534a985b79eaef09242ae77818
org.jboss.resteasy	resteasy-client-jetty	4.5.8.Final	-	b1b0d47452a4746b4e6f877b2e4cae0abed24553
org.jboss.resteasy	resteasy-client-jetty	4.5.8.SP1	-	084bf0a7c72baa21313e654bef95b8ca9396a9af
org.jboss.resteasy	resteasy-client-jetty	4.5.9.Final	-	7c57817151b3cd2ba8340de7bd4f1cd430b8e5cd
org.jboss.resteasy	resteasy-client-jetty	4.6.0.Final	-	7d04565420aaddd48a82415836e10f4e5d97af60
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Alpha1	-	16fc5b9af74335e79fd30ae9c8225eb1b04e8567
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta1	-	8dda2f7235f41d16b28557a0b6861059934afd54
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta2	-	0b314d07a8ee2e05484c85f445abbd3299ee5b77
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta3	-	a818900e3ad106288d49c26f5a07d655d1680205
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta5	-	9bdbb6565171e6e3ca9a6b8a70c397419ce545df
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta6	-	2065f4bef90393dc97333d90937f212cf2f3d282
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta7	-	2c667e95483d3cbae397127aa128228cc48d8f43
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta8	-	30891813d67164448789272f8b74bcfbbee0ce66
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Beta9	-	77ee2e972151bbf2bed6da96cd61f79c6173e820
org.jboss.resteasy	resteasy-client-jetty	4.6.1.Final	-	bd1358b53b14084eadb15094d7c333e2500fffcc
org.jboss.resteasy	resteasy-client-jetty	4.6.2.Final	-	27b8befcda2dc46a7712110fb08f0774c32115d8
org.jboss.resteasy	resteasy-client-jetty	4.7.0.Beta1	-	3475781fdb320ec8d9d59ddf49a150ca50a2d874
org.jboss.resteasy	resteasy-client-jetty	4.7.0.Beta2	-	90cba620d781659ec8192912a436a321ca92b56b
org.jboss.resteasy	resteasy-client-jetty	4.7.0.Beta3	-	3b86b7ecb262634979596e112c44f5d093341728
org.jboss.resteasy	resteasy-client-jetty	4.7.0.Beta6	-	1dc935ddd04759292da16dec977427ea41c74a80
org.jboss.resteasy	resteasy-client-jetty	4.7.0.Beta7	-	5f5a5852cab35c90840dcf9f6d72469e1cedeec3
org.jboss.resteasy	resteasy-client-jetty	4.7.0.Final	-	702814fd380f903e2364f804088666576c654b71
org.jboss.resteasy	resteasy-client-jetty	4.7.1.Final	-	8279c7e5dc35aaf2b620d5fa9558be16f3412f79
org.jboss.resteasy	resteasy-client-jetty	4.7.10.Final	-	c9ca7575c7d8ef31e342ce44f8b7552e6c076e4c
org.jboss.resteasy	resteasy-client-jetty	4.7.2.Final	-	5dae058145b700477f3d052087f03a47e6634dbf
org.jboss.resteasy	resteasy-client-jetty	4.7.3.Final	-	cf380de58de0d862f449c41ed0c6404541d67804
org.jboss.resteasy	resteasy-client-jetty	4.7.4.Final	-	c307f099b46358147a8ac0b9e28be023387b5d18
org.jboss.resteasy	resteasy-client-jetty	4.7.5.Final	-	615cdb4a737d167303e65574470334320578d46f
org.jboss.resteasy	resteasy-client-jetty	4.7.6.Final	-	1b97c56b4a37a561581218316650677883af89a1
org.jboss.resteasy	resteasy-client-jetty	4.7.7.Final	-	41e6eb0f38bb1625de223e8b3c0c3e06c2848dc2
org.jboss.resteasy	resteasy-client-jetty	4.7.8.Final	-	9f5f78f025100e92319b3d0d03c6fe87f1b6b279
org.jboss.resteasy	resteasy-client-jetty	4.7.9.Final	-	64e53260fa96173ced8344526b3729376087e887
org.jboss.resteasy	resteasy-client-jetty	5.0.0.Alpha1	-	ae1e2f3b10b9124c7dae414e73a3946f54ec012a
org.jboss.resteasy	resteasy-client-jetty	5.0.0.Beta1	-	2f4796bd27344a91837afc57e1009496968e4278
org.jboss.resteasy	resteasy-client-jetty	5.0.0.Beta2	-	2708b8617cf5d1c15c70a8d4e8ee64abe36c6435
org.jboss.resteasy	resteasy-client-jetty	5.0.0.Beta3	-	65ce24dc01fa7773eaa4af7f0191b6455c9b7e03
org.jboss.resteasy	resteasy-client-jetty	5.0.0.Final	-	815c1a5089ac4a5791422853e6fd36790b31612b
org.jboss.resteasy	resteasy-client-jetty	5.0.1.Final	-	2f9ee4875f123ce8ca6cd43da8f83d3521040e7a
org.jboss.resteasy	resteasy-client-jetty	5.0.10.Final	-	19bcff499713694b1a70efa90917cf58977b90ab
org.jboss.resteasy	resteasy-client-jetty	5.0.2.Final	-	03c80ec0692b909082b8ceaeecc6c656c6837af5
org.jboss.resteasy	resteasy-client-jetty	5.0.3.Final	-	405c01d27b4badea3b5a27b5b72838f422acf94b
org.jboss.resteasy	resteasy-client-jetty	5.0.4.Final	-	0a10a46480495ea85b608c0d3a6c5490cb5cd847
org.jboss.resteasy	resteasy-client-jetty	5.0.5.Final	-	7980f3c886a70ea7dc95aa28e5ec8f3f61fb4c9a
org.jboss.resteasy	resteasy-client-jetty	5.0.6.Final	-	fef4fcdb8664d51eabe51d2e26ae7ceccb5783d1
org.jboss.resteasy	resteasy-client-jetty	5.0.7.Final	-	232b6d7c3e9ded6e9ef4584cd90da95fff3dae95
org.jboss.resteasy	resteasy-client-jetty	5.0.8.Final	-	43a551d42f0b57ccb9606128b400f74d9639e75a
org.jboss.resteasy	resteasy-client-jetty	5.0.9.Final	-	bd8c529e0a13eacdbd2e3fb8934b8b6acc30af93
org.jboss.resteasy	resteasy-client-jetty	6.0.0.Beta1	-	1d260dc02080a98917429ae45541db57414f2a12
org.jboss.resteasy	resteasy-client-jetty	6.0.0.Final	-	51f25fb9a39de7f2dcdf957649165e3226d05b15
org.jboss.resteasy	resteasy-client-jetty	6.0.1.Final	-	60134f4ca2417043c057388af09bd20d590f08d7
org.jboss.resteasy	resteasy-client-jetty	6.0.2.Final	-	3cc177cf4014664551f90ffcf7689c3116a19d78
org.jboss.resteasy	resteasy-client-jetty	6.0.3.Final	-	24ad63b87e7ce5ff3ba025097d75735fd470231d
org.jboss.resteasy	resteasy-client-jetty	6.1.0.Alpha1	-	2b1fed6feae6d199c326e896d8592ee969481f1e
org.jboss.resteasy	resteasy-client-jetty	6.1.0.Beta1	-	a7733c0c8c6740ffd8b2246881943eee628816d7
org.jboss.resteasy	resteasy-client-jetty	6.1.0.Beta2	-	f89e687ca06be2b2870b8d7572e285f5b4cc7c1a
org.jboss.resteasy	resteasy-client-jetty	6.1.0.Beta3	-	23ca3569873c6ed5c81c946f4010cc4462630e1f
org.jboss.resteasy	resteasy-client-jetty	6.1.0.Final	-	5b05f58e0cceed7a314b5f519a186324354b2155
org.jboss.resteasy	resteasy-client-jetty	6.2.0.Beta1	-	0bc2767a6dbd6eaf381f176a1f9ff4cd0dda0840
org.jboss.resteasy	resteasy-client-jetty	6.2.0.Final	-	4525de66815a86a806edcfb476c827b0463b7724
org.jboss.resteasy	resteasy-client-jetty	6.2.1.Final	-	06bb00df778b51689801bbbf3a28e3d856857776
org.jboss.resteasy	resteasy-client-jetty	6.2.10.Final	-	119dd682206a5d6bd89552f7085dacbb8f041d77
org.jboss.resteasy	resteasy-client-jetty	6.2.11.Final	-	0093a96513198438d74677f80951296eb6d76077
org.jboss.resteasy	resteasy-client-jetty	6.2.12.Final	-	6170089e212a0d33b371ef0d2d8a6c285c05df07
org.jboss.resteasy	resteasy-client-jetty	6.2.2.Final	-	3899c64e18ee8f8cf8e8648f5facf83780bb8141
org.jboss.resteasy	resteasy-client-jetty	6.2.3.Final	-	859627eaed65c0e5c4663e11906107c5239c4990
org.jboss.resteasy	resteasy-client-jetty	6.2.4.Final	-	256191d9eaee4a1c5324224ba6495026d52f6eb2
org.jboss.resteasy	resteasy-client-jetty	6.2.5.Final	-	7b9e0d6431a3f5cba3f946ea989e2718c05610f1
org.jboss.resteasy	resteasy-client-jetty	6.2.6.Final	-	8b4c68512fdaf1ca0fb2750e6f5ebc8251d14d3f
org.jboss.resteasy	resteasy-client-jetty	6.2.7.Final	-	6f48533d81df364ae4d717fb34dab8c9dae17991
org.jboss.resteasy	resteasy-client-jetty	6.2.8.Final	-	165a67b2db1149f760a841a3b01e8abf751808a6
org.jboss.resteasy	resteasy-client-jetty	6.2.9.Final	-	e17e6279f804601086bfd312fb416e63e81775d6
org.jboss.resteasy	resteasy-client-jetty	7.0.0.Alpha1	-	59db9de0911ab0a6630a8a19a5b3471ff7348bca
org.jboss.resteasy	resteasy-client-jetty	7.0.0.Alpha2	-	5a52644d2281ab672dda58504e78c4b4ad575b47
org.jboss.resteasy	resteasy-client-jetty	7.0.0.Alpha3	-	f73914508613903fb101172380c6675c7d2c4a9b
org.jboss.resteasy	resteasy-client-jetty	7.0.0.Alpha4	-	977e0b925c13a4307f5389d8fb70944f84411da8
org.jboss.resteasy	resteasy-client-jetty	7.0.0.Beta1	-	7b5f25666313191ffaf6a39022bf698c10d70b2c
org.jboss.ws.native	jbossws-native-services	4.1.0.Final	-	fd02abaaa3f59cc245ae1ca3e229cc6140c53407
org.jboss.ws.native	jbossws-native-services	4.1.1.Final	-	130af9452fb3b5f678d84e1ebde50e0cfe819074
org.jboss.ws.native	jbossws-native-services	4.1.2.Final	-	64edaf50a5376491c9f3966f98c5abf002d574b9
org.jboss.ws.native	jbossws-native-services	4.2.0.CR1	-	c79cc55e96e4b10d33c8e7b9503f7a199d73d75a
org.jboss.ws.native	jbossws-native-services	4.2.0.Final	-	cb6791b0bb68861832d89e36e97528a5658f6079
org.jboss.ws.native	jbossws-native-services	4.2.1.Final	-	3d9d2615ffbd4dd9fe136494fc5a092940f6114f
org.jdrupes	plantuml-taglet	0.1.0	-	d46303b22888c9c2cba34b8e5d8c0f400ba178d9
org.jdrupes	plantuml-taglet	1.0.0	-	2f27fe763914c56ee242f20f34dd925e5ff44430
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.7.10	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.7.20	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.7.20-Beta	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.7.20-RC	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.7.21	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.7.22	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.0	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.0-Beta	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.0-RC	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.0-RC2	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.10	-	86bfac549ad1155c769ef82db395bb81a9b5402f
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.20	-	4219b4aa308de9ef2d1ec6bc00f67f098f36857e
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.20-Beta	-	4219b4aa308de9ef2d1ec6bc00f67f098f36857e
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.20-RC	-	4219b4aa308de9ef2d1ec6bc00f67f098f36857e
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.20-RC2	-	4219b4aa308de9ef2d1ec6bc00f67f098f36857e
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.21	-	4219b4aa308de9ef2d1ec6bc00f67f098f36857e
org.jetbrains.kotlin	kotlinx-atomicfu-runtime	1.8.22	-	4219b4aa308de9ef2d1ec6bc00f67f098f36857e
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.0-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.1-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.10-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.11-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.12-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.13-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.2-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.3-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.4-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.5-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.6-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.7-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.8-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlin-wrappers	kotlin-emotion-cache	2025.4.9-11.14.0	-	4a2b0530c6748a26507ba65dad6b356852a4267b
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.2.1	0.2.1-metadata	2a00ea1de3816d5533523f85dcc81c75ccac0815
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.2.2	0.2.2-metadata	264a3b4d4206d695d7373b3b1d15bcea92d2b883
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.2.3	0.2.3-metadata	3e91f83aa1f01ea4b7aaf74646928205087dc6af
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.2.4	0.2.4-metadata	9677089ea3696c7690ad95eae20f18f2186a050d
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.3.0	0.3.0-metadata	45018b5a9052d805a7a6a7ef6abfb879d3c979b6
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.4.0	0.4.0-metadata	677276c876c7db3f94cc11717d2a26b03a778659
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.5.0	0.5.0-metadata	4f6656e16f70fcdc86b51f3fb52a8d982fe5c833
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.5.1	0.5.1-metadata	fbd1dbf91cafb70cd7f83d09c4ea048d04d6c6bb
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.6.0	0.6.0-metadata	5a71940797fb46d8ee7e8167176b2abf0e356084
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.6.1	0.6.1-metadata	78964be3678963776a15d08f939cb426359dfb6e
org.jetbrains.kotlinx	kotlinx-rpc-krpc-test-watchosx64	0.6.2	0.6.2-metadata	b14aa1307ebae6eb03883af31e0de17e653f6afb
org.jibx.schema.org.opentravel.x2014B	org.jibx.schema.org.opentravel.x2014B.screen	1.2.4	-	a542bbb0457eb2780b1295a21b85d189925d6129
org.jvnet.hudson.plugins	m2-extra-steps	1.0	-	1ba5fb13a67fbe2fc4ec30da82efe42e7fd52e95
org.jvnet.hudson.plugins	m2-extra-steps	1.1	-	20a52b6089393e698c876a5f867df28d228bf0bb
org.jvnet.hudson.plugins	m2-extra-steps	1.1.1	-	1bc2bc2201c417ac866c3f0f3197001d5e448c3d
org.jvnet.hudson.plugins	m2-extra-steps	1.1.2	-	b4c389c44d1438137615992b6ec111d993f5cb7b
org.jvnet.hudson.plugins	m2-extra-steps	1.1.3	-	3d3ad16c96cb7f1e965a3f0e4790d787129bfe7b
org.kie.workbench.playground	optacloud	7.0.0.Beta6	-	363d6e3b9e880cccb149a1e8816af1de04590ee3
org.kie.workbench.playground	optacloud	7.0.0.Beta7	-	53268d3cb25c9fb1ce341ce09875c0167b8ac015
org.kie.workbench.playground	optacloud	7.0.0.Beta8	-	5c6339f1ad05d1c88cfbe6ab099d0e974cbd6cb1
org.kie.workbench.playground	optacloud	7.0.0.CR1	-	519d7f712f2e57af89cd73a542af8ba98a7c6183
org.kie.workbench.playground	optacloud	7.0.0.CR2	-	2dddaf832e1c99b78c7d383cf1039d772074d5f3
org.kie.workbench.playground	optacloud	7.0.0.CR3	-	f5c2c90d0104445677a914c6f6ffc6662130b89e
org.kie.workbench.playground	optacloud	7.0.0.Final	-	af12f24170f016ba0587a513b19b41f1cdeb1997
org.kie.workbench.playground	optacloud	7.1.0.Beta1	-	3ac94154de2caa0df34bf9a495e79be63a00be11
org.kie.workbench.playground	optacloud	7.1.0.Beta2	-	fdf6d6a0e93e775dd6801fe795c02c7c66590f27
org.kie.workbench.playground	optacloud	7.1.0.Beta3	-	fd664a89e1c71bdc96c6fa264475f2fb6d9f3298
org.kie.workbench.playground	optacloud	7.1.0.Final	-	1ef88b293b52dbf5af1f1af176b9d68336a376a2
org.kie.workbench.playground	optacloud	7.10.0.Final	-	10afb7cbc2dbb8f8095de3ab0a848bdd47ef1957
org.kie.workbench.playground	optacloud	7.11.0.Final	-	81bf0895e33c5d1b7eb3a1b9e71094b3b0b5af78
org.kie.workbench.playground	optacloud	7.12.0.Final	-	63eb624860a46a11b0c3100aa0021cb8c72bd1c5
org.kie.workbench.playground	optacloud	7.13.0.Final	-	7bb795ff1a97464887050dd4aa6f5706785c7e17
org.kie.workbench.playground	optacloud	7.14.0.Final	-	e1a0d979af3a64891063e864edcdc7a8e7e03096
org.kie.workbench.playground	optacloud	7.15.0.Final	-	10cbe909c0e0cfde83b656b8923166a3a97cacf9
org.kie.workbench.playground	optacloud	7.16.0.Final	-	86e77e795f5ce4c7f89ec50c6a4027fb909b372d
org.kie.workbench.playground	optacloud	7.17.0.Final	-	336e1eb486a1ccea96b512abbb46a19e57d40222
org.kie.workbench.playground	optacloud	7.18.0.Final	-	4da64b423fe8cf47eecde106df303e5f38917aeb
org.kie.workbench.playground	optacloud	7.19.0.Final	-	4704ad5db634447ead31bd2496bd9109092bccf7
org.kie.workbench.playground	optacloud	7.2.0.Final	-	382cd33898280172d6dbf5121b5b359193c47280
org.kie.workbench.playground	optacloud	7.20.0.Final	-	3d389f67d90fdc7f5f2ebc94fda540dcbcf68b30
org.kie.workbench.playground	optacloud	7.21.0.Final	-	5d5ce878f3dffb81de1a538156974ba75ffbe9ff
org.kie.workbench.playground	optacloud	7.22.0.Final	-	ec06c42d6e9a7d93ea90b4495dc4f930dc49e20f
org.kie.workbench.playground	optacloud	7.23.0.Final	-	5eb9be7f82f70b74d222070f77511197bb20e83f
org.kie.workbench.playground	optacloud	7.24.0.Final	-	ac7d8fc819b87e8b40af35e5489a1c2bc7c55807
org.kie.workbench.playground	optacloud	7.25.0.Final	-	166635b56c2893579ee80d282a1ab6569d4f9e3d
org.kie.workbench.playground	optacloud	7.26.0.Final	-	180ec894bb865a76744023482146024a8d6b9949
org.kie.workbench.playground	optacloud	7.27.0.Final	-	66778104cfb2f24d85db11958ed1d32ddc8ad02d
org.kie.workbench.playground	optacloud	7.28.0.Final	-	f638c723df31ca9323e4d92bb40d78e3e38d3003
org.kie.workbench.playground	optacloud	7.29.0.Final	-	1c35f4be2b45a63900b27a4333a0c4ac960785e3
