com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.5.2		a7e0ed99f2a888203fc78e21c97eb86873eada3f
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.5.3		eceb6f62c9315efd1004f80bad14624d90595169
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.5.4		91e7705a3b14b3def5cea015723319a8b724ac70
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.5.6		c7cc1ca092bb6030bfe8e970b29230e020c4d855
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.0		a3a12df0bac8bec5d823ee08e904f385e4c80aab
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.1		868816d9a7df86388d186ad133de2e37458eba24
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.10		769de946793c6b379809b5ef49954a5e5d868266
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.11		81063c8b679e76ea7bdc42c709be347fc1b02b4e
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.12		24a5cb7eac8d3408be64f5cf2661f97549206223
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.7		c5b4fa5ee8542357eff4f461112ba998c25b52ee
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.8		c38d992da470efdbbf7693cbb361f560539da191
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.6.9		c5f8f84829d9178c034e669f051ed95ac5e8ee46
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.7.0		0dc176affa1d347c065189ab6035bb3d4fc9e1cb
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.7.1		5030ab47cf7df34ced9893559b8d70dc4d43b80d
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.7.2		44bbd3a68d45841968729978fc981e050930ddb4
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.8.1		0cc3f16df4bf1500eb74e2997fd4f99e053c31b2
com.solace.connector.core.jsonschema	pubsubplus-connector-schema-validator	2.9.0		4630fa7302657622c1e8dfb282d718a5e6eef50e
com.speedment.jpastreamer	criteria	0.1.1		58fc3c0a67cbedf2d02706bc9510aace70e693cc
com.speedment.jpastreamer	criteria	0.1.2		9a48cf26393c8f2c8438b580e87bd9245c37a634
com.speedment.jpastreamer	criteria	0.1.3		0649a4e00ccafc5f476a6e26bdd847863788a194
com.speedment.jpastreamer	criteria	0.1.4		669d72031cf7a7bed657ee2d7f2dd2787ac2dca3
com.speedment.jpastreamer	criteria	0.1.5		8ac6bf99855b8731c2bb157a40cceb5566b80533
com.speedment.jpastreamer	criteria	0.1.6		aafd26bcaeea5bd7676a8a093a9c169f29f5c441
com.speedment.jpastreamer	criteria	0.1.7		a3e36819d4bb0f682ce4ff976b44f9ee19e6e736
com.speedment.jpastreamer	criteria	0.1.8		22edc5ef7ea16f6965f4f9516c507f9b8f1a0b25
com.speedment.jpastreamer	criteria	1.0.0		50832ea9b3326191a318893b9c1b84ba20321b6b
com.speedment.jpastreamer	criteria	1.0.1		fe5674bdba187b9d8a351d7d4748d7ff2303258c
com.speedment.jpastreamer	criteria	1.0.2		91fb558a40bb8c9e0e94bb6ab59c4a41b11f33d3
com.speedment.jpastreamer	criteria	1.1.0		a91a6565db8a52313816f8657457b24d35157e74
com.speedment.jpastreamer	criteria	1.1.1		882844eecc8b96e76dae6e859459d3684292ea80
com.speedment.jpastreamer	criteria	1.1.2		46a3ef1bee27645f4697d6543f98bb5de4a8c0dc
com.speedment.jpastreamer	criteria	1.1.3		0538560a94f13db9fe3d5ecfbabd4c7af3505a0e
com.speedment.jpastreamer	criteria	1.1.4		eb1d095270fd2b62ec39f45204b41d4dd77b9f58
com.speedment.jpastreamer	criteria	3.0.0		c976c7de497b106526dfba50454ebc86d5cf9da6
com.speedment.jpastreamer	criteria	3.0.1		a51dff5efcee9a6d767a352f70ea4f3e0aaffb58
com.speedment.jpastreamer	criteria	3.0.2		5565825bc456d669e284fafb7f62b26d3965f542
com.speedment.jpastreamer	criteria	3.0.3		20767daa0da8c34a3610cd91478159942c74bf5e
com.speedment.jpastreamer	criteria	3.0.4		44e7a6ae30c63db40f54ee09a8637fa4d1f45bc8
com.strategicgains	HyperExpress	1.0.0		6b9c929c7ec909c2122ee537aa1c35a031b7f300
com.strategicgains	HyperExpress	1.0.1		f3d82caee378717a8026f4bd05273a692b7f3f27
com.strategicgains	HyperExpress	1.0.2		0bdd269c9a8f8a2f60a23d07ecc6ccce62887514
com.yoti.mobile.android	commons-markers	2.10.0		N/A
com.yoti.mobile.android	commons-markers	2.11.0		N/A
