com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta5		86fa433956cebdc0f67e8c71b50059f1142b553a
com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta6		2a9aedf2c18554f51dc31c648f56bc7863392ad2
com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta7		0aac04423f458d762a4e6b5786b60dbedd36bdad
com.googlecode.jperipheral	jperipheral-java	1.0.10		3238b4995ce2b4e13a58f58eebca63b40cfcd9c0
com.googlecode.jperipheral	jperipheral-java	1.0.12		511a2820effaac2bbd5325c765b23a8c16b84e53
com.googlecode.jperipheral	jperipheral-java	1.0.13		4130655b7bde50c4b500151c0a8b7791ff08924b
com.googlecode.jperipheral	jperipheral-java	1.0.14		23576670cd18d5182dc6ae095ae14f90eb0e9e2e
com.googlecode.jperipheral	jperipheral-java	1.0.15		c9dfee59b0d3bbd8a33400f95f504b94a56045ae
com.googlecode.jperipheral	jperipheral-java	1.0.16		b2fe0d2df148ba725b56feda16db35e968fe480d
com.googlecode.jperipheral	jperipheral-java	1.0.17		d0bc27b9b64da7e47536d42268b4c28bb4c4ed7c
com.googlecode.jperipheral	jperipheral-java	1.0.18		969d8ac7760a67a596992ef932378d9e2289d541
com.googlecode.jperipheral	jperipheral-java	1.0.4		98408635db68a70bef4510779be13d76f406f1d3
com.googlecode.jperipheral	jperipheral-java	1.0.6		aaed18552677f865a9d685a50f1223b5dbf4f887
com.googlecode.jperipheral	jperipheral-java	1.0.7		7a1e96e79454e30259d7524dd437c58dc86cb7f0
com.googlecode.jperipheral	jperipheral-java	1.0.9		2a604b0eccb2bf9d3d5cb4cd1bf547abef38ec2b
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.1		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.10		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.11		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.12		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.2		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.3		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.4		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.5		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.6		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.7		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.8		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.9		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	25.0.0.1		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	25.0.0.2		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	25.0.0.3		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	25.0.0.4		N/A
com.kailuowang	scanamo_2.13	1.0.0-M15+111-7b9e8b0b		2452618da7c468404a0a6c4b39df79ba78a1c4f8
com.msilb	scalanda_2.11	0.1		6475e43a2ef4bf7db6b6280da32b9b4133565ece
com.msilb	scalanda_2.11	0.2.0		d1218a4fb7e2cce15223f453fd80f0fe1239b99d
com.msilb	scalanda_2.11	0.3.0		20127c7a0f8adc6edb31c73fff1dd6535575be99
com.msilb	scalanda_2.11	0.3.1		adaca9bd9e91f4b48d297d0702745429649d3bb4
com.msilb	scalanda_2.11	0.3.2		38bdca45cbe0b0c81c6215d1b07e5da6af14e020
com.msilb	scalanda_2.11	0.3.3		4d6fda9d79a63a3943f1b10a530695182d54e33e
com.msilb	scalanda_2.11	0.3.4		ea33774266cff297c705c84c28b0144b6528f517
com.msilb	scalanda_2.11	0.3.5		ae9938784b23826fedcce21ff61775fa00c1587a
com.msilb	scalanda_2.11	0.3.6		cc1e06d1f4379d410ab4b1f219aa9680d20ee356
com.msilb	scalanda_2.11	0.3.7		eccc6317abf2ce9db6f884aafc1cc87d23e48016
com.niezhiliang.easy.pay	easy-pay	1.0.0		88f94672f2fd77b89e6f95a615b2957ffd7e46fa
com.niezhiliang.easy.pay	easy-pay	1.0.1		34c27e2b6c9bba63f46990d3d0ece6b66d0f8462
com.niezhiliang.easy.pay	easy-pay	1.0.2		a63bd324af61c72b9a589affe6d29d53df55f6cd
com.niezhiliang.easy.pay	easy-pay	1.1.0		41582c6ff4b6b47a74d939f84dcd03b52d7f08a8
com.patrykandpatrick.vico	compose-m2	1.10.0		N/A
com.patrykandpatrick.vico	compose-m2	1.10.1		N/A
com.patrykandpatrick.vico	compose-m2	1.11.0		N/A
com.patrykandpatrick.vico	compose-m2	1.11.1		N/A
com.patrykandpatrick.vico	compose-m2	1.11.2		N/A
com.patrykandpatrick.vico	compose-m2	1.11.3		N/A
com.patrykandpatrick.vico	compose-m2	1.12.0		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.1		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.2		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.3		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.4		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.5		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.6		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.7		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.8		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-alpha.9		N/A
com.patrykandpatrick.vico	compose-m2	1.13.0-beta.1		N/A
com.patrykandpatrick.vico	compose-m2	1.13.1		N/A
com.patrykandpatrick.vico	compose-m2	1.14.0		N/A
com.patrykandpatrick.vico	compose-m2	1.14.0-alpha.1		N/A
com.patrykandpatrick.vico	compose-m2	1.14.0-alpha.2		N/A
com.patrykandpatrick.vico	compose-m2	1.14.0-alpha.3		N/A
com.patrykandpatrick.vico	compose-m2	1.14.0-beta.1		N/A
com.patrykandpatrick.vico	compose-m2	1.15.0		N/A
com.patrykandpatrick.vico	compose-m2	1.15.0-alpha.1		N/A
com.patrykandpatrick.vico	compose-m2	1.15.0-alpha.2		N/A
com.patrykandpatrick.vico	compose-m2	1.15.0-beta.1		N/A
com.patrykandpatrick.vico	compose-m2	1.16.0		N/A
com.patrykandpatrick.vico	compose-m2	1.16.0-alpha.1		N/A
com.patrykandpatrick.vico	compose-m2	1.16.0-beta.1		N/A
com.patrykandpatrick.vico	compose-m2	1.16.1		N/A
com.patrykandpatrick.vico	compose-m2	1.6.2		N/A
com.patrykandpatrick.vico	compose-m2	1.6.3		N/A
com.patrykandpatrick.vico	compose-m2	1.6.4		N/A
com.patrykandpatrick.vico	compose-m2	1.6.5		N/A
com.patrykandpatrick.vico	compose-m2	1.6.6		N/A
com.patrykandpatrick.vico	compose-m2	1.7.0		N/A
com.patrykandpatrick.vico	compose-m2	1.7.1		N/A
com.patrykandpatrick.vico	compose-m2	1.7.2		N/A
com.patrykandpatrick.vico	compose-m2	1.7.3		N/A
com.patrykandpatrick.vico	compose-m2	1.8.0		N/A
com.patrykandpatrick.vico	compose-m2	1.8.1		N/A
com.patrykandpatrick.vico	compose-m2	1.9.0		N/A
com.patrykandpatrick.vico	compose-m2	1.9.1		N/A
com.patrykandpatrick.vico	compose-m2	1.9.2		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.1		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.10		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.11		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.12		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.13		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.14		N/A
com.patrykandpatrick.vico	compose-m2	2.0.0-alpha.15		N/A
